{'question': 'ما هو المقصود بالشحنة الكهربائية؟', 'A': 'كمية الطاقة في الجسم', 'B': 'كمية الحرارة المنتقلة', 'C': 'خاصية فيزيائية تحدد التفاعل الكهرومغناطيسي', 'D': 'سرعة تدفق الإلكترونات', 'answer': 'C'}
{'question': 'ما هي الوحدة الأساسية لقياس الشحنة الكهربائية؟', 'A': 'الأمبير', 'B': 'الكولوم', 'C': 'الفولت', 'D': 'الأوم', 'answer': 'B'}
{'question': 'ما المصطلح الذي يُستخدم لوصف الجسيمات الأولية للطاقة؟', 'A': 'الكواركات', 'B': 'البوزونات', 'C': 'الفوتونات', 'D': 'الكوانتا', 'answer': 'D'}
{'question': 'ما هو الرمز الذي يُستخدم للإشارة إلى الشحنة الكهربائية في الصيغ الرياضية؟', 'A': 'Q', 'B': 'I', 'C': 'R', 'D': 'q', 'answer': 'A'}
{'question': 'ما هو العنصر الذي يُستخدم لقياس التيار الكهربائي؟', 'A': 'الأميتر', 'B': 'الفولتميتر', 'C': 'الأومميتر', 'D': 'الكولومميتر', 'answer': 'A'}
{'question': 'ما هي الظاهرة التي تحدث عندما تتحرك الشحنات الكهربائية في موصل وتولد مجالاً مغناطيسياً؟', 'A': 'التأين', 'B': 'التوصيل', 'C': 'الحث الكهرومغناطيسي', 'D': 'التحليل الكهربائي', 'answer': 'C'}
{'question': 'ما هو العامل الذي يؤثر على مقاومة المواد الكهربائية؟', 'A': 'اللون', 'B': 'الحجم', 'C': 'درجة الحرارة', 'D': 'الشكل', 'answer': 'C'}
{'question': 'ما هو الرمز الذي يُستخدم للإشارة إلى المقاومة النوعية؟', 'A': 'α', 'B': 'ρ', 'C': 'γ', 'D': 'λ', 'answer': 'B'}
{'question': 'ما هي العلاقة بين المقاومة الكهربائية ودرجة الحرارة؟', 'A': 'علاقة طردية', 'B': 'علاقة عكسية', 'C': 'لا توجد علاقة', 'D': 'علاقة دورية', 'answer': 'A'}
{'question': 'ما هو الجهاز الذي يُستخدم لتحويل الطاقة الكهربائية إلى طاقة ميكانيكية؟', 'A': 'المحول الكهربائي', 'B': 'البطارية', 'C': 'المحرك الكهربائي', 'D': 'المكثف', 'answer': 'C'}
{'question': 'ما هي الظاهرة التي تُعبر عن تحرك الشحنات الكهربائية وتوليدها للطاقة؟', 'A': 'التأين', 'B': 'التوصيل', 'C': 'الحث الكهرومغناطيسي', 'D': 'التحليل الكهربائي', 'answer': 'B'}
{'question': 'ما هو العنصر الذي يُستخدم لتخزين الشحنات الكهربائية؟', 'A': 'المقاوم', 'B': 'المحول', 'C': 'المكثف', 'D': 'المحرك', 'answer': 'C'}
{'question': 'ما هو الرمز الذي يُستخدم للإشارة إلى التيار الكهربائي؟', 'A': 'Q', 'B': 'I', 'C': 'R', 'D': 'q', 'answer': 'B'}
{'question': 'ما هي الوحدة القياسية للمقاومة الكهربائية؟', 'A': 'الأمبير', 'B': 'الأوم', 'C': 'الفولت', 'D': 'الكولوم', 'answer': 'B'}
{'question': 'ما هو العنصر الذي يُستخدم لقياس المقاومة الكهربائية؟', 'A': 'الأميتر', 'B': 'الفولتميتر', 'C': 'الأومميتر', 'D': 'المقاوم', 'answer': 'C'}
{'question': 'ما هو العامل الذي يُحدد قيمة الشحنة الكهربائية؟', 'A': 'الكتلة', 'B': 'الحجم', 'C': 'عدد الإلكترونات', 'D': 'اللون', 'answer': 'C'}
{'question': 'ما هو الجهاز الذي يُستخدم لقياس الشحنة الكهربائية؟', 'A': 'الأميتر', 'B': 'الفولتميتر', 'C': 'الأومميتر', 'D': 'الكولومميتر', 'answer': 'D'}
{'question': 'ما هي الظاهرة التي تُعبر عن تحرك الشحنات الكهربائية وتوليدها للمجالات المغناطيسية؟', 'A': 'التأين', 'B': 'التوصيل', 'C': 'الحث الكهرومغناطيسي', 'D': 'التحليل الكهربائي', 'answer': 'C'}
{'question': 'ما هو العنصر الذي يُستخدم لقياس التيار الكهربائي المتدفق؟', 'A': 'الأميتر', 'B': 'الفولتميتر', 'C': 'الأومميتر', 'D': 'الكولومميتر', 'answer': 'A'}
{'question': 'ما هو الرمز الذي يُستخدم للإشارة إلى المقاومة النوعية في الصيغ الرياضية؟', 'A': 'α', 'B': 'ρ', 'C': 'γ', 'D': 'λ', 'answer': 'B'}
{'question': 'ما هو المصطلح الذي يُستخدم لوصف المقاومة الكهربائية التي تتغير مع الزمن؟', 'A': 'المقاومة الثابتة', 'B': 'المقاومة المتغيرة', 'C': 'المقاومة النوعية', 'D': 'المقاومة الديناميكية', 'answer': 'B'}
{'question': 'ما هي الوحدة الأساسية لقياس الشحنة الكهربائية؟', 'A': 'الأمبير', 'B': 'الكولوم', 'C': 'الفولت', 'D': 'الأوم', 'answer': 'B'}
{'question': 'ما هو الرمز الذي يُستخدم للإشارة إلى الشحنة الكهربائية في الصيغ الرياضية؟', 'A': 'Q', 'B': 'I', 'C': 'R', 'D': 'q', 'answer': 'A'}
{'question': 'ما هو العنصر الذي يُستخدم لقياس التيار الكهربائي؟', 'A': 'الأميتر', 'B': 'الفولتميتر', 'C': 'الأومميتر', 'D': 'الكولومميتر', 'answer': 'A'}
{'question': 'ما هي الظاهرة التي تحدث عندما تتحرك الشحنات الكهربائية في موصل وتولد مجالاً مغناطيسياً؟', 'A': 'التأين', 'B': 'التوصيل', 'C': 'الحث الكهرومغناطيسي', 'D': 'التحليل الكهربائي', 'answer': 'C'}
{'question': 'ما هو الرمز الذي يُستخدم للإشارة إلى المقاومة النوعية؟', 'A': 'α', 'B': 'ρ', 'C': 'γ', 'D': 'λ', 'answer': 'B'}
{'question': 'ما هو العامل الذي يؤثر على مقاومة المواد الكهربائية؟', 'A': 'اللون', 'B': 'الحجم', 'C': 'درجة الحرارة', 'D': 'الشكل', 'answer': 'C'}
{'question': 'ما هي العلاقة بين المقاومة الكهربائية ودرجة الحرارة؟', 'A': 'علاقة طردية', 'B': 'علاقة عكسية', 'C': 'لا توجد علاقة', 'D': 'علاقة دورية', 'answer': 'A'}
{'question': 'ما هو الجهاز الذي يُستخدم لتحويل الطاقة الكهربائية إلى طاقة ميكانيكية؟', 'A': 'المحول الكهربائي', 'B': 'البطارية', 'C': 'المحرك الكهربائي', 'D': 'المكثف', 'answer': 'C'}
{'question': 'ما هو الرمز الذي يُستخدم للإشارة إلى التيار الكهربائي؟', 'A': 'Q', 'B': 'I', 'C': 'R', 'D': 'q', 'answer': 'B'}
{'question': 'ما هي الوحدة القياسية للمقاومة الكهربائية؟', 'A': 'الأمبير', 'B': 'الأوم', 'C': 'الفولت', 'D': 'الكولوم', 'answer': 'B'}
{'question': 'ما هو العنصر الذي يُستخدم لقياس المقاومة الكهربائية؟', 'A': 'الأميتر', 'B': 'الفولتميتر', 'C': 'الأومميتر', 'D': 'المقاوم', 'answer': 'C'}
{'question': 'ما هو العامل الذي يُحدد قيمة الشحنة الكهربائية؟', 'A': 'الكتلة', 'B': 'الحجم', 'C': 'عدد الإلكترونات', 'D': 'اللون', 'answer': 'C'}
{'question': 'ما هو الجهاز الذي يُستخدم لقياس الشحنة الكهربائية؟', 'A': 'الأميتر', 'B': 'الفولتميتر', 'C': 'الأومميتر', 'D': 'الكولومميتر', 'answer': 'D'}
{'question': 'ما هي الظاهرة التي تُعبر عن تحرك الشحنات الكهربائية وتوليدها للمجالات المغناطيسية؟', 'A': 'التأين', 'B': 'التوصيل', 'C': 'الحث الكهرومغناطيسي', 'D': 'التحليل الكهربائي', 'answer': 'C'}
{'question': 'ما هو العنصر الذي يُستخدم لقياس التيار الكهربائي المتدفق؟', 'A': 'الأميتر', 'B': 'الفولتميتر', 'C': 'الأومميتر', 'D': 'الكولومميتر', 'answer': 'A'}
{'question': 'ما هو الرمز الذي يُستخدم للإشارة إلى المقاومة النوعية في الصيغ الرياضية؟', 'A': 'α', 'B': 'ρ', 'C': 'γ', 'D': 'λ', 'answer': 'B'}
{'question': 'ما هو المصطلح الذي يُستخدم لوصف الجسيمات الأولية للطاقة؟', 'A': 'الكواركات', 'B': 'البوزونات', 'C': 'الفوتونات', 'D': 'الكوانتا', 'answer': 'D'}
{'question': 'ما هو العنصر الذي يُستخدم لقياس الشحنات الكهربائية؟', 'A': 'الأميتر', 'B': 'الفولتميتر', 'C': 'الأومميتر', 'D': 'الكولومميتر', 'answer': 'D'}
{'question': 'ما هي الوحدة الأساسية لقياس الشحنة الكهربائية؟', 'A': 'الأمبير', 'B': 'الكولوم', 'C': 'الفولت', 'D': 'الأوم', 'answer': 'B'}
{'question': "ما المقصود بـ 'المقاومة الكهربائية؟", 'A': 'مقدار الشحنة الكهربائية', 'B': 'سرعة التيار الكهربائي', 'C': 'معيار لقياس الطاقة', 'D': 'معيار لقياس معارضة المادة لمرور التيار الكهربائي', 'answer': 'D'}
{'question': "ما الذي يُعبر عنه بالرمز 'α'؟", 'A': 'المقاومة النوعية', 'B': 'معامل التمدد الحراري', 'C': 'الشحنة الكهربائية', 'D': 'التيار الكهربائي', 'answer': 'B'}
{'question': 'ما هو الرمز الذي يُستخدم للإشارة إلى الشحنة الكهربائية؟', 'A': 'R', 'B': 'Q', 'C': 'α', 'D': 't', 'answer': 'B'}
{'question': 'ما هي الوحدة الأساسية لقياس الشحنة الكهربائية؟', 'A': 'الأمبير', 'B': 'الكولوم', 'C': 'الفولت', 'D': 'الأوم', 'answer': 'B'}
{'question': 'ما المصطلح الذي يُستخدم لوصف الشحنات الكهربائية المتحركة؟', 'A': 'التأين', 'B': 'التوصيل', 'C': 'الحث الكهرومغناطيسي', 'D': 'التدفق الكهربائي', 'answer': 'D'}
{'question': 'ما العلاقة بين المقاومة الكهربائية ودرجة الحرارة؟', 'A': 'علاقة طردية', 'B': 'علاقة عكسية', 'C': 'لا توجد علاقة', 'D': 'علاقة دورية', 'answer': 'A'}
{'question': 'ما هو الرمز الذي يُستخدم للإشارة إلى المقاومة الكهربائية المتغيرة مع الزمن؟', 'A': 'R(t)', 'B': 'ρ(t)', 'C': 'Q(t)', 'D': 'α(t)', 'answer': 'A'}
{'question': 'ما هو معامل التمدد الحراري للمقاومة الكهربائية؟', 'A': 'المقاومة النوعية', 'B': 'الشحنة الكهربائية', 'C': 'معامل التمدد الحراري', 'D': 'التيار الكهربائي', 'answer': 'C'}
{'question': 'ما هي الظاهرة التي تحدث عندما تتحرك الشحنات الكهربائية وتولد مجالاً مغناطيسياً؟', 'A': 'التأين', 'B': 'التوصيل', 'C': 'الحث الكهرومغناطيسي', 'D': 'التحليل الكهربائي', 'answer': 'C'}
{'question': 'ما هو الرمز الذي يُستخدم للإشارة إلى التيار الكهربائي؟', 'A': 'Q', 'B': 'I', 'C': 'R', 'D': 't', 'answer': 'B'}
{'question': 'ما هو العنصر الذي يُستخدم لقياس المقاومة الكهربائية؟', 'A': 'الأميتر', 'B': 'الفولتميتر', 'C': 'الأومميتر', 'D': 'المقاوم', 'answer': 'C'}
{'question': 'ما هو العامل الذي يُحدد قيمة الشحنة الكهربائية؟', 'A': 'الكتلة', 'B': 'الحجم', 'C': 'عدد الإلكترونات', 'D': 'اللون', 'answer': 'C'}
{'question': 'ما هو الجهاز الذي يُستخدم لقياس الشحنة الكهربائية؟', 'A': 'الأميتر', 'B': 'الفولتميتر', 'C': 'الأومميتر', 'D': 'الكولومميتر', 'answer': 'D'}
{'question': 'ما هي الظاهرة التي تُعبر عن تحرك الشحنات الكهربائية وتوليدها للمجالات المغناطيسية؟', 'A': 'التأين', 'B': 'التوصيل', 'C': 'الحث الكهرومغناطيسي', 'D': 'التحليل الكهربائي', 'answer': 'C'}
{'question': 'ما هو العنصر الذي يُستخدم لقياس التيار الكهربائي المتدفق؟', 'A': 'الأميتر', 'B': 'الفولتميتر', 'C': 'الأومميتر', 'D': 'الكولومميتر', 'answer': 'A'}
{'question': 'ما هو الرمز الذي يُستخدم للإشارة إلى المقاومة النوعية في الصيغ الرياضية؟', 'A': 'α', 'B': 'ρ', 'C': 'γ', 'D': 'λ', 'answer': 'B'}
{'question': 'ما هو المصطلح الذي يُستخدم لوصف الجسيمات الأولية للطاقة؟', 'A': 'الكواركات', 'B': 'البوزونات', 'C': 'الفوتونات', 'D': 'الكوانتا', 'answer': 'D'}
{'question': 'ما هو العنصر الذي يُستخدم لقياس الشحنات الكهربائية؟', 'A': 'الأميتر', 'B': 'الفولتميتر', 'C': 'الأومميتر', 'D': 'الكولومميتر', 'answer': 'D'}
{'question': 'ما هي الوحدة الأساسية لقياس الشحنة الكهربائية؟', 'A': 'الأمبير', 'B': 'الكولوم', 'C': 'الفولت', 'D': 'الأوم', 'answer': 'B'}
{'question': 'ما العملية التي تتم فيها تحويل الطاقة الكهربائية إلى طاقة ميكانيكية؟', 'A': 'التحليل الكهربائي', 'B': 'التأين', 'C': 'التوليد الكهربائي', 'D': 'الحث الكهرومغناطيسي', 'answer': 'C'}
{'question': 'ما المصطلح الذي يشير إلى الاضطرابات التي تحدث في الغلاف الجوي وتؤدي إلى ظاهرة البرق؟', 'A': 'التوصيل', 'B': 'التأين', 'C': 'التفريغ الكهربائي', 'D': 'الحث الكهرومغناطيسي', 'answer': 'C'}
{'question': 'ما هي الوحدة الأساسية لقياس التيار الكهربائي؟', 'A': 'الأمبير', 'B': 'الفولت', 'C': 'الكولوم', 'D': 'الأوم', 'answer': 'A'}
{'question': 'ما الاسم الذي يُطلق على الجهاز الذي يُستخدم لتوليد الكهرباء؟', 'A': 'المحول الكهربائي', 'B': 'المولد الكهربائي', 'C': 'البطارية', 'D': 'المكثف', 'answer': 'B'}
{'question': 'ما هو المجال الذي يدرس توزيع وتوليد واستخدام الطاقة الكهربائية؟', 'A': 'هندسة البرمجيات', 'B': 'هندسة الطيران', 'C': 'هندسة الأنظمة الكهربائية', 'D': 'هندسة الاتصالات', 'answer': 'C'}
{'question': 'ما هو المصطلح الذي يُستخدم لوصف الحقل الناتج عن الشحنات الكهربائية المتحركة؟', 'A': 'الحقل الكهروستاتيكي', 'B': 'الحقل المغناطيسي', 'C': 'الحقل الكهرومغناطيسي', 'D': 'الحقل الجاذبي', 'answer': 'C'}
{'question': 'ما هي الظاهرة التي تحدث نتيجة لتحرك الشحنات الكهربائية وتوليدها للطاقة؟', 'A': 'التأين', 'B': 'التوصيل', 'C': 'الحث الكهرومغناطيسي', 'D': 'التحليل الكهربائي', 'answer': 'B'}
{'question': 'ما هو العنصر الذي يُستخدم لتخزين الطاقة الكهربائية في الدوائر الكهربائية؟', 'A': 'المقاوم', 'B': 'المحول', 'C': 'المكثف', 'D': 'المحرك', 'answer': 'C'}
{'question': 'ما هو الرمز الذي يُستخدم للإشارة إلى التيار الكهربائي في الدوائر الكهربائية؟', 'A': 'Q', 'B': 'I', 'C': 'R', 'D': 'V', 'answer': 'B'}
{'question': 'ما هي الوحدة القياسية للمقاومة الكهربائية؟', 'A': 'الأمبير', 'B': 'الأوم', 'C': 'الفولت', 'D': 'الكولوم', 'answer': 'B'}
{'question': 'ما هو العنصر الذي يُستخدم لقياس المقاومة الكهربائية؟', 'A': 'الأميتر', 'B': 'الفولتميتر', 'C': 'الأومميتر', 'D': 'المقاوم', 'answer': 'C'}
