question,A,B,C,D,answer
What is the SI unit of work and energy?,Joule,Newton,Watt,Pascal,A
Which law of thermodynamics states that the entropy of any isolated system always increases over time?,First Law,Second Law,Third Law,Zeroth Law,B
What is the rate of change of displacement called?,Velocity,Speed,Acceleration,Momentum,A
What is the SI unit of temperature?,Kelvin,Celsius,Fahrenheit,Rankine,A
What is the measure of the amount of matter in an object?,Weight,Volume,Mass,Density,C
What is the term for the energy associated with the motion of an object?,Potential energy,Kinetic energy,Mechanical energy,Thermal energy,B
Which of the following is a unit of electric charge?,Ampere,Volt,Coulomb,Watt,C
What is the SI unit of force?,Newton,Pascal,Joule,Watt,A
What type of force holds the nucleus of an atom together?,Electromagnetic force,Gravitational force,Weak nuclear force,Strong nuclear force,D
What is the formula for calculating density?,Density = mass × volume,Density = volume ÷ mass,Density = mass ÷ volume,Density = mass + volume,C
What is the SI unit of electric current?,Watt,Volt,Ampere,Ohm,C
What is the phenomenon where light waves change direction as they pass from one medium to another?,Reflection,Refraction,Diffraction,Interference,B
What is the measure of the average kinetic energy of the particles in a substance?,Temperature,Heat,Thermal energy,Internal energy,A
What is the SI unit of power?,Watt,Joule,Newton,Pascal,A
"Which law states that the pressure of a gas is inversely proportional to its volume, given constant temperature?",Boyle's Law,Charles's Law,Avogadro's Law,Gay-Lussac's Law,A
What is the force that opposes the motion of objects through a fluid?,Friction,Gravity,Tension,Drag,D
What is the phenomenon where an object continues in its state of rest or uniform motion unless acted upon by an external force?,Newton's First Law,Newton's Second Law,Newton's Third Law,Law of Gravitation,A
What is the name of the constant that relates the energy of a photon to its frequency?,Planck's constant,Boltzmann constant,Avogadro constant,Speed of light,A
Which type of energy does an object possess due to its motion?,Potential energy,Kinetic energy,Mechanical energy,Thermal energy,B
What is the SI unit of electric potential difference?,Watt,Volt,Ampere,Ohm,B
What is the property of a material that describes its ability to store electrical energy?,Resistance,Capacitance,Inductance,Conductance,B
Which law states that the total energy of an isolated system remains constant over time?,First Law of Thermodynamics,Second Law of Thermodynamics,Conservation of Energy,Zeroth Law of Thermodynamics,A
What is the measure of the gravitational force exerted on an object?,Mass,Weight,Density,Volume,B
What is the SI unit of temperature?,Celsius,Fahrenheit,Kelvin,Rankine,C
What is the phenomenon where light waves combine to form areas of increased and decreased amplitude?,Reflection,Refraction,Diffraction,Interference,D
