question,A,B,C,D,answer
What is the main purpose of the large intestine?,Absorption of nutrients,Production of enzymes,Absorption of water,Filtration of blood,C
Which of the following is a producer in an ecosystem?,Fungi,Bacteria,Plants,Animals,C
What type of cell lacks a nucleus?,Prokaryotic,Eukaryotic,Somatic,Germ,A
Which organ is responsible for producing insulin?,Liver,Pancreas,Gallbladder,Spleen,B
Which of the following is an example of a prokaryotic organism?,Fungi,Bacteria,Protists,Plants,B
What is the main structural component of the plant cell wall?,Chitin,Cellulose,Glycogen,Starch,B
What is the process by which cells obtain energy from glucose?,Photosynthesis,Glycolysis,Fermentation,Cellular respiration,D
Which of the following is a lipid?,Glucose,Starch,Cholesterol,Cellulose,C
Which of the following is an example of a prokaryotic organism?,Fungi,Bacteria,Protists,Plants,B
What is the main structural component of the plant cell wall?,Chitin,Cellulose,Glycogen,Starch,B
What is the process by which cells obtain energy from glucose?,Photosynthesis,Glycolysis,Fermentation,Cellular respiration,D
Which of the following is a lipid?,Glucose,Starch,Cholesterol,Cellulose,C
What type of macromolecule is an enzyme?,Protein,Lipid,Carbohydrate,Nucleic acid,A
What is the basic unit of heredity?,Chromosome,Gene,Nucleotide,Ribosome,B
Which part of the cell is responsible for producing ribosomes?,Nucleus,Nucleolus,Endoplasmic reticulum,Golgi apparatus,B
What is the primary function of the mitochondria?,Photosynthesis,Protein synthesis,Energy production,Cell division,C
Which of the following is NOT found in a prokaryotic cell?,Cell membrane,Ribosomes,Nucleus,Cytoplasm,C
What is the name of the process by which plants lose water vapor through their leaves?,Transpiration,Respiration,Photosynthesis,Absorption,A
What is the primary function of the ribosomes?,Lipid synthesis,Protein synthesis,DNA replication,Energy production,B
Which of the following is a nitrogenous base found in DNA?,Uracil,Thymine,Cytosine,Adenine,B
What is the process by which a cell divides into two identical daughter cells?,Meiosis,Mitosis,Binary fission,Budding,B
Which molecule carries amino acids to the ribosome for protein synthesis?,mRNA,tRNA,rRNA,DNA,B
What is the function of chloroplasts?,Cellular respiration,Protein synthesis,Photosynthesis,DNA replication,C
Which of the following structures is found in plant cells but not animal cells?,Mitochondria,Ribosomes,Cell wall,Nucleus,C
What is the function of the lysosomes?,Protein synthesis,Energy production,Digestion and waste removal,Photosynthesis,C
Which type of RNA is involved in translating the genetic code into proteins?,mRNA,tRNA,rRNA,DNA,A
What is the name of the process by which cells develop different functions?,Differentiation,Proliferation,Transcription,Translation,A
Which part of the cell cycle is responsible for DNA replication?,G1 phase,S phase,G2 phase,M phase,B
What is the smallest unit of an element that retains the properties of that element?,Molecule,Atom,Electron,Proton,B
Which organelle is responsible for packaging and distributing proteins?,Endoplasmic reticulum,Golgi apparatus,Lysosome,Ribosome,B
What type of bond involves the sharing of electron pairs between atoms?,Ionic bond,Covalent bond,Hydrogen bond,Peptide bond,B
Which organ system is responsible for transporting blood throughout the body?,Respiratory system,Digestive system,Circulatory system,Nervous system,C
What type of organism makes its own food using light or chemical energy?,Heterotroph,Autotroph,Decomposer,Parasite,B
Which of the following is a polysaccharide that is used for energy storage in animals?,Glucose,Starch,Glycogen,Cellulose,C
What is the primary role of the large intestine in the digestive system?,Digesting proteins,Absorbing water,Producing bile,Filtering blood,B
Which part of the brain is responsible for regulating heart rate and breathing?,Cerebrum,Cerebellum,Medulla oblongata,Thalamus,C
What is the name of the structure that controls the movement of substances into and out of a cell?,Cytoplasm,Nucleus,Cell membrane,Cell wall,C
Which of the following is a primary function of the roots in plants?,Photosynthesis,Reproduction,Nutrient absorption,Seed dispersal,C
Which phase of mitosis involves the chromosomes lining up in the middle of the cell?,Prophase,Metaphase,Anaphase,Telophase,B
Which of the following elements is most abundant in the human body?,Carbon,Hydrogen,Oxygen,Nitrogen,C
What is the term for a group of similar cells that perform a specific function?,Organ,Tissue,Organ system,Organism,B
Which type of blood vessel carries blood away from the heart?,Veins,Capillaries,Arteries,Venules,C
What is the primary function of the excretory system?,Regulating body temperature,Producing hormones,Removing waste products,Fighting infections,C
Which of the following is the main component of cell membranes?,Proteins,Phospholipids,Nucleic acids,Carbohydrates,B
What is the genetic disorder caused by having an extra chromosome 21?,Turner syndrome,Down syndrome,Klinefelter syndrome,Cystic fibrosis,B
Which organ in the human body produces bile?,Pancreas,Stomach,Liver,Gallbladder,C
What type of cell division results in four daughter cells each with half the number of chromosomes of the parent cell?,Mitosis,Binary fission,Meiosis,Cytokinesis,C
Which of the following is NOT a function of proteins in the body?,Enzyme activity,Structural support,Storing genetic information,Transporting molecules,C
Which of the following is a nonrenewable resource?,Solar energy,Wind energy,Coal,Hydropower,C
What is the term for the variety of different species in a given area?,Biomass,Ecosystem,Population,Biodiversity,D
Which of the following processes does not release carbon dioxide into the atmosphere?,Photosynthesis,Respiration,Combustion,Decomposition,A
What is the primary function of the xylem in plants?,Transporting water,Transporting nutrients,Storing food,Providing support,A
What is the main function of hemoglobin in the blood?,Clotting blood,Carrying oxygen,Fighting infection,Removing waste,B
Which of the following is a type of asexual reproduction?,Budding,Fertilization,Meiosis,Pollination,A
What is the main difference between plant and animal cells?,Plant cells have mitochondria,Animal cells have chloroplasts,Plant cells have a cell wall,Animal cells have a cell membrane,C
What is the term for an organism's role in its environment?,Habitat,Niche,Biome,Community,B
Which process results in the formation of gametes?,Mitosis,Meiosis,Fertilization,Binary fission,B
What is the main function of the small intestine?,Absorbing nutrients,Producing bile,Filtering blood,Digesting fats,A
Which element is essential for the production of thyroid hormones?,Calcium,Iron,Iodine,Sodium,C
What is the process by which plants release water vapor into the air?,Photosynthesis,Transpiration,Respiration,Osmosis,B
Which part of the human brain is responsible for voluntary movements?,Cerebrum,Cerebellum,Brainstem,Hypothalamus,A
What is the primary function of platelets in the blood?,Carrying oxygen,Fighting infections,Clotting blood,Transporting nutrients,C
Which of the following structures is responsible for photosynthesis in plant cells?,Mitochondria,Chloroplasts,Nucleus,Ribosomes,B
What is the term for the movement of molecules from an area of higher concentration to an area of lower concentration?,Osmosis,Diffusion,Active transport,Facilitated diffusion,B
What type of symmetry do humans have?,Radial symmetry,Bilateral symmetry,Asymmetry,Circular symmetry,B
What is the basic unit of structure and function in living organisms?,Tissue,Organ,Cell,System,C
Which of the following organisms is an example of a decomposer?,Mushroom,Grass,Lion,Eagle,A
What is the term for the relationship where one organism benefits and the other is neither helped nor harmed?,Mutualism,Parasitism,Commensalism,Predation,C
What is the primary site of protein synthesis in a cell?,Nucleus,Ribosome,Mitochondrion,Golgi apparatus,B
Which of the following is not a macronutrient?,Carbohydrates,Proteins,Vitamins,Fats,C
What is the powerhouse of the cell?,Nucleus,Ribosome,Mitochondrion,Golgi apparatus,C
Which of the following is an example of passive transport?,Endocytosis,Exocytosis,Diffusion,Sodium-potassium pump,C
What is the function of the vacuole in plant cells?,Energy production,Protein synthesis,Storage and maintaining cell rigidity,Photosynthesis,C
Which organ system is responsible for protecting the body from external damage?,Circulatory system,Digestive system,Integumentary system,Nervous system,C
Which type of tissue lines the internal and external surfaces of the body?,Connective tissue,Epithelial tissue,Muscle tissue,Nervous tissue,B
Which process describes the formation of gametes?,Mitosis,Meiosis,Fertilization,Binary fission,B
What is the term for a substance that speeds up a chemical reaction without being consumed?,Enzyme,Catalyst,Substrate,Product,B
Which of the following is a greenhouse gas?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,C
What is the main component of the cytoskeleton?,Microtubules,Chromosomes,Ribosomes,Mitochondria,A
Which of the following best describes osmosis?,Movement of solutes from high to low concentration,Active transport of water molecules,Diffusion of water across a selectively permeable membrane,Facilitated diffusion of ions,C
What type of bond is formed between amino acids?,Ionic bond,Covalent bond,Peptide bond,Hydrogen bond,C
Which vitamin is produced when the skin is exposed to sunlight?,Vitamin A,Vitamin C,Vitamin D,Vitamin K,C
What is the primary function of red blood cells?,Fight infections,Clot blood,Transport oxygen,Carry hormones,C
Which of the following structures protects the genetic material in a eukaryotic cell?,Cytoplasm,Cell membrane,Nucleus,Endoplasmic reticulum,C
What is the term for a molecule that carries genetic information?,Protein,Carbohydrate,Lipid,Nucleic acid,D
Which of the following is not part of the cell theory?,All living things are made up of cells,Cells are the basic unit of life,All cells have a nucleus,All cells come from pre-existing cells,C
What is the name of the process by which plants convert carbon dioxide and water into glucose and oxygen?,Cellular respiration,Fermentation,Photosynthesis,Glycolysis,C
What is the term for the movement of water from an area of low solute concentration to an area of high solute concentration?,Diffusion,Active transport,Osmosis,Endocytosis,C
What is the powerhouse of the cell?,Nucleus,Ribosome,Mitochondrion,Golgi apparatus,C
Which type of cell division results in two identical daughter cells?,Mitosis,Meiosis,Binary fission,Budding,A
What is the primary pigment involved in photosynthesis?,Chlorophyll,Carotene,Xanthophyll,Melanin,A
What molecule carries genetic information?,RNA,DNA,Protein,Lipid,B
Which organelle is known as the 'brain' of the cell?,Nucleus,Mitochondria,Ribosome,Endoplasmic reticulum,A
What type of macromolecule are enzymes?,Proteins,Lipids,Carbohydrates,Nucleic acids,A
Which organ is responsible for filtering blood in the human body?,Heart,Lungs,Kidneys,Liver,C
What is the main function of the white blood cells?,Transporting oxygen,Clotting blood,Fighting infections,Carrying nutrients,C
What is the basic unit of life?,Atom,Molecule,Cell,Organ,C
Which process involves the movement of water across a semipermeable membrane?,Diffusion,Osmosis,Active transport,Endocytosis,B
What is the term for the physical and functional unit of heredity?,Gene,Chromosome,Genome,Nucleotide,A
Which type of tissue covers body surfaces and lines body cavities?,Connective tissue,Muscle tissue,Nervous tissue,Epithelial tissue,D
What is the role of ribosomes in a cell?,Protein synthesis,Lipid production,DNA replication,Energy production,A
Which of the following is a component of the cell membrane?,Cellulose,Phospholipids,Starch,Glycogen,B
Which process is used by plants to convert sunlight into chemical energy?,Cellular respiration,Fermentation,Photosynthesis,Glycolysis,C
What is the term for the process by which cells obtain energy from glucose?,Photosynthesis,Glycolysis,Fermentation,Cellular respiration,D
What type of bond holds the two strands of DNA together?,Covalent bonds,Ionic bonds,Hydrogen bonds,Peptide bonds,C
Which of the following is not a function of the skeletal system?,Protection of internal organs,Storage of minerals,Production of red blood cells,Regulation of body temperature,D
What is the term for the programmed death of cells?,Mitosis,Necrosis,Apoptosis,Autophagy,C
"Which organelle is responsible for modifying, sorting, and packaging proteins for secretion?",Ribosome,Endoplasmic reticulum,Golgi apparatus,Lysosome,C
What is the primary function of the chloroplast?,Energy production,Protein synthesis,Photosynthesis,Waste removal,C
Which molecule is the main source of energy for cellular processes?,DNA,ATP,RNA,Glucose,B
What is the basic structural unit of all living organisms?,Cell,Tissue,Organ,System,A
What is the term for organisms that can make their own food?,Heterotrophs,Autotrophs,Decomposers,Consumers,B
Which part of the cell is responsible for controlling cell activities?,Mitochondria,Chloroplast,Nucleus,Cell membrane,C
What are the building blocks of proteins?,Nucleotides,Monosaccharides,Amino acids,Fatty acids,C
Which phase of the cell cycle involves the division of the cell's nucleus?,Interphase,Cytokinesis,Mitosis,Meiosis,C
What is the role of the mitochondria in the cell?,Protein synthesis,Cellular respiration,Photosynthesis,Lipid synthesis,B
What type of macromolecule are DNA and RNA?,Proteins,Carbohydrates,Lipids,Nucleic acids,D
Which organelle is involved in detoxifying chemicals and metabolizing drugs?,Ribosome,Lysosome,Smooth ER,Golgi apparatus,C
What is the main function of the lysosome?,Energy production,Digestion of cellular waste,Protein synthesis,Photosynthesis,B
What structure in plant cells provides support and protection?,Cell membrane,Nucleus,Cell wall,Mitochondria,C
Which of the following is a product of cellular respiration?,Oxygen,Glucose,Carbon dioxide,Water,C
What is the process by which plants lose water vapor through their leaves?,Transpiration,Photosynthesis,Respiration,Condensation,A
Which blood vessels carry blood away from the heart?,Veins,Arteries,Capillaries,Lymphatics,B
What is the term for the diffusion of water across a selectively permeable membrane?,Diffusion,Osmosis,Active transport,Facilitated diffusion,B
Which organ system is responsible for removing waste products from the body?,Respiratory system,Digestive system,Excretory system,Circulatory system,C
"What is the term for the semi-fluid substance inside a cell, excluding the nucleus?",Cytoplasm,Nucleoplasm,Plasma membrane,Mitochondria,A
Which part of the brain regulates balance and coordination?,Cerebrum,Cerebellum,Brainstem,Thalamus,B
What is the genetic material found in the nucleus of a cell?,Protein,Lipid,DNA,Carbohydrate,C
