question,A,B,C,D,answer
ما هو العامل الذي يؤثر على مقاومة المواد الكهربائية؟,اللون,الشكل,الحجم,درجة الحرارة,D
ما هو الجهاز الذي يحول الطاقة الكهربائية إلى طاقة ميكانيكية؟,المولد الكهربائي,المحرك الكهربائي,البطارية,المحول الكهربائي,B
ما هو العنصر الذي يتم استخدامه لتخزين الشحنات الكهربائية؟,المقاوم,المحول,المكثف,المحرك,C
ما المصطلح الذي يُستخدم لوصف الحقل الناتج عن الشحنات الكهربائية؟,الحقل الكهرومغناطيسي,الحقل الجاذبي,الحقل الكهربائي,الحقل المغناطيسي,C
ما هو الدور الأساسي للهندسة الكهربائية؟,تصميم الأجهزة الإلكترونية,بناء الهياكل المعمارية,تطوير البرمجيات,إجراء الأبحاث الطبية,A
ما هي الوظيفة الرئيسية لمولد كهربائي؟,تحويل الطاقة الكهربائية إلى طاقة ميكانيكية,تخزين الطاقة الكهربائية,تحويل الطاقة الميكانيكية إلى كهربائية,تنقية الطاقة الكهربائية,C
ما هو العنصر الذي يُستخدم لقياس الشحنات الكهربائية؟,الأميتر,الفولتميتر,الأومميتر,الكولومميتر,D
ما هو الجهاز الذي يُستخدم لتحويل الطاقة الكهربائية إلى طاقة ميكانيكية؟,المحول الكهربائي,البطارية,المحرك الكهربائي,المكثف,C
ما هي الخاصية الفيزيائية التي تحدد التفاعل الكهرومغناطيسي؟,الكتلة,الحجم,الشحنة الكهربائية,الطاقة الحرارية,C
ما هو العامل الذي يؤثر على مقاومة مادة معينة؟,اللون,الحجم,الشكل,درجة الحرارة,D
ما هو الرمز الذي يمثل المقاومة النوعية في مجال الهندسة الكهربائية؟,α,ρ,γ,λ,B
ما هي الوحدة القياسية للمقاومة الكهربائية؟,الأمبير,الأوم,الفولت,الكولوم,B
ما العلاقة بين المقاومة الكهربائية ودرجة الحرارة؟,علاقة طردية,علاقة عكسية,لا توجد علاقة,علاقة دورية,A
ما هو الرمز الذي يُستخدم للإشارة إلى المقاومة الكهربائية المتغيرة مع الزمن؟,α,ρ,R(t),q,C
ما هي الوحدة الأساسية لقياس الشحنة الكهربائية؟,الأمبير,الكولوم,الفولت,الأوم,B
ما المصطلح الذي يُستخدم لوصف الجسيمات الأولية للطاقة؟,الكواركات,البوزونات,الفوتونات,الكوانتا,D
ما هو الرمز الذي يُستخدم للإشارة إلى الشحنة الكهربائية في الصيغ الرياضية؟,Q,I,R,q,A
ما هو العنصر الذي يُستخدم لقياس التيار الكهربائي؟,الأميتر,الفولتميتر,الأومميتر,الكولومميتر,A
ما هي الظاهرة التي تحدث عندما تتحرك الشحنات الكهربائية في موصل وتولد مجالاً مغناطيسياً؟,التأين,التوصيل,الحث الكهرومغناطيسي,التحليل الكهربائي,C
ما هو العامل الذي يؤثر على مقاومة المواد الكهربائية؟,اللون,الحجم,درجة الحرارة,الشكل,C
ما هو الرمز الذي يُستخدم للإشارة إلى المقاومة النوعية؟,α,ρ,γ,λ,B
ما هي العلاقة بين المقاومة الكهربائية ودرجة الحرارة؟,علاقة طردية,علاقة عكسية,لا توجد علاقة,علاقة دورية,A
ما هو الجهاز الذي يُستخدم لتحويل الطاقة الكهربائية إلى طاقة ميكانيكية؟,المحول الكهربائي,البطارية,المحرك الكهربائي,المكثف,C
ما هي الظاهرة التي تُعبر عن تحرك الشحنات الكهربائية وتوليدها للطاقة؟,التأين,التوصيل,الحث الكهرومغناطيسي,التحليل الكهربائي,B
ما هو العنصر الذي يُستخدم لتخزين الشحنات الكهربائية؟,المقاوم,المحول,المكثف,المحرك,C
ما هو الرمز الذي يُستخدم للإشارة إلى التيار الكهربائي؟,Q,I,R,q,B
ما هي الوحدة القياسية للمقاومة الكهربائية؟,الأمبير,الأوم,الفولت,الكولوم,B
ما هو العنصر الذي يُستخدم لقياس المقاومة الكهربائية؟,الأميتر,الفولتميتر,الأومميتر,المقاوم,C
ما هو العامل الذي يُحدد قيمة الشحنة الكهربائية؟,الكتلة,الحجم,عدد الإلكترونات,اللون,C
ما هو الجهاز الذي يُستخدم لقياس الشحنة الكهربائية؟,الأميتر,الفولتميتر,الأومميتر,الكولومميتر,D
ما هي الظاهرة التي تُعبر عن تحرك الشحنات الكهربائية وتوليدها للمجالات المغناطيسية؟,التأين,التوصيل,الحث الكهرومغناطيسي,التحليل الكهربائي,C
ما هو العنصر الذي يُستخدم لقياس التيار الكهربائي المتدفق؟,الأميتر,الفولتميتر,الأومميتر,الكولومميتر,A
ما هو الرمز الذي يُستخدم للإشارة إلى المقاومة النوعية في الصيغ الرياضية؟,α,ρ,γ,λ,B
ما هو المصطلح الذي يُستخدم لوصف المقاومة الكهربائية التي تتغير مع الزمن؟,المقاومة الثابتة,المقاومة المتغيرة,المقاومة النوعية,المقاومة الديناميكية,B
ما هي الوحدة الأساسية لقياس الشحنة الكهربائية؟,الأمبير,الكولوم,الفولت,الأوم,B
ما هو الرمز الذي يُستخدم للإشارة إلى الشحنة الكهربائية في الصيغ الرياضية؟,Q,I,R,q,A
ما هو العنصر الذي يُستخدم لقياس التيار الكهربائي؟,الأميتر,الفولتميتر,الأومميتر,الكولومميتر,A
ما هي الظاهرة التي تحدث عندما تتحرك الشحنات الكهربائية في موصل وتولد مجالاً مغناطيسياً؟,التأين,التوصيل,الحث الكهرومغناطيسي,التحليل الكهربائي,C
ما هو الرمز الذي يُستخدم للإشارة إلى المقاومة النوعية؟,α,ρ,γ,λ,B
ما هو العامل الذي يؤثر على مقاومة المواد الكهربائية؟,اللون,الحجم,درجة الحرارة,الشكل,C
ما هي العلاقة بين المقاومة الكهربائية ودرجة الحرارة؟,علاقة طردية,علاقة عكسية,لا توجد علاقة,علاقة دورية,A
ما هو الجهاز الذي يُستخدم لتحويل الطاقة الكهربائية إلى طاقة ميكانيكية؟,المحول الكهربائي,البطارية,المحرك الكهربائي,المكثف,C
ما هو الرمز الذي يُستخدم للإشارة إلى التيار الكهربائي؟,Q,I,R,q,B
ما هي الوحدة القياسية للمقاومة الكهربائية؟,الأمبير,الأوم,الفولت,الكولوم,B
ما هو العنصر الذي يُستخدم لقياس المقاومة الكهربائية؟,الأميتر,الفولتميتر,الأومميتر,المقاوم,C
ما هو العامل الذي يُحدد قيمة الشحنة الكهربائية؟,الكتلة,الحجم,عدد الإلكترونات,اللون,C
ما هو الجهاز الذي يُستخدم لقياس الشحنة الكهربائية؟,الأميتر,الفولتميتر,الأومميتر,الكولومميتر,D
ما هي الظاهرة التي تُعبر عن تحرك الشحنات الكهربائية وتوليدها للمجالات المغناطيسية؟,التأين,التوصيل,الحث الكهرومغناطيسي,التحليل الكهربائي,C
ما هو العنصر الذي يُستخدم لقياس التيار الكهربائي المتدفق؟,الأميتر,الفولتميتر,الأومميتر,الكولومميتر,A
ما هو الرمز الذي يُستخدم للإشارة إلى المقاومة النوعية في الصيغ الرياضية؟,α,ρ,γ,λ,B
ما هو المصطلح الذي يُستخدم لوصف الجسيمات الأولية للطاقة؟,الكواركات,البوزونات,الفوتونات,الكوانتا,D
ما هو العنصر الذي يُستخدم لقياس الشحنات الكهربائية؟,الأميتر,الفولتميتر,الأومميتر,الكولومميتر,D
ما هي الوحدة الأساسية لقياس الشحنة الكهربائية؟,الأمبير,الكولوم,الفولت,الأوم,B
ما المقصود بـ 'المقاومة الكهربائية؟,مقدار الشحنة الكهربائية,سرعة التيار الكهربائي,معيار لقياس الطاقة,معيار لقياس معارضة المادة لمرور التيار الكهربائي,D
ما الذي يُعبر عنه بالرمز 'α'؟,المقاومة النوعية,معامل التمدد الحراري,الشحنة الكهربائية,التيار الكهربائي,B
ما هو الرمز الذي يُستخدم للإشارة إلى الشحنة الكهربائية؟,R,Q,α,t,B
ما هي الوحدة الأساسية لقياس الشحنة الكهربائية؟,الأمبير,الكولوم,الفولت,الأوم,B
ما المصطلح الذي يُستخدم لوصف الشحنات الكهربائية المتحركة؟,التأين,التوصيل,الحث الكهرومغناطيسي,التدفق الكهربائي,D
ما العلاقة بين المقاومة الكهربائية ودرجة الحرارة؟,علاقة طردية,علاقة عكسية,لا توجد علاقة,علاقة دورية,A
ما هو الرمز الذي يُستخدم للإشارة إلى المقاومة الكهربائية المتغيرة مع الزمن؟,R(t),ρ(t),Q(t),α(t),A
ما هو معامل التمدد الحراري للمقاومة الكهربائية؟,المقاومة النوعية,الشحنة الكهربائية,معامل التمدد الحراري,التيار الكهربائي,C
ما هي الظاهرة التي تحدث عندما تتحرك الشحنات الكهربائية وتولد مجالاً مغناطيسياً؟,التأين,التوصيل,الحث الكهرومغناطيسي,التحليل الكهربائي,C
ما هو الرمز الذي يُستخدم للإشارة إلى التيار الكهربائي؟,Q,I,R,t,B
ما هو العنصر الذي يُستخدم لقياس المقاومة الكهربائية؟,الأميتر,الفولتميتر,الأومميتر,المقاوم,C
ما هو العامل الذي يُحدد قيمة الشحنة الكهربائية؟,الكتلة,الحجم,عدد الإلكترونات,اللون,C
ما هو الجهاز الذي يُستخدم لقياس الشحنة الكهربائية؟,الأميتر,الفولتميتر,الأومميتر,الكولومميتر,D
ما هي الظاهرة التي تُعبر عن تحرك الشحنات الكهربائية وتوليدها للمجالات المغناطيسية؟,التأين,التوصيل,الحث الكهرومغناطيسي,التحليل الكهربائي,C
ما هو العنصر الذي يُستخدم لقياس التيار الكهربائي المتدفق؟,الأميتر,الفولتميتر,الأومميتر,الكولومميتر,A
ما هو الرمز الذي يُستخدم للإشارة إلى المقاومة النوعية في الصيغ الرياضية؟,α,ρ,γ,λ,B
ما هو المصطلح الذي يُستخدم لوصف الجسيمات الأولية للطاقة؟,الكواركات,البوزونات,الفوتونات,الكوانتا,D
ما هو العنصر الذي يُستخدم لقياس الشحنات الكهربائية؟,الأميتر,الفولتميتر,الأومميتر,الكولومميتر,D
ما هي الوحدة الأساسية لقياس الشحنة الكهربائية؟,الأمبير,الكولوم,الفولت,الأوم,B
ما العملية التي تتم فيها تحويل الطاقة الكهربائية إلى طاقة ميكانيكية؟,التحليل الكهربائي,التأين,التوليد الكهربائي,الحث الكهرومغناطيسي,C
ما المصطلح الذي يشير إلى الاضطرابات التي تحدث في الغلاف الجوي وتؤدي إلى ظاهرة البرق؟,التوصيل,التأين,التفريغ الكهربائي,الحث الكهرومغناطيسي,C
ما هي الوحدة الأساسية لقياس التيار الكهربائي؟,الأمبير,الفولت,الكولوم,الأوم,A
ما الاسم الذي يُطلق على الجهاز الذي يُستخدم لتوليد الكهرباء؟,المحول الكهربائي,المولد الكهربائي,البطارية,المكثف,B
ما هو المجال الذي يدرس توزيع وتوليد واستخدام الطاقة الكهربائية؟,هندسة البرمجيات,هندسة الطيران,هندسة الأنظمة الكهربائية,هندسة الاتصالات,C
ما هو المصطلح الذي يُستخدم لوصف الحقل الناتج عن الشحنات الكهربائية المتحركة؟,الحقل الكهروستاتيكي,الحقل المغناطيسي,الحقل الكهرومغناطيسي,الحقل الجاذبي,C
ما هي الظاهرة التي تحدث نتيجة لتحرك الشحنات الكهربائية وتوليدها للطاقة؟,التأين,التوصيل,الحث الكهرومغناطيسي,التحليل الكهربائي,B
ما هو العنصر الذي يُستخدم لتخزين الطاقة الكهربائية في الدوائر الكهربائية؟,المقاوم,المحول,المكثف,المحرك,C
ما هو الرمز الذي يُستخدم للإشارة إلى التيار الكهربائي في الدوائر الكهربائية؟,Q,I,R,V,B
ما هي الوحدة القياسية للمقاومة الكهربائية؟,الأمبير,الأوم,الفولت,الكولوم,B
ما هو العنصر الذي يُستخدم لقياس المقاومة الكهربائية؟,الأميتر,الفولتميتر,الأومميتر,المقاوم,C
ما هو قانون أوم؟,العلاقة بين الشحنة والكتلة,العلاقة بين الطاقة والزمن,العلاقة بين التيار والجهد,العلاقة بين القوة والمسافة,C
ما هي وحدة قياس القدرة الكهربائية؟,فولت,واط,أمبير,جول,B
ما هو الفرق بين التيار المستمر والتيار المتردد؟,شدة التيار,نوع المصدر,مقدار الجهد,اتجاه التدفق,D
ما هو دور المحول الكهربائي؟,زيادة التيار,تخزين الطاقة,تغيير الجهد,قياس المقاومة,C
ما هي وظيفة المنصهر الكهربائي؟,زيادة التيار,تخفيض الجهد,تخزين الطاقة,حماية الدائرة من التيار الزائد,D
ما هو مبدأ عمل البطارية؟,الحث المغناطيسي,الضغط الميكانيكي,التأثير الحراري,التفاعل الكيميائي,D
ما هي وحدة قياس السعة الكهربائية؟,فاراد,هنري,أوم,تسلا,A
ما هو تأثير فاراداي؟,توليد حرارة من تيار كهربائي,توليد تيار كهربائي من مجال مغناطيسي متغير,توليد ضوء من تيار كهربائي,توليد صوت من تيار كهربائي,B
ما هي وظيفة الملف في الدائرة الكهربائية؟,تخزين الشحنات الكهربائية,تحويل التيار المستمر إلى متردد,تخزين الطاقة المغناطيسية,قياس شدة التيار,C
ما هو مبدأ عمل المحرك الكهربائي؟,تحويل الطاقة الحرارية إلى كهربائية,تحويل الطاقة الضوئية إلى كهربائية,تحويل الطاقة الصوتية إلى كهربائية,تحويل الطاقة الكهربائية إلى حركة دورانية,D
ما هي وظيفة المكثف في الدائرة الكهربائية؟,زيادة التيار,تقليل الجهد,تخزين الشحنات الكهربائية,قياس المقاومة,C
ما هو قانون كيرشوف للتيار؟,التيار يتناسب طردياً مع الجهد,مجموع التيارات الداخلة إلى نقطة يساوي مجموع التيارات الخارجة منها,الطاقة لا تفنى ولا تستحدث,القوة تساوي الكتلة في التسارع,B
ما هو مبدأ عمل المولد الكهربائي؟,تحويل الطاقة الكهربائية إلى ميكانيكية,تحويل الطاقة الحرارية إلى كهربائية,تحويل الطاقة الضوئية إلى كهربائية,تحويل الطاقة الميكانيكية إلى كهربائية,D
ما هي وظيفة الدايود في الدائرة الكهربائية؟,تكبير الإشارة,تخزين الشحنات,السماح بمرور التيار في اتجاه واحد,قياس الجهد,C
ما هو مبدأ الحث الكهرومغناطيسي؟,توليد مجال مغناطيسي من تيار كهربائي,توليد تيار كهربائي من تغير في المجال المغناطيسي,توليد حرارة من تيار كهربائي,توليد ضوء من تيار كهربائي,B
ما هي وحدة قياس الحث الكهربائي؟,فاراد,أوم,تسلا,هنري,D
ما هو قانون لينز؟,الشحنة تتناسب طردياً مع الجهد,القوة تساوي الكتلة في التسارع,التيار المستحث يعارض التغير الذي سببه,الطاقة تساوي الكتلة في مربع سرعة الضوء,C
ما هي وظيفة الترانزستور في الدائرة الكهربائية؟,تخزين الشحنات,تكبير وتحويل الإشارات الكهربائية,قياس المقاومة,توليد التيار,B
ما هو مبدأ عمل الخلية الشمسية؟,تحويل الطاقة الحرارية إلى كهربائية,تحويل الطاقة الميكانيكية إلى كهربائية,تحويل الطاقة الكيميائية إلى كهربائية,تحويل الطاقة الضوئية إلى كهربائية,D
ما هي وحدة قياس الطاقة الكهربائية؟,واط,فولت,جول,أمبير,C
ما هو قانون كولوم؟,الشحنة تتناسب طردياً مع الجهد,التيار يتناسب عكسياً مع المقاومة,الطاقة تساوي الكتلة في مربع سرعة الضوء,القوة بين شحنتين تتناسب عكسياً مع مربع المسافة بينهما,D
ما هي وظيفة المقاومة المتغيرة في الدائرة الكهربائية؟,زيادة الجهد,التحكم في شدة التيار,تخزين الشحنات,توليد التيار,B
ما هو مبدأ عمل المكبر الصوتي؟,تحويل الإشارة الكهربائية إلى صوت,تحويل الصوت إلى إشارة كهربائية,تكبير الإشارة الكهربائية,تخزين الطاقة الصوتية,A
ما هي وحدة قياس التردد؟,واط,فولت,هرتز,أمبير,C
ما هو مبدأ عمل الميكروفون؟,تحويل الإشارة الكهربائية إلى صوت,تحويل الصوت إلى إشارة كهربائية,تكبير الإشارة الصوتية,تخزين الطاقة الصوتية,B
ما هي وظيفة المحول في محطات توليد الكهرباء؟,خفض التيار,زيادة المقاومة,تخزين الطاقة,رفع الجهد لنقل الطاقة لمسافات طويلة,D
ما هو مبدأ عمل الثيرموستات؟,قياس التيار الكهربائي,تخزين الطاقة الحرارية,التحكم في درجة الحرارة باستخدام دائرة كهربائية,توليد الكهرباء من الحرارة,C
ما هي وحدة قياس الجهد الكهربائي؟,أمبير,واط,أوم,فولت,D
ما هو مبدأ عمل البطارية القابلة للشحن؟,تحويل الطاقة الكيميائية إلى كهربائية والعكس,تخزين الشحنات الكهربائية فقط,توليد الكهرباء من الضوء,تحويل الطاقة الميكانيكية إلى كهربائية,A
ما هي وظيفة المرحل (Relay) في الدوائر الكهربائية؟,تخزين الطاقة,قياس الجهد,التحكم في دوائر ذات تيار عالٍ باستخدام إشارات ضعيفة,توليد التيار المتردد,C
ما هو مبدأ عمل المصباح الفلوري؟,احتراق فتيل,تسخين سلك معدني,انبعاث الضوء من ديود,توهج غاز بواسطة تيار كهربائي,D
ما هي وحدة قياس الطاقة الكهربائية المستهلكة في المنازل؟,كيلوواط ساعة,فولت,أمبير,واط,A
ما هو مبدأ عمل الفيوز الكهربائي؟,منع مرور التيار نهائياً,تخفيض الجهد,انصهار سلك عند مرور تيار زائد,زيادة المقاومة,C
ما هي وظيفة العازل الكهربائي؟,تسهيل مرور التيار,منع مرور التيار الكهربائي,تخزين الشحنات,توليد الكهرباء,B
ما هو مبدأ عمل المكواة الكهربائية؟,تحويل الطاقة الحرارية إلى كهربائية,تحويل الطاقة الميكانيكية إلى حرارية,تحويل الطاقة الضوئية إلى حرارية,تحويل الطاقة الكهربائية إلى حرارية,D
ما هي وحدة قياس المجال المغناطيسي؟,فاراد,هنري,أوم,تسلا,D
ما هو مبدأ عمل جهاز قياس التيار (الأميتر)؟,قياس التأثير المغناطيسي للتيار,قياس فرق الجهد,قياس المقاومة,قياس السعة,A
ما هي وظيفة المكثف في دائرة الراديو؟,زيادة التيار,تخفيض الجهد,ضبط التردد,توليد الموجات,C
ما هو مبدأ عمل الثنائي الباعث للضوء (LED)؟,تحويل الضوء إلى كهرباء,انبعاث الضوء عند مرور التيار,تكبير الإشارات الكهربائية,تخزين الشحنات,B
ما هي وحدة قياس القدرة الكهربائية الكبيرة؟,كيلوفولت,ميلي أمبير,جيجا هرتز,ميجاواط,D
ما هو مبدأ عمل المحرك الخطوي؟,توليد تيار متردد,تحويل الحركة الدورانية إلى خطية,التحكم الدقيق في الحركة باستخدام نبضات كهربائية,تخزين الطاقة الميكانيكية,C
ما هي وظيفة المحول في الشاحن الكهربائي؟,زيادة التيار,خفض الجهد وتحويله من متردد إلى مستمر,تخزين الطاقة,توليد ترددات عالية,B
ما هو مبدأ عمل البوصلة الكهربائية؟,قياس شدة المجال المغناطيسي للأرض,توليد تيار كهربائي من الحقل المغناطيسي,انحراف إبرة مغناطيسية بفعل التيار,تحديد اتجاه التيار في الموصلات,C
ما هي وحدة قياس الشحنة الكهربائية الصغيرة جداً؟,ميلي فولت,نانو أمبير,بيكو كولوم,ميكرو فاراد,C
ما هو مبدأ عمل الخلية الكهروضوئية؟,تحويل الضوء إلى تيار كهربائي,تحويل الحرارة إلى كهرباء,تحويل الصوت إلى كهرباء,تحويل الضغط إلى كهرباء,A
ما هي وظيفة المقوم (Rectifier) في الدوائر الكهربائية؟,تحويل التيار المستمر إلى متردد,زيادة التردد,تخفيض الجهد,تحويل التيار المتردد إلى مستمر,D
ما هو مبدأ عمل المصعد الكهربائي؟,استخدام الضغط الهيدروليكي,رفع وخفض الحمولة باستخدام محرك كهربائي,استخدام الطاقة الميكانيكية فقط,الاعتماد على قوة الجاذبية,B
ما هي وحدة قياس الطاقة الكهربائية في النظام الدولي؟,واط,جول,فولت,أمبير,B
ما هو مبدأ عمل المكثف الكهربائي؟,توليد التيار,تحويل التيار المتردد إلى مستمر,تخزين الشحنات الكهربائية,قياس المقاومة,C
ما هي وظيفة العاكس (Inverter) في أنظمة الطاقة الشمسية؟,تخزين الطاقة,تحويل الضوء إلى كهرباء,تنظيم الجهد,تحويل التيار المستمر إلى متردد,D
ما هو مبدأ عمل المحرك التزامني؟,تغيير السرعة باستمرار,العمل على التيار المستمر فقط,الدوران بنفس سرعة المجال المغناطيسي الدوار,توليد تيار عالي الجهد,C
ما هي وحدة قياس السعة الكهربائية الصغيرة؟,ميلي هنري,بيكو فاراد,ميكرو أوم,نانو تسلا,B
ما هو مبدأ عمل المرشح الكهربائي (Filter)؟,زيادة شدة التيار,تخفيض الجهد,تخزين الطاقة,تمرير أو منع ترددات معينة,D
ما هي وظيفة المحول الذاتي (Autotransformer)؟,تغيير الجهد باستخدام ملف واحد,توليد تيار عالي,قياس المقاومة,تخزين الطاقة المغناطيسية,A
ما هو مبدأ عمل الميكروويف؟,تبريد الطعام باستخدام التيار الكهربائي,طهي الطعام باستخدام الأشعة فوق البنفسجية,تسخين الطعام باستخدام موجات كهرومغناطيسية,تجميد الطعام باستخدام المجال المغناطيسي,C
ما هي وحدة قياس القدرة التفاعلية؟,واط,جول,فولت أمبير,فار (VAR),D
ما هو مبدأ عمل المولد الكهربائي الطارئ؟,تخزين الطاقة في بطاريات,توليد الكهرباء باستخدام محرك احتراق داخلي,استخدام الطاقة الشمسية,الاعتماد على الطاقة النووية,B
ما هي وظيفة الموحد (Rectifier) في الدوائر الكهربائية؟,تحويل التيار المستمر إلى متردد,زيادة التردد,تخفيض الجهد,تحويل التيار المتردد إلى مستمر,D
ما هو مبدأ عمل الثرموكبل (Thermocouple)؟,قياس التيار الكهربائي,تخزين الطاقة الحرارية,توليد جهد كهربائي من فرق درجات الحرارة,تحويل الكهرباء إلى حرارة,C
ما هي وحدة قياس الحث الذاتي؟,فاراد,أوم,هنري,تسلا,C
ما هو مبدأ عمل المحرك الحثي؟,تحويل الطاقة الحرارية إلى حركة,توليد عزم دوران باستخدام مجال مغناطيسي دوار,استخدام الطاقة النووية للدوران,الاعتماد على الطاقة الشمسية للحركة,B
ما هي وظيفة المكبر التشغيلي (Operational Amplifier)؟,تخفيض الجهد الكهربائي,تخزين الطاقة,قياس المقاومة,تكبير الإشارات الكهربائية الضعيفة,D
ما هو مبدأ عمل البطارية الشمسية؟,تحويل الطاقة الشمسية إلى كهربائية,تخزين الطاقة الكهربائية,تحويل الحرارة إلى كهرباء,توليد الكهرباء من الرياح,A
ما هي وحدة قياس الطاقة الكهربائية في النظام البريطاني؟,جول,إرغ,كالوري,كيلوواط ساعة,D
ما هو مبدأ عمل المحول الكهربائي؟,تحويل التيار المستمر إلى متردد,زيادة التردد,تغيير جهد التيار المتردد,تخزين الطاقة المغناطيسية,C
ما هي وظيفة الثايرستور في الدوائر الكهربائية؟,تخزين الشحنات,قياس الجهد,توليد الترددات العالية,التحكم في تدفق التيار الكهربائي,D
ما هو مبدأ عمل المولد الكهرومائي؟,تحويل الطاقة الحركية للماء إلى كهرباء,تحويل الطاقة الحرارية إلى كهرباء,تحويل الطاقة النووية إلى كهرباء,تحويل الطاقة الشمسية إلى كهرباء,A
ما هي وحدة قياس كثافة التدفق المغناطيسي؟,أمبير/متر,فولت/متر,نيوتن/كولوم,ويبر/متر مربع,D
ما هو مبدأ عمل المكثف المتغير؟,تغيير الشحنة بتغيير الجهد,تغيير المقاومة بتغيير درجة الحرارة,تغيير السعة بتغيير المساحة بين اللوحات,تغيير التيار بتغيير التردد,C
ما هي وظيفة العازل في الكابلات الكهربائية؟,زيادة قوة التيار,منع تسرب التيار الكهربائي,تخفيض الجهد,زيادة المقاومة,B
ما هو مبدأ عمل المفاعل النووي في توليد الكهرباء؟,تحويل الطاقة النووية إلى حرارية ثم إلى كهربائية,تحويل الطاقة الكيميائية إلى كهربائية,تحويل الطاقة الشمسية إلى كهربائية,تحويل الطاقة الميكانيكية إلى كهربائية,A
ما هي وحدة قياس المقاومة النوعية؟,أوم/متر,فولت/متر,أمبير/متر,أوم.متر,D
ما هو مبدأ عمل الخلية الوقودية؟,حرق الوقود لتوليد الحرارة,تحويل الطاقة النووية إلى كهربائية,تخزين الطاقة الكهربائية,تحويل الطاقة الكيميائية مباشرة إلى كهربائية,D
ما هي وظيفة المرشح الترددي في أجهزة الراديو؟,تكبير الإشارات,اختيار الإشارات ذات التردد المطلوب,تحويل الإشارات الرقمية إلى تماثلية,تخزين الإشارات,B
ما هو مبدأ عمل المحرك الكهربائي ذو التيار المستمر؟,تحويل الطاقة الحرارية إلى حركة,تحويل الطاقة المغناطيسية إلى كهربائية,تحويل الطاقة الضوئية إلى حركة,تحويل الطاقة الكهربائية إلى حركة دورانية باستخدام قوة لورنتز,D
ما هي وحدة قياس الفيض المغناطيسي؟,تسلا,هنري,ويبر,فاراد,C
ما هو مبدأ عمل المكواة البخارية؟,تبريد الملابس باستخدام التيار الكهربائي,توليد موجات فوق صوتية لتنظيف الملابس,تسخين الماء لتوليد البخار باستخدام الطاقة الكهربائية,استخدام الأشعة فوق البنفسجية لتعقيم الملابس,C
ما هي وظيفة المنظم الكهربائي (Voltage Regulator)؟,زيادة التيار الكهربائي,الحفاظ على جهد ثابت رغم تغيرات الحمل,تخفيض التردد,تخزين الطاقة الزائدة,B
ما هو مبدأ عمل الثلاجة الكهربائية؟,توليد البرودة من العدم,تحويل الماء إلى ثلج مباشرة,نقل الحرارة من داخل الثلاجة إلى خارجها,تبخير السوائل لتبريد الطعام,C
ما هي وحدة قياس السماحية الكهربائية؟,كولوم/متر,فولت/متر,أمبير/متر,فاراد/متر,D
ما هو مبدأ عمل جهاز قياس الجهد (الفولتميتر)؟,قياس شدة التيار المار في الدائرة,قياس المقاومة الكهربائية,قياس فرق الجهد بين نقطتين في الدائرة,قياس القدرة الكهربائية,C
