question,A,B,C,D,answer
Which of the following is an example of a homogeneous mixture?,Sand and salt,Oil and water,Salt water,Chocolate chip cookies,C
What is the pH of pure water?,4,5,6,7,D
Which element is essential for the formation of hemoglobin in blood?,Calcium,Iron,Magnesium,Potassium,B
What type of bond is formed between two atoms with a large difference in electronegativity?,Covalent bond,Ionic bond,Metallic bond,Van der Waals bond,B
What is the molecular formula of ozone?,O,O2,O3,O4,C
What is the most reactive group of nonmetals?,Alkali metals,Alkaline earth metals,Noble gases,Halogens,D
Which of the following compounds is commonly known as laughing gas?,Carbon dioxide,Nitrous oxide,Sulfur dioxide,Ammonia,B
What is the main use of chlorine in water treatment?,To remove hardness,To add nutrients,To disinfect,To remove color,C
Which element has the chemical symbol 'Pb'?,Lead,Platinum,Phosphorus,Palladium,A
What is the main component of natural gas?,Methane,Ethane,Propane,Butane,A
Which of the following is a nonmetal?,Iron,Copper,Sulfur,Aluminum,C
What is the name of the process by which a liquid turns into a solid?,Melting,Freezing,Sublimation,Condensation,B
Which element is used in the manufacturing of computer chips?,Silicon,Gold,Silver,Copper,A
What is the molecular formula for nitrogen gas?,N,N2,N3,NO2,B
Which of the following is a chemical property?,Density,Color,Flammability,Melting point,C
Which of the following is a compound?,Oxygen,Gold,Water,Helium,C
What type of bond is formed when atoms share electrons?,Ionic bond,Covalent bond,Metallic bond,Hydrogen bond,B
What is the process of a solid turning directly into a gas called?,Melting,Freezing,Sublimation,Condensation,C
Which gas is produced by plants during photosynthesis?,Oxygen,Carbon dioxide,Nitrogen,Methane,A
What is the most abundant element in the universe?,Oxygen,Hydrogen,Carbon,Helium,B
What is the chemical symbol for gold?,Au,Ag,Pb,Fe,A
Which of the following is an example of an exothermic reaction?,Melting ice,Evaporating water,Freezing water,Combustion of gasoline,D
What is the chemical name for table sugar?,Glucose,Fructose,Sucrose,Lactose,C
Which of the following elements is a noble gas?,Hydrogen,Nitrogen,Neon,Oxygen,C
What is the process called when a liquid changes into a gas?,Condensation,Evaporation,Freezing,Sublimation,B
Which of the following is an acid?,NaOH,H2SO4,NH3,CH4,B
What is the common name for H2O2?,Water,Hydrogen peroxide,Hydrochloric acid,Sulfuric acid,B
What type of mixture is a solution?,Heterogeneous,Homogeneous,Colloidal,Suspension,B
Which metal is liquid at room temperature?,Iron,Gold,Mercury,Aluminum,C
Which of the following is the chemical formula for sulfuric acid?,H2SO3,H2SO4,H2S,HSO4,B
What is the main component of vinegar?,Ethanol,Acetic acid,Citric acid,Lactic acid,B
Which of the following is an example of a halogen?,Fluorine,Calcium,Sodium,Potassium,A
What is the chemical symbol for potassium?,K,P,Pt,Po,A
Which of the following is a product of the combustion of hydrocarbons?,Oxygen,Carbon dioxide,Water,Nitrogen,B
What is the main component of natural gas?,Methane,Ethane,Propane,Butane,A
What is the chemical formula for ammonia?,NH3,NH4,NO3,N2,A
Which of the following is a transition metal?,Calcium,Iron,Potassium,Sodium,B
What is the process called when a solid changes directly into a gas?,Sublimation,Evaporation,Condensation,Deposition,A
Which element is the most abundant in the Earth's atmosphere?,Oxygen,Nitrogen,Carbon,Hydrogen,B
What is the chemical formula for hydrogen peroxide?,H2O,H2O2,HO2,HO,B
Which of the following is a property of metals?,Low melting point,Poor conductivity,Malleability,Brittleness,C
What is the process of a liquid changing into a gas at a temperature below its boiling point called?,Vaporization,Evaporation,Sublimation,Condensation,B
Which gas is produced when a metal reacts with an acid?,Oxygen,Hydrogen,Carbon dioxide,Nitrogen,B
What is the chemical symbol for silver?,Si,Sr,Ag,Au,C
Which of the following is a characteristic of nonmetals?,High electrical conductivity,Malleability,Brittleness,Ductility,C
What is the chemical formula for sodium chloride?,NaCl,Na2Cl,NaCl2,Na2Cl2,A
Which of the following is a noble gas?,Neon,Sodium,Phosphorus,Sulfur,A
What is the name of the process by which plants make their food using sunlight?,Photosynthesis,Respiration,Fermentation,Transpiration,A
What is the chemical formula for carbon monoxide?,CO,CO2,C,C2O,A
What is the chemical formula for hydrochloric acid?,H2SO4,HCl,HNO3,H3PO4,B
Which of the following is a metalloid?,Sodium,Arsenic,Copper,Iron,B
What is the process called when a gas changes directly into a solid?,Condensation,Sublimation,Evaporation,Freezing,B
Which of the following elements is a halogen?,Sodium,Chlorine,Potassium,Calcium,B
What is the chemical formula for sulfur dioxide?,SO2,SO3,H2SO4,H2S,A
Which of the following is a product of photosynthesis?,Carbon dioxide,Oxygen,Nitrogen,Water,B
What is the main component of natural gas?,Methane,Ethane,Propane,Butane,A
What is the chemical formula for ammonia?,NH3,NH4,N2,NO2,A
Which of the following is a transition metal?,Potassium,Calcium,Iron,Sodium,C
What is the process called when a solid changes directly into a gas?,Sublimation,Condensation,Evaporation,Freezing,A
Which element is the most abundant in the Earth's atmosphere?,Oxygen,Nitrogen,Carbon,Hydrogen,B
What is the chemical formula for hydrogen peroxide?,H2O,H2O2,HO,HO2,B
Which of the following is a property of metals?,Malleability,Brittleness,Non-conductivity,Transparency,A
What is the process of a liquid changing into a gas at a temperature below its boiling point called?,Evaporation,Vaporization,Condensation,Sublimation,A
Which gas is produced when a metal reacts with an acid?,Oxygen,Carbon dioxide,Hydrogen,Nitrogen,C
What is the chemical symbol for silver?,Si,Sr,Ag,Au,C
Which of the following is a characteristic of nonmetals?,High electrical conductivity,Malleability,Brittleness,Ductility,C
What is the chemical formula for sodium chloride?,NaCl,Na2Cl,NaCl2,Na2Cl2,A
Which of the following is a noble gas?,Neon,Sodium,Phosphorus,Sulfur,A
What is the name of the process by which plants make their food using sunlight?,Photosynthesis,Respiration,Fermentation,Transpiration,A
What is the chemical formula for carbon monoxide?,CO,CO2,C,C2O,A
What is the chemical symbol for potassium?,K,P,Po,Pt,A
Which of the following is a noble gas?,Neon,Sodium,Phosphorus,Potassium,A
What is the main component of natural gas?,Methane,Ethane,Propane,Butane,A
What is the chemical formula for ammonia?,NH3,NH4,N2,NO2,A
Which of the following is a transition metal?,Potassium,Calcium,Iron,Sodium,C
What is the process called when a solid changes directly into a gas?,Sublimation,Condensation,Evaporation,Freezing,A
Which element is the most abundant in the Earth's atmosphere?,Oxygen,Nitrogen,Carbon,Hydrogen,B
What is the chemical formula for hydrogen peroxide?,H2O,H2O2,HO,HO2,B
Which of the following is a property of metals?,Malleability,Brittleness,Non-conductivity,Transparency,A
What is the process of a liquid changing into a gas at a temperature below its boiling point called?,Evaporation,Vaporization,Condensation,Sublimation,A
Which gas is produced when a metal reacts with an acid?,Oxygen,Carbon dioxide,Hydrogen,Nitrogen,C
What is the chemical symbol for silver?,Si,Sr,Ag,Au,C
Which of the following is a characteristic of nonmetals?,High electrical conductivity,Malleability,Brittleness,Ductility,C
What is the chemical formula for sodium chloride?,NaCl,Na2Cl,NaCl2,Na2Cl2,A
Which of the following is a noble gas?,Neon,Sodium,Phosphorus,Sulfur,A
What is the name of the process by which plants make their food using sunlight?,Photosynthesis,Respiration,Fermentation,Transpiration,A
What is the chemical formula for carbon monoxide?,CO,CO2,C,C2O,A
What is the chemical formula for hydrochloric acid?,H2SO4,HCl,HNO3,H3PO4,B
Which of the following is a metalloid?,Sodium,Arsenic,Copper,Iron,B
What is the process called when a gas changes directly into a solid?,Condensation,Sublimation,Evaporation,Freezing,B
