question,A,B,C,D,answer
What is the value of x in the equation 3^x = 27?,2,3,4,5,B
What is the result of 8+9?,15,16,17,18,C
What is the result of 15-7?,6,7,8,9,C
What is the result of 8*7?,50,54,56,60,C
What is the result of 42/6?,6,7,8,9,B
What is the remainder of 23 divided by 5?,1,2,3,4,C
What is the result of 9+8?,15,16,17,18,C
What is the result of 14-6?,6,7,8,9,C
What is the result of 9*7?,56,63,70,77,B
What is the result of 48/6?,6,7,8,9,C
What is the remainder of 29 divided by 5?,1,2,3,4,D
What is the value of x in the equation 4x = 20?,3,4,5,6,C
What is the value of y in the equation 5y + 4 = 19?,2,3,4,5,B
What is the value of z in the equation 5z - 3 = 12?,2,3,4,5,B
What is the area of a rectangle with length 9 and width 4?,24,28,36,40,C
What is the perimeter of a rectangle with length 9 and width 4?,22,26,30,34,B
What is the area of a circle with radius 5 (use pi = 3.14)?,31.4,47.1,78.5,94.2,C
What is the circumference of a circle with radius 5 (use pi = 3.14)?,15.7,31.4,47.1,62.8,B
What is the volume of a cube with side length 5?,75,100,125,150,C
"What is the volume of a rectangular prism with length 5, width 4, and height 6?",60,80,100,120,C
What is the value of x in the equation 5x^2 = 50?,3,4,5,6,C
What is the value of y in the equation sqrt(y) = 6?,24,30,36,42,C
What is the value of z in the equation z^3 = 64?,2,3,4,5,C
What is the value of x in the equation 4^x = 64?,2,3,4,5,B
What is the result of 10+11?,19,20,21,22,C
What is the result of 18-7?,9,10,11,12,C
What is the result of 9*8?,64,72,80,88,B
What is the result of 54/6?,7,8,9,10,C
What is the remainder of 35 divided by 6?,1,2,3,4,D
What is the value of x in the equation 6x = 30?,3,4,5,6,C
What is the value of y in the equation 6y + 5 = 23?,2,3,4,5,B
What is the value of z in the equation 6z - 4 = 14?,2,3,4,5,B
What is the area of a rectangle with length 10 and width 5?,30,40,50,60,C
What is the perimeter of a rectangle with length 10 and width 5?,24,28,32,36,D
What is the area of a circle with radius 6 (use pi = 3.14)?,37.68,56.52,113.04,169.56,C
What is the circumference of a circle with radius 6 (use pi = 3.14)?,18.84,37.68,56.52,75.36,B
What is the volume of a cube with side length 6?,108,144,216,288,C
"What is the volume of a rectangular prism with length 6, width 5, and height 7?",120,160,210,260,C
What is the value of x in the equation 6x^2 = 72?,3,4,5,6,C
What is the value of y in the equation sqrt(y) = 7?,35,42,49,56,C
What is the value of z in the equation z^3 = 125?,3,4,5,6,C
What is the value of x in the equation 5^x = 125?,2,3,4,5,B
What is the result of 11+12?,21,22,23,24,C
What is the result of 21-8?,11,12,13,14,C
What is the result of 10*8?,70,80,90,100,B
What is the result of 60/6?,8,9,10,11,C
Which of the following numbers is NOT a multiple of 3?,9,12,15,18,A
Simplify the expression: 3x + 5 when x = 4,17,23,7,11,B
What is the square root of 16?,4,16,25,36,A
Which of the following numbers is prime?,15,17,21,23,"B,D"
"Solve for y: 2x + 3y = 10, when x = 2",1,2,3,4,C
Which of the following is NOT a factor of 48?,3,4,6,8,A
What is the percentage of 25/100 as a fraction in simplest form?,1/4,1/3,1/2,3/4,C
Simplify the expression: (4^2) * (3^2),72,108,144,192,C
Which of the following is equal to 7%,0.07,0.7,7,70,B
"Find the mode of the following set of numbers: 3, 5, 7, 5, 8, 5, 10",5,7,8,10,A
Which of the following numbers is NOT a square number?,9,16,25,36,D
What is the sum of the first 5 odd numbers?,30,25,20,15,A
What is the product of 2/3 and 4/5?,0.4,0.5,0.6,0.8,B
Which of the following numbers is a palindrome?,123,202,345,6789,"B,D"
Simplify the expression: 3!(4^2),144,288,432,576,A
What is the greatest common factor of 18 and 36?,6,9,12,18,A
A rectangle has a length of 6 cm and a width of 4 cm. What is its area?,12 cm^2,24 cm^2,36 cm^2,48 cm^2,B
Simplify the expression: sqrt(16) + 2^3,6,8,10,12,C
Which of the following numbers is a multiple of both 4 and 6?,12,18,24,30,"A,C"
What is the value of 5^2 * 3^3?,375,675,1125,2250,B
What is the value of π (pi) to two decimal places?,2.14,3.14,4.14,5.14,B
What is the square root of 64?,6,7,8,9,C
What is 5 + 7?,10,11,12,13,C
What is 9 x 9?,72,81,90,99,B
What is the value of 2^3?,6,8,9,12,B
What is 15% of 200?,25,30,35,40,B
Which of the following is a prime number?,9,15,17,21,C
What is the sum of the angles in a triangle?,90 degrees,180 degrees,270 degrees,360 degrees,B
What is the formula for the area of a circle?,πr^2,2πr,πd,2r,A
What is 45 divided by 5?,7,8,9,10,C
What is the next prime number after 7?,9,10,11,12,C
What is the perimeter of a square with side length 4?,8,12,16,20,C
What is the result of 7 - 3?,2,3,4,5,C
"If a triangle has sides of 3, 4, and 5, what type of triangle is it?",Equilateral,Isosceles,Scalene,Right,D
What is the least common multiple (LCM) of 4 and 5?,10,15,20,25,C
What is the decimal equivalent of 1/4?,0.5,0.25,0.75,0.2,B
What is the result of 12 x 12?,124,144,154,164,B
Which of the following is an even number?,13,17,21,24,D
"What is the mode of the set {3, 1, 3, 2, 4}?",1,2,3,4,C
What is the value of 7 + 6 / 2?,6,8,10,13,C
What is the definition of a prime number?,A number divisible by 1,A number divisible by itself and 1 only,A number with more than two factors,A number divisible by 2,B
What is the least prime number?,0,1,2,3,C
What is the smallest positive integer?,0,1,2,3,B
What is the sum of the first five prime numbers?,18,26,28,30,C
Which of the following is a rational number?,π,√2,0.75,e,C
What is the value of the expression 2^5?,16,32,64,128,B
What is the result of the expression 5! (5 factorial)?,20,60,100,120,D
"In a right-angled triangle, what is the side opposite the right angle called?",Adjacent,Hypotenuse,Opposite,Base,B
What is the area of a rectangle with length 5 and width 3?,8,15,20,25,B
What is the circumference of a circle with a radius of 4 (use π = 3.14)?,12.56,18.84,25.12,31.4,B
What is the formula to calculate the slope of a line?,rise + run,rise - run,rise / run,run / rise,C
What is the greatest common divisor (GCD) of 24 and 36?,6,8,12,18,C
Which of the following is a linear equation?,y = 2x + 3,y = x^2 + 2,y = 3x^3,y = √x,A
"What is the next number in the sequence 1, 4, 9, 16, ...?",20,25,30,36,B
What is the derivative of the function f(x) = x^2?,x,2x,x^2,2x^2,B
What is the integral of the function f(x) = 2x?,x^2 + C,2x + C,2x^2 + C,x + C,A
What is the name of a polygon with eight sides?,Hexagon,Heptagon,Octagon,Nonagon,C
What is the value of the expression (2 + 3) * (4 - 1)?,15,20,25,30,A
What is the solution to the equation 2x + 3 = 7?,1,2,3,4,B
Which of the following represents an exponential function?,y = 3x + 2,y = 2x^2,y = e^x,y = log(x),C
What is the sum of the angles in a quadrilateral?,180 degrees,270 degrees,360 degrees,450 degrees,C
What is the derivative of the function f(x) = 3x^3?,3x^2,6x^2,9x^2,12x^2,C
What is the value of the expression 7 - 4 * 3?,9,11,-5,-7,D
Which of the following is an irrational number?,0.75,√2,1.5,4,B
What is the value of x in the equation 3x - 5 = 16?,5,6,7,8,C
"What is the perimeter of a triangle with sides 3, 4, and 5?",9,10,11,12,D
What is the measure of each interior angle of a regular hexagon?,90 degrees,108 degrees,120 degrees,135 degrees,C
What is the volume of a cube with side length 3?,9,18,27,36,C
Which of the following is a solution to the equation x^2 = 16?,2,-2,4,-4,C
What is the formula for the area of a triangle?,base * height,1/2 * base * height,base + height,1/3 * base * height,B
What is the value of the expression 10/2 + 5?,5,7,10,12,D
Which of the following is an odd number?,14,22,27,30,C
What is the value of 0.1 + 0.2?,0.2,0.3,0.4,0.5,B
What is the reciprocal of 5?,1/2,1/3,1/4,1/5,D
What is the slope of a horizontal line?,0,1,Undefined,Infinite,A
What is the value of the expression 4 + 3 * (2 - 1)?,5,7,10,11,B
Which of the following represents the associative property of addition?,(a + b) + c = a + (b + c),a + b = b + a,a * b = b * a,a * (b + c) = a * b + a * c,A
What is the least common multiple (LCM) of 6 and 8?,12,18,24,36,C
What is the value of the expression 2^4?,4,8,12,16,D
"What is the midpoint of the line segment with endpoints (2, 3) and (4, 7)?","(3, 5)","(3, 6)","(3, 5.5)","(3, 4.5)",A
