question,A,B,C,D,answer
ما هو قانون فاراداي للحث الكهرومغناطيسي؟,القوة تساوي الكتلة في التسارع,الجهد المستحث يتناسب مع معدل تغير التدفق المغناطيسي,الطاقة تساوي الكتلة مضروبة في مربع سرعة الضوء,الضغط يتناسب عكسياً مع الحجم,B
ما هي وحدة قياس الحث الكهربائي؟,فاراد,هنري,كولوم,فولت,B
ما هو مبدأ عمل المحرك الكهربائي؟,تحويل الطاقة الكهربائية إلى طاقة ميكانيكية,تحويل الطاقة الحرارية إلى كهربائية,تحويل الطاقة الكيميائية إلى حركية,تحويل الطاقة النووية إلى حرارية,A
ما هي وظيفة المقاومة المتغيرة (الريوستات)؟,تخزين الشحنة,قياس التيار,التحكم في شدة التيار,توليد الجهد,C
ما هو قانون كولوم؟,F = ma,E = mc²,F = k(q1q2)/r²,P = IV,C
ما هي وحدة قياس الطاقة الكهربائية؟,واط,جول,فولت,أمبير,B
ما هو مبدأ عمل الخلية الشمسية؟,التأثير الكهروضوئي,الانشطار النووي,التحليل الكهربائي,الحث الكهرومغناطيسي,A
ما هي وظيفة المحول في أنظمة توزيع الطاقة الكهربائية؟,توليد الكهرباء,تخزين الطاقة,رفع أو خفض الجهد,قياس استهلاك الطاقة,C
ما هو الفرق بين التوصيل على التوالي والتوازي للمقاومات؟,نوع المقاومات المستخدمة,طريقة حساب المقاومة الكلية,نوع التيار المستخدم,شكل الدائرة,B
ما هي وحدة قياس المجال المغناطيسي؟,نيوتن,تسلا,فولت,أمبير,B
ما هو مبدأ عمل المكبر التشغيلي؟,تضخيم الإشارات الكهربائية,تخزين الشحنات,توليد التيار المتردد,قياس المقاومة,A
ما هي وظيفة العاكس (Inverter) في أنظمة الطاقة الشمسية؟,تخزين الطاقة,تحويل التيار المستمر إلى متردد,قياس كمية الإشعاع الشمسي,تبريد الألواح الشمسية,B
ما هو قانون لنز؟,التيار المستحث يعارض التغير في التدفق المغناطيسي,الطاقة لا تفنى ولا تستحدث,القوة تساوي الكتلة في التسارع,الضغط يتناسب عكسياً مع الحجم,A
ما هي وحدة قياس القدرة الكهربائية الكبيرة؟,كيلوواط,ميجاواط,جيجاواط,تيراواط,B
ما هو مبدأ عمل المرحل (Relay)؟,تخزين الشحنات,تضخيم الإشارات,التحكم في دائرة كهربائية باستخدام دائرة أخرى,قياس التيار,C
ما هي وظيفة المكثف في دوائر تنعيم التيار المستمر؟,زيادة التيار,تقليل التموج,رفع الجهد,قياس المقاومة,B
ما هو الفرق بين الموصلات والأشباه الموصلات؟,اللون,الكثافة,فجوة الطاقة,درجة الانصهار,C
ما هي وحدة قياس السعة الحرارية الكهربائية؟,جول/كلفن,واط/كلفن,فولت/كلفن,أمبير/كلفن,B
ما هو مبدأ عمل الثيرميستور؟,تغير المقاومة مع الضوء,تغير المقاومة مع درجة الحرارة,تغير المقاومة مع الضغط,تغير المقاومة مع المجال المغناطيسي,B
ما هي وظيفة المحول في أجهزة الشحن؟,زيادة التيار,تخفيض الجهد,قياس الشحنة,تخزين الطاقة,B
ما هو قانون جول للحرارة الكهربائية؟,Q = I²Rt,E = mc²,F = ma,PV = nRT,A
ما هي وحدة قياس الطاقة الكهربائية المستهلكة في المنازل؟,واط ساعة,كيلوواط ساعة,جول,فولت أمبير,B
ما هو مبدأ عمل المقوم (Rectifier)؟,تحويل التيار المتردد إلى مستمر,تحويل التيار المستمر إلى متردد,تضخيم الإشارات,قياس المقاومة,A
ما هي وظيفة المكثف في دوائر الرنين؟,تخزين الشحنة,تحديد التردد الرنيني,قياس التيار,توليد الحرارة,B
ما هو الفرق بين التيار الكهربائي والجهد الكهربائي؟,وحدة القياس,تدفق الشحنات مقابل فرق الجهد,نوع الطاقة,مصدر الطاقة,B
ما هي وحدة قياس الطاقة في النظام الدولي للوحدات؟,واط,جول,كالوري,إرج,B
ما هو مبدأ عمل المحرك الخطوي؟,التحكم الدقيق في الحركة الدورانية,زيادة السرعة تدريجياً,تقليل استهلاك الطاقة,توليد تيار متردد,A
ما هي وظيفة الملف في دائرة الرنين؟,تخزين الشحنة,تحديد التردد الرنيني,قياس الجهد,توليد الحرارة,B
ما هو قانون نيوتن للتبريد؟,معدل فقدان الحرارة يتناسب مع فرق درجات الحرارة,الطاقة لا تفنى ولا تستحدث,القوة تساوي الكتلة في التسارع,الضغط يتناسب عكسياً مع الحجم,A
ما هي وحدة قياس الضوء؟,لومن,كانديلا,واط,هرتز,A
ما هو مبدأ عمل الثنائي الباعث للضوء (LED)؟,التأثير الكهروضوئي,الانبعاث الضوئي عند مرور التيار,الحث الكهرومغناطيسي,التحليل الكهربائي,B
ما هي وظيفة المكبر التفاضلي؟,تضخيم الفرق بين إشارتين,تخزين الشحنات,توليد إشارات متناوبة,قياس المقاومة,A
ما هو الفرق بين المقاومة الأومية وغير الأومية؟,اللون,الحجم,العلاقة بين التيار والجهد,المادة المصنوعة منها,C
ما هي وحدة قياس القدرة الظاهرية؟,واط,فولت أمبير,جول,هرتز,B
ما هو مبدأ عمل المحول الذاتي؟,استخدام ملف واحد لرفع أو خفض الجهد,تحويل التيار المستمر إلى متردد,تخزين الطاقة المغناطيسية,قياس التيار,A
ما هي وظيفة المكثف في دوائر تصحيح معامل القدرة؟,زيادة التيار,تحسين معامل القدرة,خفض الجهد,قياس المقاومة,B
ما هو قانون بيوت-سافار؟,يصف المجال المغناطيسي حول موصل يحمل تياراً,يصف العلاقة بين الضغط والحجم,يصف العلاقة بين الكتلة والطاقة,يصف العلاقة بين القوة والتسارع,A
ما هي وحدة قياس الفيض المغناطيسي؟,تسلا,ويبر,هنري,جاوس,B
ما هو مبدأ عمل المحرك التزامني؟,الدوران بسرعة متزامنة مع التردد,الدوران بسرعة أعلى من التردد,الدوران بسرعة أقل من التردد,الدوران بسرعة عشوائية,A
ما هي وظيفة المرشح الكهربائي؟,تنقية الماء,فصل الترددات المختلفة,تخزين الشحنات,توليد التيار,B
ما هو الفرق بين الطاقة الكهربائية والقدرة الكهربائية؟,وحدة القياس,الطاقة هي معدل استهلاك القدرة مع الزمن,الطاقة ثابتة والقدرة متغيرة,لا يوجد فرق,B
ما هي وحدة قياس الحث المتبادل؟,فاراد,هنري,أوم,فولت,B
ما هو مبدأ عمل المولد التزامني؟,توليد تيار متردد بتردد ثابت,توليد تيار مستمر,تحويل التيار المتردد إلى مستمر,تخزين الطاقة الكهربائية,A
ما هي وظيفة الموحد في دوائر تقويم التيار؟,زيادة التيار,تحويل التيار المتردد إلى مستمر,قياس الجهد,تخزين الطاقة,B
ما هو قانون أمبير؟,يربط بين التيار والمجال المغناطيسي,يصف العلاقة بين الكتلة والطاقة,يصف العلاقة بين الضغط والحجم,يصف العلاقة بين القوة والتسارع,A
ما هي وحدة قياس التوصيلية الكهربائية؟,أوم متر,سيمنز/متر,فاراد/متر,هنري/متر,B
ما هو مبدأ عمل المحرك الحثي؟,استخدام المجال المغناطيسي الدوار,استخدام التيار المستمر,استخدام الطاقة الحرارية,استخدام الطاقة النووية,A
ما هي وظيفة المكثف في دوائر بدء تشغيل المحركات الكهربائية؟,تخزين الطاقة,إنشاء فرق في الطور,قياس التيار,تقليل الضوضاء,B
ما هو الفرق بين المحول الرافع والمحول الخافض؟,الحجم,نسبة لفات الملف الابتدائي إلى الثانوي,نوع القلب المستخدم,سرعة التحويل,B
ما هي وحدة قياس الممانعة الكهربائية؟,فاراد,هنري,أوم,سيمنز,C
ما هو مبدأ عمل البطارية الليثيوم أيون؟,التفاعل الكيميائي العكسي,الانشطار النووي,التأثير الكهروضوئي,الحث الكهرومغناطيسي,A
ما هي وظيفة العاكس في أنظمة الطاقة الشمسية؟,تخزين الطاقة,تحويل التيار المستمر إلى متردد,تحويل التيار المتردد إلى مستمر,قياس الإشعاع الشمسي,B
ما هو قانون كيرشوف للجهد؟,مجموع الجهود في حلقة مغلقة يساوي صفر,الجهد يساوي حاصل ضرب التيار في المقاومة,الطاقة لا تفنى ولا تستحدث,القوة تساوي الكتلة في التسارع,A
ما هو مبدأ عمل المكثف المتغير؟,تغيير المساحة بين اللوحات,تغيير المادة العازلة,تغيير الشحنة الكهربائية,تغيير الجهد المطبق,A
ما هي وظيفة الدايود زينر؟,تنظيم الجهد,تضخيم الإشارة,تخزين الشحنة,قياس التيار,A
ما هو الفرق بين الموصلات والعوازل من حيث فجوة الطاقة؟,الموصلات لها فجوة طاقة أكبر,العوازل لها فجوة طاقة أكبر,لا يوجد فرق في فجوة الطاقة,فجوة الطاقة لا علاقة لها بالتوصيل,B
ما هو مبدأ عمل الخلية الكهروضوئية؟,تحويل الضوء إلى كهرباء,تحويل الحرارة إلى كهرباء,تحويل الصوت إلى كهرباء,تحويل الحركة إلى كهرباء,A
ما هو قانون كيرشوف الثاني؟,مجموع التيارات عند نقطة تفرع يساوي صفر,مجموع فروق الجهد في دائرة مغلقة يساوي صفر,الطاقة لا تفنى ولا تستحدث,القوة تساوي الكتلة في التسارع,B
ما هي وظيفة الثنائي الضوئي (LED)؟,إصدار الضوء,قياس شدة الضوء,تحويل الضوء إلى كهرباء,تنظيم الجهد,A
ما هو مفهوم الرنين الكهربائي؟,تضخيم الإشارات الكهربائية,تردد معين تكون عنده الممانعة أقل ما يمكن,زيادة التيار في الدائرة,انخفاض الجهد في الدائرة,B
ما هو مبدأ عمل المحرك العالمي؟,يعمل على التيار المستمر والمتردد,يعمل فقط على التيار المستمر,يعمل فقط على التيار المتردد,يعمل على الطاقة الشمسية,A
ما هو قانون هوك للنابض؟,F = kx,E = mc²,F = ma,PV = nRT,A
ما هي وحدة قياس السماحية الكهربائية؟,فاراد/متر,هنري/متر,أوم متر,سيمنز/متر,A
ما هو مبدأ عمل المحول الإلكتروني؟,تحويل التيار المتردد إلى مستمر,تحويل التيار المستمر إلى متردد,رفع أو خفض الجهد باستخدام أشباه الموصلات,قياس الطاقة الكهربائية,C
ما هو الفرق بين التيار الفعال والتيار الظاهري؟,وحدة القياس,التيار الفعال هو الجزء الذي ينتج عنه طاقة مفيدة,التيار الظاهري أكبر دائماً,لا يوجد فرق,B
ما هي وحدة قياس الطاقة الحرارية الكهربائية؟,كالوري,جول,واط ساعة,بي تي يو,C
ما هو مبدأ عمل المكبر العملياتي؟,تضخيم فرق الجهد بين المدخلين,تخزين الشحنات الكهربائية,توليد الموجات الكهرومغناطيسية,تحويل التيار المستمر إلى متردد,A
ما هي وظيفة المرشح الترددي المنخفض؟,تمرير الترددات المنخفضة وحجب العالية,تمرير الترددات العالية وحجب المنخفضة,تضخيم جميع الترددات,حجب جميع الترددات,A
ما هو قانون جاوس الكهربائي؟,يربط التدفق الكهربائي بالشحنة المحصورة,يصف العلاقة بين التيار والجهد,يحدد سرعة انتشار الموجات الكهرومغناطيسية,يصف العلاقة بين الكتلة والطاقة,A
ما هي وحدة قياس كثافة التيار الكهربائي؟,أمبير/متر مربع,فولت/متر,واط/متر مكعب,كولوم/متر مكعب,A
ما هو مبدأ عمل المحرك التحريضي أحادي الطور؟,استخدام مكثف لإنشاء مجال مغناطيسي دوار,استخدام مغناطيس دائم,استخدام تيار مستمر,استخدام الطاقة النووية,A
ما هي وظيفة الثايرستور في الدوائر الكهربائية؟,التحكم في تدفق التيار,تخزين الشحنات,قياس الجهد,توليد الترددات العالية,A
ما هي وحدة قياس السعة الحرارية النوعية؟,جول/كيلوغرام·كلفن,واط/كيلوغرام,كالوري/غرام,جول/كيلوغرام,A
ما هو مبدأ عمل المحرك الخطي؟,تحويل الحركة الدورانية إلى خطية,إنتاج حركة خطية مباشرة,تحويل الطاقة الحرارية إلى حركة,تحويل الطاقة النووية إلى حركة,B
ما هي وظيفة المكثف في دوائر تقويم التيار؟,تنعيم التيار,زيادة الجهد,تقليل التيار,توليد الحرارة,A
ما هو قانون ماكسويل الثالث؟,يصف تغير المجال المغناطيسي مع الزمن,يربط بين الشحنة والمجال الكهربائي,يصف العلاقة بين التيار والمجال المغناطيسي,يحدد سرعة انتشار الموجات الكهرومغناطيسية,A
ما هي وحدة قياس المغناطيسية؟,أمبير/متر,تسلا,ويبر/متر مربع,هنري/متر,A
ما هي وظيفة الدايود الضوئي؟,إصدار الضوء عند مرور التيار,قياس شدة الضوء,تحويل الضوء إلى تيار كهربائي,تنظيم الجهد,A
ما هو الفرق بين المقاومة السالبة والموجبة؟,اتجاه التيار,العلاقة بين التيار والجهد,حجم المقاومة,نوع المادة المستخدمة,B
ما هو مبدأ عمل مقياس الجهد الكهربائي (الفولتميتر)؟,قياس التيار المار في الدائرة,قياس فرق الجهد بين نقطتين,قياس المقاومة الكهربائية,قياس القدرة الكهربائية,B
ما هي خاصية الحث الذاتي للملف؟,قدرته على تخزين الشحنات الكهربائية,قدرته على مقاومة تغير التيار المار فيه,قدرته على توليد تيار كهربائي,قدرته على تحويل الطاقة الكهربائية إلى حرارية,B
ما هو مبدأ عمل المحرك الخطوة؟,تحويل النبضات الكهربائية إلى حركة دورانية دقيقة,تحويل التيار المستمر إلى متردد,تحويل الطاقة الحرارية إلى كهربائية,تحويل الضوء إلى كهرباء,A
ما هي وظيفة المرشح الترددي العالي؟,تمرير الترددات المنخفضة,تمرير الترددات العالية,حجب جميع الترددات,تضخيم جميع الترددات,B
ما هو مبدأ عمل المكثف المتغير؟,تغيير المساحة بين اللوحات,تغيير المادة العازلة,تغيير الشحنة الكهربائية,تغيير الجهد المطبق,A
ما هي وظيفة المحول في محطات توليد الكهرباء؟,توليد الكهرباء,رفع الجهد لنقل الطاقة لمسافات طويلة,تخزين الطاقة الكهربائية,تحويل التيار المتردد إلى مستمر,B
ما هو مبدأ عمل البطارية الشمسية؟,تحويل الطاقة الحرارية إلى كهربائية,تحويل الطاقة الضوئية إلى كهربائية,تحويل الطاقة الميكانيكية إلى كهربائية,تخزين الطاقة الكهربائية,B
ما هي وظيفة المقوم الموجي الكامل؟,تحويل التيار المتردد إلى مستمر باستخدام دورة كاملة,تحويل التيار المستمر إلى متردد,تضخيم الإشارات الكهربائية,تخزين الطاقة الكهربائية,A
ما هو مبدأ عمل المحرك التزامني؟,الدوران بسرعة متزامنة مع تردد التيار,الدوران بسرعة أعلى من تردد التيار,الدوران بسرعة أقل من تردد التيار,الدوران بسرعة عشوائية,A
ما هي وظيفة الصمام الثنائي (الدايود) في الدوائر الإلكترونية؟,السماح بمرور التيار في اتجاه واحد فقط,تضخيم الإشارات الكهربائية,تخزين الشحنات الكهربائية,توليد الترددات العالية,A
ما هو مبدأ عمل المولد الكهربائي التزامني؟,تحويل الطاقة الميكانيكية إلى كهربائية بتردد ثابت,تحويل الطاقة الكهربائية إلى ميكانيكية,تخزين الطاقة الكهربائية,تحويل التيار المستمر إلى متردد,A
ما هي وظيفة المكثف في دوائر التنعيم؟,زيادة التيار,تقليل تموج التيار المستمر,زيادة الجهد,تحويل التيار المتردد إلى مستمر,B
ما هو مبدأ عمل الترانزستور ثنائي القطبية؟,التحكم في تيار كبير بواسطة تيار صغير,تخزين الشحنات الكهربائية,توليد الترددات العالية,تحويل التيار المستمر إلى متردد,A
ما هي وظيفة المرشح الترددي في الدوائر الإلكترونية؟,تمرير أو حجب ترددات معينة,تضخيم جميع الترددات,تخزين الطاقة الكهربائية,توليد الترددات العالية,A
ما هو مبدأ عمل المحرك الحثي ثلاثي الطور؟,استخدام مجال مغناطيسي دوار لتوليد عزم دوران,استخدام التيار المستمر لتوليد حركة,تحويل الطاقة الحرارية إلى حركة,استخدام الطاقة النووية لتوليد حركة,A
ما هي وظيفة المحول في أجهزة الشحن المحمولة؟,زيادة الجهد,تخفيض الجهد وتحويله إلى تيار مستمر,زيادة التيار,تخزين الطاقة الكهربائية,B
ما هو مبدأ عمل الخلية الكهروضوئية؟,تحويل الضوء إلى كهرباء,تحويل الحرارة إلى كهرباء,تحويل الصوت إلى كهرباء,تحويل الحركة إلى كهرباء,A
ما هي وظيفة المقاومة المتغيرة (البوتنشيوميتر) في الدوائر الكهربائية؟,تخزين الشحنات الكهربائية,التحكم في شدة التيار أو الجهد,توليد الترددات العالية,تحويل التيار المتردد إلى مستمر,B
ما هو مبدأ عمل الثيرمستور؟,تغير المقاومة مع تغير درجة الحرارة,تغير السعة مع تغير درجة الحرارة,تغير التيار مع تغير درجة الحرارة,تغير الجهد مع تغير درجة الحرارة,A
ما هي وظيفة المرحل (الريليه) في الدوائر الكهربائية؟,تخزين الطاقة الكهربائية,تضخيم الإشارات الكهربائية,التحكم في دائرة كهربائية باستخدام دائرة أخرى,تحويل التيار المتردد إلى مستمر,C
ما هو مبدأ عمل المكثف المتغير؟,تغيير المساحة بين اللوحات,تغيير المادة العازلة,تغيير الشحنة الكهربائية,تغيير الجهد المطبق,A
ما هي وظيفة الدايود زينر في الدوائر الإلكترونية؟,تنظيم الجهد,تضخيم الإشارات,تخزين الشحنات,توليد الترددات العالية,A
ما هو مبدأ عمل المحول الذاتي؟,استخدام ملف واحد لرفع أو خفض الجهد,استخدام ملفين منفصلين,تحويل التيار المستمر إلى متردد,تخزين الطاقة المغناطيسية,A
ما هي وظيفة الفيوز في الدوائر الكهربائية؟,زيادة التيار,تخزين الطاقة,حماية الدائرة من التيار الزائد,تحويل الجهد,C
ما هو مبدأ عمل الخلية الوقودية؟,تحويل الطاقة الكيميائية إلى كهربائية مباشرة,تحويل الطاقة الحرارية إلى كهربائية,تحويل الطاقة النووية إلى كهربائية,تحويل الطاقة الميكانيكية إلى كهربائية,A
ما هي وظيفة المكبر التفاضلي؟,تضخيم الفرق بين إشارتين,تخزين الشحنات الكهربائية,توليد الترددات العالية,تحويل التيار المتردد إلى مستمر,A
ما هو مبدأ عمل المحرك التحريضي أحادي الطور؟,استخدام مكثف لإنشاء مجال مغناطيسي دوار,استخدام مغناطيس دائم,استخدام تيار مستمر,استخدام الطاقة النووية,A
ما هي وظيفة الثايرستور في الدوائر الكهربائية؟,التحكم في تدفق التيار,تخزين الشحنات,قياس الجهد,توليد الترددات العالية,A
ما هو مبدأ عمل المولد الكهربائي التزامني؟,توليد تيار متردد بتردد ثابت,توليد تيار مستمر,تحويل التيار المتردد إلى مستمر,تخزين الطاقة الكهربائية,A
ما هي وظيفة المكثف في دوائر الرنين؟,تخزين الشحنة,تحديد التردد الرنيني,قياس التيار,توليد الحرارة,B
ما هو مبدأ عمل البطارية القابلة للشحن؟,تحويل الطاقة الكيميائية إلى كهربائية والعكس,تحويل الطاقة الحرارية إلى كهربائية,تحويل الطاقة الميكانيكية إلى كهربائية,تحويل الطاقة النووية إلى كهربائية,A
ما هي وظيفة الترانزستور في الدوائر الإلكترونية؟,تضخيم الإشارات الكهربائية,تخزين الشحنات,توليد الترددات العالية,كل ما سبق,D
ما هو مبدأ عمل المحرك الخطي؟,تحويل الحركة الدورانية إلى خطية,إنتاج حركة خطية مباشرة,تحويل الطاقة الحرارية إلى حركة,تحويل الطاقة النووية إلى حركة,B
ما هي وظيفة الدايود الضوئي (LED)؟,إصدار الضوء,قياس شدة الضوء,تحويل الضوء إلى كهرباء,تنظيم الجهد,A
ما هو مبدأ عمل المكبر العملياتي؟,تضخيم فرق الجهد بين المدخلين,تخزين الشحنات الكهربائية,توليد الموجات الكهرومغناطيسية,تحويل التيار المستمر إلى متردد,A
ما هي وظيفة المرشح الترددي المنخفض؟,تمرير الترددات المنخفضة وحجب العالية,تمرير الترددات العالية وحجب المنخفضة,تضخيم جميع الترددات,حجب جميع الترددات,A
ما هو مبدأ عمل المحرك الخطوي؟,التحكم الدقيق في الحركة الدورانية,زيادة السرعة تدريجياً,تقليل استهلاك الطاقة,توليد تيار متردد,A
ما هي وظيفة المحول في شبكات نقل الطاقة الكهربائية؟,توليد الكهرباء,تخزين الطاقة,رفع أو خفض الجهد,قياس استهلاك الطاقة,C
ما هو مبدأ عمل الخلية الكهروضوئية؟,تحويل الضوء إلى كهرباء,تحويل الحرارة إلى كهرباء,تحويل الصوت إلى كهرباء,تحويل الحركة إلى كهرباء,A
ما هي وظيفة العاكس (Inverter) في أنظمة الطاقة الشمسية؟,تخزين الطاقة,تحويل التيار المستمر إلى متردد,تحويل التيار المتردد إلى مستمر,قياس الإشعاع الشمسي,B
