question,A,B,C,D,answer
ما عدد مستويات الطاقة في ذرة عنصر موجود في الدورة الخامسة؟,3,4,5,6,C
ما هو العنصر الذي لا يوجد لديه إلكترونات حرة؟,النحاس,الفضة,الزئبق,الألمنيوم,C
ما هو العنصر الذي يكون غازيًا في درجة حرارة الغرفة؟,الهيليوم,الأكسجين,النيتروجين,الكبريت,A
ما هو أصغر عنصر في الجدول الدوري؟,الهيدروجين,الهيليوم,الليثيوم,البوتاسيوم,A
ما هو العنصر الذي يعرف بالملح؟,البوتاسيوم,الصوديوم,الكلور,الفلور,B
ما هي المجموعة التي ينتمي إليها الهيليوم في الجدول الدوري؟,المجموعة 18,المجموعة 17,المجموعة 1,المجموعة 2,A
ما هو العنصر الذي يشكل غالبية الغلاف الجوي؟,الأكسجين,النيتروجين,الهيدروجين,الكربون,B
ما هو العنصر الذي يستخدم في الأسلاك الكهربائية بسبب مرونته وقدرته على توصيل الكهرباء؟,الفضة,النحاس,الألومنيوم,الحديد,B
ما هو العنصر الذي يستخدم في صناعة الزجاج؟,الصوديوم,البوتاسيوم,الفلور,الكالسيوم,D
ما هو العنصر الذي يستخدم في الأطراف الصلبة للطائرات والمركبات الفضائية؟,التيتانيوم,الألومنيوم,المغنيسيوم,الحديد,B
ما هو العنصر الذي يستخدم في إنتاج البطاريات القابلة لإعادة الشحن؟,الرصاص,الزئبق,النيكل,البلاتين,C
من الفلاسفة الذين اقترحوا وجود الذرات في اليونان القديمة؟,ديموقريطوس,أرسطو,أفلاطون,سقراط,A
من الفلاسفة الهنود الذين اقترحوا وجود الذرات؟,كانادا,باتانجالي,غواوتاما بوذا,ماهارشي شودانا,A
ما هو الاسم الذي أطلقه كانادا على الذرات في فلسفته؟,بارامانوس,أنو,فيشيشا,درايفيا,A
من العلماء الذين أعادوا إحياء النظرية الذرية في القرن السابع عشر؟,إسحاق نيوتن,بيير جاسندي,أنطوان لافوازييه,جون دالتون,B
متى بدأت دراسة الكيمياء كعلم منفصل؟,في العصور الوسطى,في العصور القديمة,في العصور الحديثة,في العصور الحديثة المبكرة,D
من هو الكيميائي الذي اقترح وجود الذرات في اليونان القديمة؟,أرسطو,ديموقريطس,أفلاطون,أرخميدس,B
متى تم نشر الطبعة الأولى من الجدول الدوري للعناصر؟,في القرن التاسع عشر,في القرن العشرين,في القرن الثامن عشر,في القرن السابع عشر,A
من هو العالم الذي اكتشف الفلور؟,ماري كوري,أنطوان لافوازيه,دميتري مندليف,هنري موسلي,B
ما هي العملية التي تسمى بتقنية الكيمياء الخضراء؟,التفاعل الأنظف,الكيمياء البيئية,التقنيات الكيميائية الصديقة للبيئة,تكنولوجيا الكيمياء الخضراء,C
من هو الكيميائي الذي اكتشف الكتلة الذرية؟,أفوجادرو,لويس بيستور,أرخميدس,جون دالتون,A
ما هو الاسم الذي يعرف به الكيميائي الذي يعتبر أبو الكيمياء الحديثة؟,ديموقريطس,أفلاطون,أرسطو,أفوجادرو,D
متى اكتشف لويس بيستور عملية التعقيم؟,في القرن التاسع عشر,في القرن الثامن عشر,في القرن السابع عشر,في القرن السادس عشر,A
ما هي العملية التي تسمى بتفاعل الأوكسجين؟,التحلل,التحول,الاختزال,التأكسد,D
من هو العالم الذي اكتشف التركيب الدوري للعناصر؟,ديميتري مندليف,جون دالتون,لويس بيستور,أفوجادرو,A
من الذي اقترح أن الجزيئات تتكون من ذرات بينها قوى جذب؟,بيير جاسندي,جيمس كليرك ماكسويل,لودفيج بولتزمان,لينوس باولنغ,C
من الذي نشر مقالة شهيرة بعنوان الجزئيات في مجلة نيتشر؟,بيير جاسندي,جيمس كليرك ماكسويل,لودفيج بولتزمان,لينوس باولنغ,B
من الذي اقترح أن ذرات الكربون رباعية التكافؤ؟,بيير جاسندي,أوغست كيكولة,ألكسندر كروم براون,جيلبرت نيوتن لويس,B
ما هي نظرية الجزيئات؟,هي نظرية تفسر الطريقة التي يتفاعل بها الجسيمات المكونة للمادة,هي نظرية تفسر البنية الداخلية للذرات,هي نظرية تفسر تشكل العناصر الكيميائية,هي نظرية تفسر حركة الذرات في الفضاء,A
من اقترح أول نموذج للجزيئات؟,ديموقريطس,أرسطو,أفلاطون,أفوجادرو,A
ما هي الفرضية الأساسية في نظرية الجزيئات؟,أن الجسيمات تتكون من جزيئات صغيرة,أن الجسيمات لا تتفاعل مع بعضها,أن الجسيمات ليست لها هيكل محدد,أن الجسيمات تتحرك بسرعة ثابتة,A
من اقترح نظرية الجزيئات المثالية؟,أفوجادرو,ديميتري مندليف,أرسطو,جون دالتون,A
ما هو الهدف الرئيسي لنظرية الجزيئات؟,تفسير البنية الداخلية للذرات,تفسير سلوك المواد وتفاعلها,اكتشاف عناصر جديدة,توضيح حركة الجسيمات في الفضاء,B
ما هو الفرض الرئيسي في نظرية الجزيئات للمواد؟,أن المواد تتكون من جزيئات غير قابلة للتجزئة,أن المواد تتكون من جسيمات صغيرة تتفاعل مع بعضها,أن المواد تتكون من ذرات متطايرة في الفضاء,أن المواد ليست لها بنية داخلية,B
من أول عالم اقترح أن الجسيمات تتكون من جزيئات أصغر؟,ديموقريطس,أرسطو,أفوجادرو,أفلاطون,A
ما هو العامل الذي يحدد السلوك الكيميائي للمواد؟,الجسيمات,الذرات,الجزيئات,النواة,C
ما هو العملية التي تشير إلى حركة الجزيئات من مناطق عالية التركيز إلى مناطق منخفضة التركيز؟,التوازن الديناميكي,الانصهار,التبخر,الانتشار,D
ما هي الظاهرة التي يقترحها نظرية الجزيئات لتفسير ارتفاع ضغط الغاز عند تسخينه؟,زيادة سرعة الجزيئات,زيادة تركيز الجزيئات,تصادم الجزيئات,تحرك الجزيئات بشكل أكبر,C
ما هو العامل الذي يؤدي إلى زيادة سرعة الجزيئات في السائل عند تسخينه؟,تحول الجزيئات إلى غاز,انفصال الجزيئات عن بعضها,زيادة تركيز الجزيئات,زيادة تحرك الجزيئات,D
ما هو الجزء الذي يناقش نظرية فيسبر؟,المعادلة الملكية,هندسة جزيئية,حجم الجزيء,الطيف الجزيئي,B
ما هو المجال الذي يدرس أصغر وحدة من المادة الكيميائية النقية المحتفظة بتركيبها الكيميائي وخواصها؟,الكيمياء الجزيئية,علم الأحياء الجزيئي,الفيزياء الجزيئية,الكيمياء الحسابية,A
ما هو التعريف العلمي للجزيء؟,هو أصغر وحدة من المادة الكيميائية يمكن أن تشارك في التفاعلات الكيميائية,هو تجمع من الذرات يتكون منه المركبات الكيميائية,هو تجمع من الجزيئات الأصغر حجمًا,هو عنصر كيميائي يتكون منه المركبات الكيميائية,A
ما هو الفرق بين الجزيء والذرة؟,الجزيء هو أصغر وحدة من المادة الكيميائية بينما الذرة هي وحدة أساسية من العنصر,الذرة تتكون من الإلكترونات والبروتونات والنيوترونات بينما الجزيء يتكون من ذرات,الجزيء يتكون من الجزيئات بينما الذرة تتكون من الذرات,لا فرق بينهما,A
ما هي الحالة الطبيعية للجزيء في الغاز؟,الجزيء في شكل متجمد,الجزيء في شكل سائل,الجزيء في شكل غازي,الجزيء في شكل بخار,C
ما هي القوى التي تجذب الجزيئات في المواد السائلة؟,القوى الكهربائية,القوى الجاذبة,القوى الجزيئية,القوى الكيميائية,C
ما هو الترتيب الهندسي للجزيئات في الصلب؟,ترتيب عشوائي,ترتيب مترابط,ترتيب متسلسل,ترتيب متساوي,B
ما هي عملية التحول التي يتم فيها تكوين الجزيء من الذرات؟,التحلل,التفكك,الترسيب,التكوين,D
ما هو اتجاه حركة الجزيئات في السائل؟,ثابت,عشوائي,متجه,متسلسل,B
ما هي القوة الرئيسية التي تحدد شكل الجزيء؟,القوى الكيميائية,القوى الجاذبة,القوى الكهربائية,القوى الحرارية,A
ما هو تأثير ارتفاع درجة الحرارة على حركة الجزيئات؟,تباطؤ الحركة,تسارع الحركة,ثبات الحركة,تحول الحركة إلى اتجاه واحد,B
ما هي العملية التي تشير إلى تحول الجزيئات من الحالة الصلبة مباشرة إلى الحالة الغازية؟,التبخر,الذوبان,التكوين,التبلور,A
ما هو حجم نواة ذرة الهيدروجين مقارنة بحجم ذرة الهيدروجين؟,1:10000,1:100000,1:1000000,1:10000000,B
ما هي النسبة التي تشغلها نواة ذرة الهيدروجين من حجم الذرة؟,0.01%,0.1%,1%,10%,A
أي مما يلي صحيح بشأن حجم ذرات العناصر؟,تزداد أحجامها مع زيادة العدد الذري,تنقص أحجامها مع زيادة العدد الذري,تظل أحجامها ثابتة بغض النظر عن العدد الذري,تختلف أحجامها بناءً على عدد البروتونات في النواة,D
ما هو التعريف العلمي للذرة؟,هي أصغر وحدة من العنصر الكيميائي,هي تجمع من الجزيئات,هي أصغر جزء من المادة الكيميائية,هي مجموعة من النيوترونات والبروتونات,A
ما هو الجزء المركزي للذرة؟,البروتون,الإلكترون,النيوترون,الإلكترونات والبروتونات,D
ما هي الجزيئات التي تتكون منها الذرة؟,البروتونات والإلكترونات,البروتونات والنيوترونات,الإلكترونات والنيوترونات,البروتونات والإلكترونات والنيوترونات,D
ما هو عدد البروتونات في ذرة الهيدروجين؟,1,2,0,3,A
ما هو عدد النيوترونات في ذرة الهيدروجين؟,1,2,0,3,A
ما هو عدد الإلكترونات في ذرة الهيدروجين؟,1,2,0,3,A
ما هي الشحنة الكهربائية للبروتون؟,موجبة,سالبة,محايدة,متغيرة,A
ما هي الشحنة الكهربائية للإلكترون؟,موجبة,سالبة,محايدة,متغيرة,B
ما هو توزيع الإلكترونات في طبقات الذرة؟,متساوي,متسلسل,دائري,عشوائي,B
ما هو العدد الذري للهيدروجين؟,1,2,3,0,A
ما هي إحدى المواد الكيميائية الأولية؟,البترول,المطاط,الياف صناعية,حجر جيري,A
ما هي من المواد الكيميائية الأولية المستخدمة في صناعة المنسوجات؟,البترول,المطاط,الياف صناعية,حجر جيري,C
ما هي الصناعة التي تشمل إنتاج البلاستيك والمطاط؟,صناعة الأدوية,صناعة المبيدات الزراعية,صناعة البتروكيماويات,صناعة الأسمدة,C
ما هي الصناعة التي تستخدم المواد الكيميائية لمكافحة الآفات في الزراعة؟,صناعة البتروكيماويات,صناعة المبيدات الزراعية,صناعة الأسمدة,صناعة الأدوية,B
ما هي الصناعة التي تشمل إنتاج الأدوية والمواد الدوائية؟,صناعة البتروكيماويات,صناعة المبيدات الزراعية,صناعة الأسمدة,صناعة الأدوية,D
ما هي الصناعة التي تشمل إنتاج مواد الدهانات والطلاءات؟,صناعة الأدوية,صناعة المبيدات الزراعية,صناعة البتروكيماويات,صناعة الأسمدة,C
ما هي الصناعة التي تنتج مواد البناء والعوازل؟,صناعة الأسمدة,صناعة البتروكيماويات,صناعة المواد الكيميائية الخاصة,صناعة الأدوية,C
ما هي الصناعة التي تستخدم المواد الكيميائية في تحسين نمو النباتات؟,صناعة المبيدات الزراعية,صناعة الأسمدة,صناعة البتروكيماويات,صناعة الأدوية,B
ما هي الصناعة التي تنتج المواد اللاصقة؟,صناعة الأسمدة,صناعة المبيدات الزراعية,صناعة البتروكيماويات,صناعة المواد الكيميائية الخاصة,D
ما هي الصناعة التي تنتج المواد المستخدمة في التشحيم والتبريد؟,صناعة الأدوية,صناعة البتروكيماويات,صناعة المواد الكيميائية الخاصة,صناعة المبيدات الزراعية,C
ما هي الصناعة التي تنتج المواد الكيميائية المضافة للغذاء؟,صناعة البتروكيماويات,صناعة المواد الكيميائية الخاصة,صناعة المبيدات الزراعية,صناعة الأسمدة,B
ما هي الصناعة التي تنتج المواد الكيميائية المستخدمة في تصنيع المنظفات ومواد التنظيف؟,صناعة المبيدات الزراعية,صناعة الأسمدة,صناعة البتروكيماويات,صناعة المواد الكيميائية الخاصة,C
ما هو التعريف الحديث للعنصر الكيميائي؟,مادة كيميائية يمكن تجزئتها إلى مادة أبسط,مادة نقية لا يمكن تحليلها في أي مادة أخرى,مادة لها خصائص كيميائية متماثلة,مادة تتكون من ذرات لها نفس الكتلة,B
ما هي المجموعة التي تصنف فيها العناصر في الجدول الدوري؟,فترات,مجموعات,عائلات,أعمدة,B
ما هو الترتيب الذي يتم به ترتيب العناصر في الجدول الدوري؟,حسب أعدادها الذرية المتزايدة,حسب خصائصها الكيميائية,حسب خصائصها الفيزيائية,حسب اكتشافها التاريخي,A
إلى أي فئة من العناصر ينتمي الأكسجين وفقًا للجدول الدوري؟,فلز,لا فلز,شبه فلز,غاز نادر,B
ما هي أهمية العناصر الكيميائية في العمليات البيولوجية؟,تلعب دورًا حيويًا في العمليات البيولوجية,تستخدم كمواد بناء للكائنات الحية,تشارك في تفاعلات كيميائية مهمة,كل ما سبق,D
ما هو التعريف العلمي للعنصر الكيميائي؟,مادة تشكل من نوع واحد من الذرات,مادة تشكل من عدة أنواع من الذرات,مادة تشكل من جزيئات,مادة تتكون من الإلكترونات والبروتونات والنيوترونات,A
ما هو الرمز الكيميائي للهيدروجين؟,He,Hg,H,O,C
ما هو الرمز الكيميائي للأكسجين؟,He,Hg,H,O,D
ما هو العدد الذري للكربون؟,6,12,16,1,A
ما هو العدد الذري للألمونيوم؟,6,12,16,13,D
ما هو الرمز الكيميائي للنيتروجين؟,He,N,H,O,B
ما هو الرمز الكيميائي للكالسيوم؟,He,Ca,H,O,B
ما هو الرمز الكيميائي للفلور؟,He,F,H,O,B
ما هو العنصر الكيميائي الذي يمثله الرمز الكيميائي Fe؟,فلور,فلورين,حديد,نيتروجين,C
ما هو الرمز الكيميائي للزنك؟,He,Zn,H,O,B
ما هو تعريف الكيمياء؟,علم دراسة الأحياء,علم دراسة الكون,علم دراسة الجسيمات الفلكية,علم دراسة التركيب والخصائص والتفاعلات للمواد والمركبات الكيميائية,D
ما هي وحدة القياس للكتلة في الكيمياء؟,الجرام,الكيلوغرام,الغرام,الميليغرام,C
ما هو عنصر الذي يُعتبر أكثر شيوعًا في الكوكاكولا؟,الأكسجين,الكالسيوم,الكربون,الهيدروجين,D
ما هي الصيغة الكيميائية للماء؟,H2O,CO2,NaCl,HCl,A
ما هو اسم العنصر الذي يُمثله الرمز الكيميائي Fe؟,فلور,فلورين,حديد,نيتروجين,C
ما هي الصيغة الكيميائية لثاني أكسيد الكربون؟,CO,CO2,H2O,NaCl,B
ما هي الوحدة الأساسية للمادة؟,الذرة,الجزيء,الجملة,القرص,A
ما هي وحدة القياس للكثافة في الكيمياء؟,الجرام,الكيلوغرام,الغرام,الغرام لكل سنتيمتر مكعب,D
ما هو العنصر الذي يسبب لون النار الأخضر في الألعاب النارية؟,الكالسيوم,النيتروجين,الصوديوم,الباريوم,C
ما هو اسم العنصر الذي يُمثله الرمز الكيميائي Na؟,الصوديوم,البوتاسيوم,النحاس,الكلور,A
ما هو عدد الأكسجينات في جزيء ثاني أكسيد الكربون؟,1,2,3,4,B
ما هي العملية التي يتم فيها تحويل المواد من حالة معينة إلى حالة أخرى دون تغيير في التركيب الكيميائي؟,التفاعل الكيميائي,التحليل الكيميائي,التبلور الكيميائي,التغير الفيزيائي,D
ما هو العنصر الذي يمثله الرمز الكيميائي C؟,الكالسيوم,النحاس,الكربون,الصوديوم,C
ما هو اسم العنصر الذي يُمثله الرمز الكيميائي K؟,الصوديوم,الكالسيوم,البوتاسيوم,الحديد,C
ما هي الصيغة الكيميائية لثاني أكسيد النيتروجين؟,NO2,N2O,N2O4,NO,B
ما هي الصيغة الكيميائية لحمض الكبريتيك؟,HCl,H2SO4,HNO3,H2O,B
ما هي الوحدة الأساسية للتيار الكهربائي؟,الجول,الفولت,الأمبير,الواط,C
ما هو العنصر الذي يمثله الرمز الكيميائي Ca؟,الصوديوم,الكالسيوم,الحديد,الكربون,B
ما هي الصيغة الكيميائية لحمض الهيدروكلوريك؟,HCl,H2SO4,HNO3,H2O,A
ما هو اسم العنصر الذي يُمثله الرمز الكيميائي O؟,الأكسجين,النيتروجين,الكربون,الهيدروجين,A
ما هو أصل كلمة كيمياء؟,عربية,إغريقية,فرعونية,عبرية,A
من هو أول من عمل واشتغل بالكيمياء من العرب والمسلمين؟,خالد بن يزيد,جابر بن حيان,حاجي خليفة,ابن خلدون,A
في أي عصر ازدهرت الخيمياء؟,العصر الهلنستي,العصر الوسطى,العصر الحديث,العصر المعاصر,A
من هو أول من وضع قانون يعرف باسمه ووضع فيه العلاقة بين ضغط الغاز وحجمه؟,جابر بن حيان,زوسيموس,أبو القاسم مسلمة بن أحمد المجريطي,دالتون,A
من هو أول من اكتشف الأكسجين في الهواء؟,برستلي,كافنديش,لافوازييه,دالتون,A
من هو العالم الذي اقترح نظرية في العصور الحديثة بالنظر الذري؟,طومسون,دالتون,مادلينغ,أفوجادرو,B
ما هو تعريف الحالة الصلبة في الكيمياء؟,الحالة التي تتميز بسريان الجزيئات بحرية واسعة,الحالة التي تتميز بتجميع الجزيئات في شبكة مرتبة وثابتة,الحالة التي تتميز بانخفاض الكثافة,الحالة التي تتميز بتغير شكل المادة باستمرار,B
ما هو الترتيب الذي يتبعه الذرات أو الجزيئات في الحالة الصلبة؟,ترتيب عشوائي,ترتيب مرتب وثابت,ترتيب غير محدد,ترتيب متغير,B
ما هي البنية البلورية؟,الترتيب الذي تتبعه الذرات في الحالة الصلبة,الترتيب الذي تتبعه الجزيئات في الحالة الصلبة,ترتيب الجزيئات في السائل,الترتيب الذي تتبعه الجزيئات في الغاز,A
ما هو مفهوم الشبكة البلورية في الحالة الصلبة؟,ترتيب الذرات في شكل مرتب وثابت,ترتيب الذرات في شكل عشوائي,ترتيب الذرات في شكل متغير,ترتيب الذرات في شكل غير محدد,A
ما هو تأثير درجة الحرارة على الحالة الصلبة؟,تغير الشكل,تغير الحجم,تغير البنية البلورية,تغير اللون,C
ما هو مفهوم الانتقال الزجاجي في الحالة الصلبة؟,انتقال الشكل,انتقال الحجم,انتقال البنية البلورية,انتقال اللون,C
ما هو تأثير الضغط على الحالة الصلبة؟,تغير الشكل,تغير الحجم,تغير البنية البلورية,تغير اللون,B
ما هي الخصائص الميكانيكية للمواد الصلبة؟,المرونة والقساوة,التسامح والسرعة,الليونة والرقة,التمدد والضغط,A
ما هي الخصائص الكهربائية للمواد الصلبة؟,الموصلية والسعة الحرارية,المقاومة والتوصيلية,الحجم والكتلة,اللون والشكل,B
ما هو تعريف كيمياء الكم؟,فرع من الفيزياء يدرس السلوك الكيميائي للذرات والجزيئات,فرع من الكيمياء يدرس التفاعلات الكيميائية بدقة على المستوى الذري,فرع من الكيمياء يدرس التفاعلات الكيميائية بالتركيز على العمليات البصرية,فرع من الكيمياء يدرس السلوك الحراري للمواد,A
ما هو الدور الأساسي لمبدأ البولية في كيمياء الكم؟,تحديد الطاقة الإلكترونية للذرات والجزيئات,تحديد توزيع الإلكترونات حول الذرة,توضيح العلاقة بين الطاقة والموجات الكهرومغناطيسية,تفسير الخواص الكيميائية للمواد بناءً على الطاقة الإلكترونية,A
ما هو المفهوم الرئيسي لمفاهيم الكم في كيمياء الكم؟,الجسيمات الموجية,الكتل الذرية,المستويات الطاقوية,القوى الكهربائية,C
ما هو المفهوم الرئيسي للأوربيتال في كيمياء الكم؟,المناطق المحيطة بالذرة حيث يمكن العثور على الإلكترونات بأعلى احتمال,المستويات الطاقوية المحيطة بالنواة الذرية,الجسيمات النووية في الذرة,المجالات النووية المحيطة بالنواة الذرية,A
ما هو مفهوم الانحراف المعياري في كيمياء الكم؟,مقياس لتباين البيانات عن المتوسط,مقياس لتركيز الإلكترونات حول الذرة,مقياس لتوزيع الإلكترونات في الطبقات الإلكترونية,مقياس لطاقة الجسيمات النووية,A
ما هي الحالة الكمية التي يمكن أن تأخذها الطاقة الإلكترونية في الذرة؟,المستوى الرئيسي,المستوى الفرعي,المستوى الحيوي,المستوى الكمومي,A
ما هي العلاقة بين الطول الموجي والتردد في الكيمياء الكمومية؟,علاقة طردية,علاقة طردية عكسية,علاقة طردية متناسبة,لا توجد علاقة,C
ما هي العملية التي يتم فيها تحديد موقع الإلكترونات حول النواة الذرية في كيمياء الكم؟,عملية الجذب النووي,عملية الانحراف الإلكتروني,عملية التصادم الإلكتروني,عملية الانتشار الإلكتروني,A
ما هو المفهوم الرئيسي للتفاعل الكيميائي في كيمياء الكم؟,تبادل الإلكترونات بين الذرات,تبادل البروتونات بين الذرات,تبادل النيوترونات بين الذرات,تبادل البروتونات والنيوترونات بين الذرات,A
ما هو الفرق بين نظريات الكم والكيمياء التقليدية؟,الكم يركز على المستوى الذري والجزيئي بينما الكيمياء التقليدية تركز على المستوى الماكروسكوبي,الكم يركز على المستوى الماكروسكوبي بينما الكيمياء التقليدية تركز على المستوى الذري والجزيئي,لا يوجد فرق,الكم يركز على التجارب الكيميائية بينما الكيمياء التقليدية تركز على النظريات الكيميائية,A
ما هي الصيغة الرياضية التي تصف حركة الجزيئات في كيمياء الكم؟,معادلة شرودنغر,معادلة هاملتوني,معادلة الديناميكية الجزيئية,معادلة بورن-أوبنهايمر,C
على ماذا يعتمد حل معادلة شرودنغر في نموذج الموجة؟,بعض الأرقام المسماة الأعداد الكمية,دالة الموجة,مبدأ استبعاد باولي,قاعدة هوند,A
ماذا يصف مفهوم رابطة التكافؤ في كيمياء الكم؟,التفاعلات الفردية بين الذرات,دمج المدارات الذرية,نظرية الزوج المشترك من الإلكترونات,حركة الجزيئات,B
ما هي الطريقة المستخدمة لتمثيل التفاعلات بين الذرات في الديناميكيات الكيميائية ثابتة الحرارة؟,أسطح الطاقة المحتملة,نظرية الحالة الانتقالية,نظرية رايس ورامسبيرغر وكاسل وماركوس,تحول النداو- زينر,C
