question,A,B,C,D,answer
ما هو الفرق بين الطاقة الكهربائية والطاقة المغناطيسية؟,الطاقة الكهربائية هي الطاقة التي يمتلكها الجسم بسبب وجود تيار كهربائي، بينما الطاقة المغناطيسية هي الطاقة التي يمتلكها الجسم بسبب وجود حقل مغناطيسي,الطاقة المغناطيسية هي الطاقة التي يمتلكها الجسم بسبب وجود تيار كهربائي، بينما الطاقة الكهربائية هي الطاقة التي يمتلكها الجسم بسبب وجود حقل مغناطيسي,لا يوجد فرق بينهما,كلا الجوابين الأول والثاني صحيح,A
ما هو القانون الخامس لنيوتن؟,القانون الثاني,القانون الأول,القانون الثالث,لا يوجد قانون خامس لنيوتن,D
ما هي وحدة الشحنة الكهربائية في النظام الدولي؟,جول,واط,نيوتن,كولوم,D
ما هو الفرق بين الطاقة المغناطيسية والطاقة النووية؟,الطاقة المغناطيسية هي الطاقة التي يمتلكها الجسم بسبب وجود حقل مغناطيسي، بينما الطاقة النووية هي الطاقة التي يمتلكها الجسم بسبب وجود تفاعلات نووية,الطاقة النووية هي الطاقة التي يمتلكها الجسم بسبب وجود حقل مغناطيسي، بينما الطاقة المغناطيسية هي الطاقة التي يمتلكها الجسم بسبب وجود تفاعلات نووية,لا يوجد فرق بينهما,كلا الجوابين الأول والثاني صحيح,A
ما هو الفرق بين الأمواج الطولية والأمواج العرضية؟,الأمواج الطولية تتحرك في نفس الاتجاه كما تتحرك الجزيئات، بينما الأمواج العرضية تتحرك عمودياً على اتجاه حركة الجزيئات,الأمواج العرضية تتحرك في نفس الاتجاه كما تتحرك الجزيئات، بينما الأمواج الطولية تتحرك عمودياً على اتجاه حركة الجزيئات,لا يوجد فرق بينهما,كلا الجوابين الأول والثاني صحيح,A
ما هو الفرق بين الضوء المرئي والأشعة تحت الحمراء؟,الضوء المرئي هو الضوء الذي يمكن للعين البشرية رؤيته، بينما الأشعة تحت الحمراء لها طول موجي أطول من الضوء المرئي ولا يمكن رؤيتها بالعين البشرية,الأشعة تحت الحمراء هي الضوء الذي يمكن للعين البشرية رؤيته، بينما الضوء المرئي له طول موجي أطول من الأشعة تحت الحمراء ولا يمكن رؤيته بالعين البشرية,لا يوجد فرق بينهما,كلا الجوابين الأول والثاني صحيح,A
ما هو الفرق بين الكهرباء الساكنة والكهرباء الحركية؟,الكهرباء الساكنة هي الكهرباء التي تتراكم على سطح الجسم ولا تتحرك، بينما الكهرباء الحركية هي الكهرباء التي تتحرك في موصل,الكهرباء الحركية هي الكهرباء التي تتراكم على سطح الجسم ولا تتحرك، بينما الكهرباء الساكنة هي الكهرباء التي تتحرك في موصل,لا يوجد فرق بينهما,كلا الجوابين الأول والثاني صحيح,A
ما هو الفرق بين الأمواج الكهرومغناطيسية والأمواج الميكانيكية؟,الأمواج الكهرومغناطيسية يمكن أن تنتقل في الفراغ، بينما الأمواج الميكانيكية تحتاج إلى وسط للانتقال,الأمواج الميكانيكية يمكن أن تنتقل في الفراغ، بينما الأمواج الكهرومغناطيسية تحتاج إلى وسط للانتقال,لا يوجد فرق بينهما,كلا الجوابين الأول والثاني صحيح,A
ما هي وحدة الشدة الكهربائية في النظام الدولي؟,جول,أمبير,نيوتن,متر,B
ما هو الفرق بين الطاقة النووية والطاقة الكيميائية؟,الطاقة النووية هي الطاقة التي يمتلكها الجسم بسبب وجود تفاعلات نووية، بينما الطاقة الكيميائية هي الطاقة التي يمتلكها الجسم بسبب وجود تفاعلات كيميائية,الطاقة الكيميائية هي الطاقة التي يمتلكها الجسم بسبب وجود تفاعلات نووية، بينما الطاقة النووية هي الطاقة التي يمتلكها الجسم بسبب وجود تفاعلات كيميائية,لا يوجد فرق بينهما,كلا الجوابين الأول والثاني صحيح,A
ما هو الفرق بين الأمواج الكهرومغناطيسية والأمواج الصوتية؟,الأمواج الكهرومغناطيسية يمكن أن تنتقل في الفراغ، بينما الأمواج الصوتية تحتاج إلى وسط للانتقال,الأمواج الصوتية يمكن أن تنتقل في الفراغ، بينما الأمواج الكهرومغناطيسية تحتاج إلى وسط للانتقال,لا يوجد فرق بينهما,كلا الجوابين الأول والثاني صحيح,A
ما هي وحدة التردد في النظام الدولي؟,جول,هرتز,نيوتن,متر,B
ما هو الفرق بين الطاقة الحرارية والطاقة الميكانيكية؟,الطاقة الحرارية هي الطاقة التي يمتلكها الجسم بسبب حركة جزيئاته، بينما الطاقة الميكانيكية هي الطاقة التي يمتلكها الجسم بسبب حركته أو موقعه,الطاقة الميكانيكية هي الطاقة التي يمتلكها الجسم بسبب حركة جزيئاته، بينما الطاقة الحرارية هي الطاقة التي يمتلكها الجسم بسبب حركته أو موقعه,لا يوجد فرق بينهما,كلا الجوابين الأول والثاني صحيح,A
ما هو الفرق بين الأمواج الكهرومغناطيسية والأمواج الراديو؟,الأمواج الكهرومغناطيسية يمكن أن تنتقل في الفراغ، بينما الأمواج الراديو تحتاج إلى وسط للانتقال,الأمواج الراديو يمكن أن تنتقل في الفراغ، بينما الأمواج الكهرومغناطيسية تحتاج إلى وسط للانتقال,لا يوجد فرق بينهما,كلا الجوابين الأول والثاني صحيح,A
ما هي وحدة المقاومة الكهربائية في النظام الدولي؟,جول,أوم,نيوتن,متر,B
ما هو الفرق بين الطاقة الميكانيكية والطاقة الكهربائية؟,الطاقة الميكانيكية هي الطاقة التي يمتلكها الجسم بسبب حركته أو موقعه، بينما الطاقة الكهربائية هي الطاقة التي يمتلكها الجسم بسبب وجود تيار كهربائي,الطاقة الكهربائية هي الطاقة التي يمتلكها الجسم بسبب حركته أو موقعه، بينما الطاقة الميكانيكية هي الطاقة التي يمتلكها الجسم بسبب وجود تيار كهربائي,لا يوجد فرق بينهما,كلا الجوابين الأول والثاني صحيح,A
ما هو الفرق بين الأمواج الكهرومغناطيسية والأمواج الراديو؟,الأمواج الكهرومغناطيسية يمكن أن تنتقل في الفراغ، بينما الأمواج الراديو تحتاج إلى وسط للانتقال,الأمواج الراديو يمكن أن تنتقل في الفراغ، بينما الأمواج الكهرومغناطيسية تحتاج إلى وسط للانتقال,لا يوجد فرق بينهما,كلا الجوابين الأول والثاني صحيح,A
ما هي وحدة المقاومة الكهربائية في النظام الدولي؟,جول,أوم,نيوتن,متر,B
ما هو الفرق بين الطاقة الميكانيكية والطاقة الكهربائية؟,الطاقة الميكانيكية هي الطاقة التي يمتلكها الجسم بسبب حركته أو موقعه، بينما الطاقة الكهربائية هي الطاقة التي يمتلكها الجسم بسبب وجود تيار كهربائي,الطاقة الكهربائية هي الطاقة التي يمتلكها الجسم بسبب حركته أو موقعه، بينما الطاقة الميكانيكية هي الطاقة التي يمتلكها الجسم بسبب وجود تيار كهربائي,لا يوجد فرق بينهما,كلا الجوابين الأول والثاني صحيح,A
ما هو الفرق بين الأمواج الكهرومغناطيسية والأمواج الراديو؟,الأمواج الكهرومغناطيسية يمكن أن تنتقل في الفراغ، بينما الأمواج الراديو تحتاج إلى وسط للانتقال,الأمواج الراديو يمكن أن تنتقل في الفراغ، بينما الأمواج الكهرومغناطيسية تحتاج إلى وسط للانتقال,لا يوجد فرق بينهما,كلا الجوابين الأول والثاني صحيح,A
ما هي وحدة المقاومة الكهربائية في النظام الدولي؟,جول,أوم,نيوتن,متر,B
ما هو الفرق بين الطاقة الميكانيكية والطاقة الكهربائية؟,الطاقة الميكانيكية هي الطاقة التي يمتلكها الجسم بسبب حركته أو موقعه، بينما الطاقة الكهربائية هي الطاقة التي يمتلكها الجسم بسبب وجود تيار كهربائي,الطاقة الكهربائية هي الطاقة التي يمتلكها الجسم بسبب حركته أو موقعه، بينما الطاقة الميكانيكية هي الطاقة التي يمتلكها الجسم بسبب وجود تيار كهربائي,لا يوجد فرق بينهما,كلا الجوابين الأول والثاني صحيح,A
ما هو الفرق بين الطاقة الكهربائية والطاقة المغناطيسية؟,الطاقة الكهربائية هي الطاقة التي يمتلكها الجسم بسبب وجود تيار كهربائي، بينما الطاقة المغناطيسية هي الطاقة التي يمتلكها الجسم بسبب وجود حقل مغناطيسي,الطاقة المغناطيسية هي الطاقة التي يمتلكها الجسم بسبب وجود تيار كهربائي، بينما الطاقة الكهربائية هي الطاقة التي يمتلكها الجسم بسبب وجود حقل مغناطيسي,لا يوجد فرق بينهما,كلا الجوابين الأول والثاني صحيح,A
ما هو الفرق بين الطاقة الكهربائية والطاقة الكيميائية؟,الطاقة الكهربائية هي الطاقة التي يمتلكها الجسم بسبب وجود تيار كهربائي، بينما الطاقة الكيميائية هي الطاقة التي يمتلكها الجسم بسبب وجود تفاعلات كيميائية,الطاقة الكيميائية هي الطاقة التي يمتلكها الجسم بسبب وجود تيار كهربائي، بينما الطاقة الكهربائية هي الطاقة التي يمتلكها الجسم بسبب وجود تفاعلات كيميائية,لا يوجد فرق بينهما,كلا الجوابين الأول والثاني صحيح,A
ما هو الفرق بين الطاقة الكيميائية والطاقة الحرارية؟,الطاقة الكيميائية هي الطاقة التي يمتلكها الجسم بسبب وجود تفاعلات كيميائية، بينما الطاقة الحرارية هي الطاقة التي يمتلكها الجسم بسبب حركة جزيئاته,الطاقة الحرارية هي الطاقة التي يمتلكها الجسم بسبب وجود تفاعلات كيميائية، بينما الطاقة الكيميائية هي الطاقة التي يمتلكها الجسم بسبب حركة جزيئاته,لا يوجد فرق بينهما,كلا الجوابين الأول والثاني صحيح,A
ما هو الفرق بين الأمواج الكهرومغناطيسية والأمواج الراديو؟,الأمواج الكهرومغناطيسية يمكن أن تنتقل في الفراغ، بينما الأمواج الراديو تحتاج إلى وسط للانتقال,الأمواج الراديو يمكن أن تنتقل في الفراغ، بينما الأمواج الكهرومغناطيسية تحتاج إلى وسط للانتقال,لا يوجد فرق بينهما,كلا الجوابين الأول والثاني صحيح,A
ما هي وحدة المقاومة الكهربائية في النظام الدولي؟,جول,أوم,نيوتن,متر,B
ما هو الفرق بين الطاقة الميكانيكية والطاقة الكهربائية؟,الطاقة الميكانيكية هي الطاقة التي يمتلكها الجسم بسبب حركته أو موقعه، بينما الطاقة الكهربائية هي الطاقة التي يمتلكها الجسم بسبب وجود تيار كهربائي,الطاقة الكهربائية هي الطاقة التي يمتلكها الجسم بسبب حركته أو موقعه، بينما الطاقة الميكانيكية هي الطاقة التي يمتلكها الجسم بسبب وجود تيار كهربائي,لا يوجد فرق بينهما,كلا الجوابين الأول والثاني صحيح,A
ما هو الفرق بين الفيزياء الكلاسيكية والفيزياء النسبية؟,الفيزياء الكلاسيكية تصف الظواهر الطبيعية التي تحدث على مقياس الأجسام الكبيرة، بينما الفيزياء النسبية تصف الظواهر الطبيعية التي تحدث عند السرعات العالية,الفيزياء النسبية تصف الظواهر الطبيعية التي تحدث على مقياس الأجسام الكبيرة، بينما الفيزياء الكلاسيكية تصف الظواهر الطبيعية التي تحدث عند السرعات العالية,لا يوجد فرق بينهما,كلا الجوابين الأول والثاني صحيح,A
ما هي وحدة الطاقة في النظام الدولي؟,جول,واط,نيوتن,متر,A
ما هو الفرق بين الطاقة الكهربائية والطاقة النووية؟,الطاقة الكهربائية هي الطاقة التي يمتلكها الجسم بسبب وجود تيار كهربائي، بينما الطاقة النووية هي الطاقة التي يمتلكها الجسم بسبب وجود تفاعلات نووية,الطاقة النووية هي الطاقة التي يمتلكها الجسم بسبب وجود تيار كهربائي، بينما الطاقة الكهربائية هي الطاقة التي يمتلكها الجسم بسبب وجود تفاعلات نووية,لا يوجد فرق بينهما,كلا الجوابين الأول والثاني صحيح,A
ما هي الوحدات القياسية للزمن في الميكانيكا التقليدية؟,ثانية,دقيقة,ساعة,يوم,A
ما هو قانون نيوتن الأول؟,يبقى الجسم ساكنا حتى تؤثر عليه قوة خارجية,تسارع الجسم يتناسب طرديا مع القوة المؤثرة عليه,لكل فعل رد فعل مساو له في المقدار ومعاكس له في الاتجاه,جميع ما سبق,A
ما هي وحدة قياس العزم؟,نيوتن,نيوتن متر,كيلوغرام,واط,B
ما هو مبدأ الفعل الأدنى؟,يتبع الجسم المسار الذي يجعله يستهلك أقل طاقة ممكنة,يتحرك الجسم في مسار مستقيم ما لم تؤثر عليه قوة خارجية,تسارع الجسم يتناسب عكسيا مع كتلته,الطاقة الكلية للجسم محفوظة,A
ما هو قانون انحفاظ الطاقة الكلية؟,مجموع الطاقة الحركية والطاقة الكامنة ثابت,كمية الحركة ثابتة,العزم الزاوي ثابت,الطاقة لا تفنى ولا تستحدث,A
ما هو تعريف السرعة في الميكانيكا التقليدية؟,التغير في الموقع مع مرور الزمن,التغير في السرعة مع مرور الزمن,المسافة المقطوعة في وقت محدد,السرعة النسبية بين جسمين,A
ما هو تعريف القوة في الميكانيكا التقليدية؟,التغير في الموقع مع مرور الزمن,التغير في السرعة مع مرور الزمن,التأثير الذي يفعله جسم على جسم آخر,السرعة النسبية بين جسمين,C
ما هي القانون الأول لنيوتن في الميكانيكا التقليدية؟,قانون الحركة,قانون السرعة,قانون الشغل,قانون الحركة النسبية,A
ما هو القانون الثالث لنيوتن في الميكانيكا التقليدية؟,قانون الحركة,قانون السرعة,قانون الشغل,قانون الحركة النسبية,C
ما هو القانون الثاني لنيوتن في الميكانيكا التقليدية؟,قانون الحركة,قانون السرعة,قانون الشغل,قانون الحركة النسبية,B
ما هو التعريف الفيزيائي للشغل في الميكانيكا التقليدية؟,التغير في الموقع مع مرور الزمن,التغير في السرعة مع مرور الزمن,التأثير الذي يفعله جسم على جسم آخر,السرعة النسبية بين جسمين,C
ما هي الوحدة الدولية المستخدمة لقياس القوة في الميكانيكا التقليدية؟,الواط,الجول,النيوتن,الباسكال,C
ما هي الوحدة الدولية المستخدمة لقياس الشغل في الميكانيكا التقليدية؟,الواط,الجول,النيوتن,الباسكال,B
ما هو الفرق بين الكتلة والوزن في الميكانيكا التقليدية؟,الوزن هو كتلة الجسم ضرباً في الجاذبية,الكتلة هي قوة الجاذبية المؤثرة على الجسم,الوزن هو الكتلة المتسارعة,الكتلة هي الوزن المتسارع,A
ما هي قانون حفظ الطاقة في الميكانيكا التقليدية؟,الطاقة لا يمكن إنشاؤها أو تدميرها، فقط يمكن تحويلها من شكل إلى آخر,الطاقة تزيد مع الوقت,الطاقة تنقص مع الوقت,الطاقة تبقى ثابتة في الوقت,A
ما هي القوة التي تؤثر على جسيم مشحون يتحرك في مجال كهرومغناطيسي؟,قوة لورنتز,قوة الجاذبية,قوة الاحتكاك,القوة النووية القوية,A
ما هي الوحدة المستخدمة لقياس شدة المجال المغناطيسي؟,تسلا,نيوتن,فولت,ويبر,A
ما هي الأداة المستخدمة لتشغيل المحركات الكهربائية؟,قوة لورنتز,مجال كهربائي,مجال مغناطيسي,المحرك الحثي,A
ما الذي يحدث عندما يتغير التدفق المغناطيسي بمرور الوقت؟,ينتج مجال كهربائي,ينتج مجال مغناطيسي,ينتج تيار كهربائي,لا شيء,A
ما هو نوع الموجات الكهرومغناطيسية الذي نعرفه جيدًا؟,الضوء المرئي,أشعة جاما,أشعة إكس,الموجات الراديوية,A
ما هي الوحدات المستخدمة لقياس التدفق المغناطيسي؟,الويبر,التسلا,الأمبير,الجاوس,A
ما هي المعادلة المستخدمة لحساب شدة المجال الكهربائي عند نقطة ما؟,F = qvBsinθ,E = q/r,B = μ0I/2πr,V = Ed,B
ما الذي يسبب حدوث قوة لورنتز؟,مرور جسيم مشحون في مجال كهرومغناطيسي,تغير المجال المغناطيسي بمرور الوقت,وجود مجال كهربائي ومجال مغناطيسي,جميع ما سبق,D
ما هي المعادلة التي تصف العلاقة بين تغير كثافة التيار الكهربائي وتغير الشحنة الكهربائية في الزمان؟,معادلة جاوس للكهرباء,معادلة فاراداي للكهرباء,معادلة أمبير-ماكسويل,معادلة بيوت-سافار,C
ما هي المعادلة التي تصف توليد الجهد الكهربائي بواسطة المغناطيسية؟,معادلة جاوس للمغناطيسية,معادلة فاراداي للمغناطيسية,معادلة أمبير-ماكسويل,معادلة بيوت-سافار,B
ما هي المعادلة التي تصف التغير المغناطيسي للتيار الكهربائي؟,معادلة جاوس للكهرباء,معادلة فاراداي للكهرباء,معادلة أمبير-ماكسويل,معادلة بيوت-سافار,C
ما هي المعادلة التي تصف علاقة التيار الكهربائي بتغير كثافة الكهرباء؟,معادلة جاوس للكهرباء,معادلة فاراداي للكهرباء,معادلة أمبير-ماكسويل,معادلة بيوت-سافار,A
ما هي المعادلة التي تصف الانحراف المغناطيسي الناتج عن تيار كهربائي؟,معادلة جاوس للمغناطيسية,معادلة فاراداي للمغناطيسية,معادلة أمبير-ماكسويل,معادلة بيوت-سافار,C
ما هي المعادلة التي تصف تأثير التيار الكهربائي على المغناطيسية؟,معادلة جاوس للمغناطيسية,معادلة فاراداي للمغناطيسية,معادلة أمبير-ماكسويل,معادلة بيوت-سافار,C
ما هي المعادلة التي تصف علاقة الكهرباء بالمغناطيسية؟,معادلة جاوس للكهرباء,معادلة فاراداي للكهرباء,معادلة أمبير-ماكسويل,معادلة بيوت-سافار,C
ما هي المعادلة التي تصف الارتباط بين التيار الكهربائي والمجال المغناطيسي؟,معادلة جاوس للمغناطيسية,معادلة فاراداي للمغناطيسية,معادلة أمبير-ماكسويل,معادلة بيوت-سافار,C
ما هي المعادلة التي تصف التغير الكهربائي للتيار الكهربائي؟,معادلة جاوس للكهرباء,معادلة فاراداي للكهرباء,معادلة أمبير-ماكسويل,معادلة بيوت-سافار,B
ما هي المعادلة التي تصف الارتباط بين الشحنة الكهربائية والمجال الكهربائي؟,معادلة جاوس للكهرباء,معادلة فاراداي للكهرباء,معادلة أمبير-ماكسويل,معادلة بيوت-سافار,A
ما الذي أنهى سيطرة الوصف الكلاسيكي للظواهر الفيزيائية؟,فيزياء الضوء,ميكانيكا الكم و نسبية أينشتاين,الفيزياء النووية,فيزياء الجسيمات,B
ما هي السرعات التي تتضمنها النسبية في الفيزياء الحديثة؟,سرعات تقارب سرعة الضوء,سرعات تفوق سرعة الضوء,سرعات منخفضة جدًا,جميع السرعات,A
ما هي المسافات التي تتضمنها ميكانيكا الكم في الفيزياء الحديثة؟,مسافات مقاربة لأبعاد الذرات,مسافات أكبر بكثير من الأبعاد الذرية,مسافات أصغر بكثير من الأبعاد الذرية,جميع المسافات,A
متى بدأت الفيزياء الحديثة في التطور؟,في أوائل القرن العشرين,في منتصف القرن التاسع عشر,في أواخر القرن الثامن عشر,في أواخر القرن السابع عشر,A
ما هي الخاصية التي تميز ميكانيكا الكم عن الفيزياء الكلاسيكية؟,تكميم الطاقة والزخم والزخم الزاوي,ازدواجية موجة-جسيم,مبدأ عدم اليقين,الكل,D
من هو العالم الذي اقترح حلًا لمشكلة إشعاع الجسم الأسود في عام 1900؟,ألبرت أينشتاين,ماكس بلانك,نيلز بور,إرفين شرودنجر,B
ما هو الاسم الذي يُطلق على كيان رياضي يوفر معلومات حول قياسات الجسيمات في ميكانيكا الكم؟,دالة الموجة,عامل التشغيل,المتجه الذاتي,معادلة شرودنجر,A
ما هي إحدى التطبيقات العملية لميكانيكا الكم؟,الليزر,الترانزستور,الخليط فائق الموصلية,الكل,D
ما هو المجال العلمي الذي يدمج ميكانيكا الكم مع نظرية النسبية العامة؟,نظرية الحقل الكمومي,ميكانيكا الكم العيانية,نظرية الأوتار,الجاذبية الكمية الحلقية,D
ما هي فكرة الاندماج في ميكانيكا الكم؟,تفسير الجسيمات كموجات,القدرة على قياس موقع الجسيمات بدقة مطلقة,الاحتمالات المتعددة لحالات الجسيمات في نفس الوقت,التفاعل المتبادل بين الجسيمات عبر المسافات الكبيرة,A
ما هو تفسير التداخل الكمومي؟,تفسير الجسيمات كموجات,القدرة على قياس موقع الجسيمات بدقة مطلقة,الاحتمالات المتعددة لحالات الجسيمات في نفس الوقت,التفاعل المتبادل بين الجسيمات عبر المسافات الكبيرة,A
ما هي أساسيات تفسير الفجوة في ميكانيكا الكم؟,تفسير الجسيمات كموجات,القدرة على قياس موقع الجسيمات بدقة مطلقة,الاحتمالات المتعددة لحالات الجسيمات في نفس الوقت,التفاعل المتبادل بين الجسيمات عبر المسافات الكبيرة,C
ما هو المفهوم الأساسي لمفاهيم التشوه الزمني في ميكانيكا الكم؟,تفسير الجسيمات كموجات,القدرة على قياس موقع الجسيمات بدقة مطلقة,الاحتمالات المتعددة لحالات الجسيمات في نفس الوقت,التفاعل المتبادل بين الجسيمات عبر المسافات الكبيرة,B
ما هي الفرضيات الأساسية لفكرة التفاعل عن بعد في ميكانيكا الكم؟,تفسير الجسيمات كموجات,القدرة على قياس موقع الجسيمات بدقة مطلقة,الاحتمالات المتعددة لحالات الجسيمات في نفس الوقت,التفاعل المتبادل بين الجسيمات عبر المسافات الكبيرة,D
ما هي الميزة الرئيسية لمفاهيم الاحتمالات المتعددة في ميكانيكا الكم؟,تفسير الجسيمات كموجات,القدرة على قياس موقع الجسيمات بدقة مطلقة,الاحتمالات المتعددة لحالات الجسيمات في نفس الوقت,التفاعل المتبادل بين الجسيمات عبر المسافات الكبيرة,C
ما هو التفسير الأساسي لمفاهيم القياس الدقيق في ميكانيكا الكم؟,تفسير الجسيمات كموجات,القدرة على قياس موقع الجسيمات بدقة مطلقة,الاحتمالات المتعددة لحالات الجسيمات في نفس الوقت,التفاعل المتبادل بين الجسيمات عبر المسافات الكبيرة,B
ما هي الخاصية الفريدة لمفاهيم التفاعل المتبادل بين الجسيمات في ميكانيكا الكم؟,تفسير الجسيمات كموجات,القدرة على قياس موقع الجسيمات بدقة مطلقة,الاحتمالات المتعددة لحالات الجسيمات في نفس الوقت,التفاعل المتبادل بين الجسيمات عبر المسافات الكبيرة,D
ما هي النتيجة الرئيسية لفكرة الاندماج في ميكانيكا الكم؟,تفسير الجسيمات كموجات,القدرة على قياس موقع الجسيمات بدقة مطلقة,الاحتمالات المتعددة لحالات الجسيمات في نفس الوقت,التفاعل المتبادل بين الجسيمات عبر المسافات الكبيرة,A
ما هو التفسير الأساسي لمفاهيم الاندماج في ميكانيكا الكم؟,تفسير الجسيمات كموجات,القدرة على قياس موقع الجسيمات بدقة مطلقة,الاحتمالات المتعددة لحالات الجسيمات في نفس الوقت,التفاعل المتبادل بين الجسيمات عبر المسافات الكبيرة,A
ما هي إحدى الفرضيتين الرئيستين لنظرية النسبية الخاصة؟,أن سرعة الضوء ثابتة,أن الزمكان مستوٍ,أن الجاذبية قوة,أن الكتلة والطاقة متكافئتان,A
ما هو الفرق بين الإطار المرجعي بالقصور الذاتي والإطار المرجعي غير القصور الذاتي؟,حركة الإطارات المرجعية بالقصور الذاتي منتظمة بينما حركة الإطارات المرجعية غير القصور الذاتي غير منتظمة,تتغير قوانين الفيزياء في الإطارات المرجعية غير القصور الذاتي,لا يوجد فرق بينهما,الإطارات المرجعية بالقصور الذاتي في حالة سكون بينما الإطارات المرجعية غير القصور الذاتي في حالة حركة,A
ما هي إحدى تطبيقات نظرية النسبية العامة؟,نظام تحديد المواقع العالمي (GPS),معجلات الجسيمات,التنبؤ بالطقس,السيارات ذاتية القيادة,A
ما هي الفكرة الرئيسية وراء نظرية النسبية الخاصة؟,الحركة النسبية,الجاذبية,الزمان والمكان,الطاقة والمادة,A
من وضع نظرية النسبية؟,ألبرت أينشتاين,نيوتن,جاليليو جاليلي,آيزاك نيوتن,A
ما هو العنصر الأساسي في النظرية النسبية العامة؟,الزمان والمكان,الجاذبية,الطاقة والمادة,الحركة النسبية,B
ما الذي يعالجه الجزء الخاص من نظرية النسبية؟,الزمان والمكان,الجاذبية,الحركة النسبية,الطاقة والمادة,C
ما هي العلاقة بين الطاقة والمادة في نظرية النسبية؟,تناغم متبادل,التبادل المتقابل,التحول الكامل,التفاعل الكمي,A
ما هو التأثير الرئيسي للكتلة والطاقة في الزمان والمكان؟,انحناء الزمان والمكان,التوسع الزماني,تقلص الزمان,توتر الزمان,A
ما هو العامل الذي يتغير بسرعة في نظرية النسبية الخاصة؟,المكان,الزمان,الطاقة,المادة,B
ما هو المفهوم الأساسي للحركة النسبية في نظرية النسبية؟,عدم وجود نقطة ثابتة,عدم وجود حركة نسبية,عدم وجود سرعة نسبية,عدم وجود زمان نسبي,A
ما هو العنصر الذي يرتبط بالجاذبية في نظرية النسبية العامة؟,الزمان والمكان,المادة والطاقة,الكتلة,المسافة,A
ما هو الفرق الرئيسي بين النظرية النسبية ونظرية نيوتن للجاذبية؟,تعريف الجاذبية,تعريف الطاقة,تعريف الزمان,تعريف المادة,A
ما هي الفكرة الرئيسية وراء نظرية الحقل الكمومي؟,التفاعل الدقيق للجسيمات الصغيرة,التفاعل الدقيق للجسيمات الكبيرة,التفاعل الدقيق للجسيمات النووية,التفاعل الدقيق للجسيمات الفلكية,A
من وضع نظرية الحقل الكمومي؟,مجموعة من العلماء بما فيهم نيلز بور وويلهلم كولن وبول ديراك,ألبرت أينشتاين,آيزنبرج وهايزنبرج,جاكسون وكلينتون,A
ما هو العنصر الأساسي في نظرية الحقل الكمومي؟,التفاعل الكمومي,الموجات الكمومية,الحقل الكمومي,الطاقة الكمومية,C
ما هو المجال الذي ترتبط به نظرية الحقل الكمومي؟,الفيزياء النووية,الفيزياء الكلاسيكية,الفيزياء الكمومية,الفيزياء الفلكية,C
ما هو الفرق بين نظرية الحقل الكمومي والميكانيكا الكمومية؟,نظرية الحقل الكمومي تعالج الحقول والجسيمات بينما الميكانيكا الكمومية تركز على حالة الجسيمات الفردية,لا فرق بينهما,نظرية الحقل الكمومي تركز على الجسيمات الفردية بينما الميكانيكا الكمومية تعالج الحقول,نظرية الحقل الكمومي تركز على الحقول بينما الميكانيكا الكمومية تعالج الجسيمات الفردية,D
ما هو العنصر الذي يتم التركيز عليه في دراسة نظرية الحقل الكمومي؟,الموجات الكمومية,الحقل الكمومي,الجسيمات الفردية,التفاعلات الكمومية,B
