question,A,B,C,D,answer
ما هو مبدأ عمل نظام الملاحة بالقصور الذاتي؟,استخدام أجهزة الاستشعار لقياس تسارع الطائرة وموقعها,استخدام إشارات الأقمار الصناعية لتحديد موقع الطائرة,استخدام الخرائط والبوصلة لتحديد موقع الطائرة,استخدام الرادار لتحديد موقع الطائرة,A
ما هي العلاقة بين الضغط والحجم في الديناميكا الحرارية؟,طردية,عكسية,ثابتة,متغيرة,B
ما المصطلح الذي يشير إلى الطاقة الداخلية في الديناميكا الحرارية؟,الإنتروبيا,الإنثالبي,الطاقة الحركية,الطاقة الداخلية,D
ما هو المفهوم الأساسي في دراسة السكونيات؟,الحركة,التوازن,التسارع,القوة,B
ما هي الأداة المستخدمة في تصميم بمساعدة الحاسوب؟,الرسم اليدوي,الحاسب الآلي,الطباعة ثلاثية الأبعاد,النمذجة الرياضية,B
ما هو النوع الشائع لمحركات الاحتراق الداخلي؟,محرك الديزل,محرك البخار,محرك كهربائي,محرك توربيني,A
ما هو المصطلح الذي يعبر عن العمل في الديناميكا الحرارية؟,القوة,الطاقة,العمل,الحرارة,C
ما هي الوحدة الأساسية لقياس الطاقة في الديناميكا الحرارية؟,الجول,الواط,الكالوري,اللتر,A
ما هو المصطلح الذي يشير إلى الحرارة في الديناميكا الحرارية؟,الإنتروبيا,الإنثالبي,الحرارة,الطاقة الحركية,C
ما هي الخاصية التي تعبر عن مقاومة الجسم للتغير في حالته الحركية؟,الكتلة,الوزن,الحجم,الكثافة,A
ما هو المصطلح الذي يستخدم لوصف الحالة التي لا يوجد فيها تغير في الحركة؟,الديناميكا,السكونيات,التسارع,القوة,B
ما هو العنصر الذي يتم تحليله في الديناميكا الحرارية؟,السوائل,المواد الصلبة,الغازات,البلازما,C
ما هو النظام الذي يتم استخدامه في التصميم الميكانيكي بمساعدة الحاسوب؟,الأنظمة الهيدروليكية,الأنظمة البيوميكانيكية,الأنظمة الكهربائية,الأنظمة الميكانيكية,D
ما هو النظام الذي يتم استخدامه في السكونيات؟,الديناميكا الحرارية,السكونيات,الحركة الدائرية,الطاقة الكهربائية,B
ما هو النظام الذي يتم استخدامه في محرك الاحتراق الداخلي؟,الطاقة الشمسية,الطاقة الكهربائية,الطاقة الميكانيكية,الطاقة الحرارية,C
ما هو النظام الذي يتم استخدامه في الديناميكا الحرارية؟,الأنظمة الهيدروليكية,الأنظمة البيوميكانيكية,الأنظمة الكهربائية,الأنظمة الحرارية,D
ما هو النظام الذي يتم استخدامه في التصميم الميكانيكي بمساعدة الحاسوب؟,الأنظمة الهيدروليكية,الأنظمة البيوميكانيكية,الأنظمة الكهربائية,الأنظمة الميكانيكية,D
ما هو النظام الذي يتم استخدامه في السكونيات؟,الديناميكا الحرارية,السكونيات,الحركة الدائرية,الطاقة الكهربائية,B
ما هو النظام الذي يتم استخدامه في محرك الاحتراق الداخلي؟,الطاقة الشمسية,الطاقة الكهربائية,الطاقة الميكانيكية,الطاقة الحرارية,C
ما هو النظام الذي يتم استخدامه في الديناميكا الحرارية؟,الأنظمة الهيدروليكية,الأنظمة البيوميكانيكية,الأنظمة الكهربائية,الأنظمة الحرارية,D
ما هو العنصر الذي يتم تحليله في الديناميكا الحرارية؟,السوائل,المواد الصلبة,الغازات,البلازما,C
ما هي الوحدة الأساسية لقياس الطاقة في الديناميكا الحرارية؟,الجول,الواط,الكالوري,اللتر,A
ما هو المصطلح الذي يعبر عن العمل في الديناميكا الحرارية؟,القوة,الطاقة,العمل,الحرارة,C
ما هي الخاصية التي تعبر عن مقاومة الجسم للتغير في حالته الحركية؟,الكتلة,الوزن,الحجم,الكثافة,A
ما هو المصطلح الذي يستخدم لوصف الحالة التي لا يوجد فيها تغير في الحركة؟,الديناميكا,السكونيات,التسارع,القوة,B
ما هو النوع الشائع لمحركات الاحتراق الداخلي؟,محرك الديزل,محرك البخار,محرك كهربائي,محرك توربيني,A
ما هو المفهوم الأساسي في دراسة السكونيات؟,الحركة,التوازن,التسارع,القوة,B
ما هي الأداة المستخدمة في تصميم بمساعدة الحاسوب؟,الرسم اليدوي,الحاسب الآلي,الطباعة ثلاثية الأبعاد,النمذجة الرياضية,B
ما هي العلاقة بين الضغط والحجم في الديناميكا الحرارية؟,طردية,عكسية,ثابتة,متغيرة,B
ما المصطلح الذي يشير إلى الطاقة الداخلية في الديناميكا الحرارية؟,الإنتروبيا,الإنثالبي,الطاقة الحركية,الطاقة الداخلية,D
ما هو العنصر الذي يتم تحليله في انتقال الحرارة؟,السوائل,المواد الصلبة,الغازات,البلازما,A
ما هو النظام الذي يتم استخدامه في التصميم الميكانيكي بمساعدة الحاسوب؟,الأنظمة الهيدروليكية,الأنظمة البيوميكانيكية,الأنظمة الكهربائية,الأنظمة الميكانيكية,D
ما هو النظام الذي يتم استخدامه في السكونيات؟,الديناميكا الحرارية,السكونيات,الحركة الدائرية,الطاقة الكهربائية,B
ما هو النظام الذي يتم استخدامه في محرك الاحتراق الداخلي؟,الطاقة الشمسية,الطاقة الكهربائية,الطاقة الميكانيكية,الطاقة الحرارية,C
ما هو النظام الذي يتم استخدامه في الديناميكا الحرارية؟,الأنظمة الهيدروليكية,الأنظمة البيوميكانيكية,الأنظمة الكهربائية,الأنظمة الحرارية,D
ما هو النظام الذي يتم استخدامه في علم الحركة المجردة؟,الديناميكا الحرارية,السكونيات,الحركة الدائرية,الأنظمة الكينماتيكية,D
ما هي الوحدة المستخدمة لقياس الحرارة النوعية في الديناميكا الحرارية؟,جول/كيلوغرام·كلفن,واط/متر·كلفن,كالوري/غرام·درجة سيلسيوس,باسكال/متر مكعب,A
ما هو المصطلح الذي يشير إلى الحرارة في الديناميكا الحرارية؟,الإنتروبيا,الإنثالبي,الحرارة,الطاقة الحركية,C
ما هي العملية التي تحدث عندما يتم تحويل الطاقة الكهربائية إلى طاقة حرارية؟,التحويل الحراري,التحويل الكهروكيميائي,التحويل الكهرومغناطيسي,التحويل الكهروضوئي,A
ما هي الوحدة الأساسية لقياس الحرارة النوعية في الديناميكا الحرارية؟,جول/كيلوغرام·كلفن,واط/متر·كلفن,كالوري/غرام·درجة سيلسيوس,باسكال/متر مكعب,A
ما هو المصطلح الذي يشير إلى الطاقة الداخلية في الديناميكا الحرارية؟,الإنتروبيا,الإنثالبي,الطاقة الحركية,الطاقة الداخلية,D
ما هي العملية التي تحدث عندما يتم تحويل الطاقة الكهربائية إلى طاقة حرارية؟,التحويل الكهروميكانيكي,التحويل الكهروكيميائي,التحويل الكهرومغناطيسي,التحويل الكهروضوئي,A
ما هو المصطلح الذي يستخدم لوصف الحالة التي لا يوجد فيها تغير في الحركة؟,الديناميكا,السكونيات,التسارع,القوة,B
ما هي الخاصية التي تعبر عن مقاومة الجسم للتغير في حالته الحركية؟,الكتلة,الوزن,الحجم,الكثافة,A
ما هو النوع الشائع لمحركات الاحتراق الداخلي؟,محرك الديزل,محرك البخار,محرك كهربائي,محرك توربيني,A
ما هو المفهوم الأساسي في دراسة السكونيات؟,الحركة,التوازن,التسارع,القوة,B
ما هي الأداة المستخدمة في تصميم بمساعدة الحاسوب؟,الرسم اليدوي,الحاسب الآلي,الطباعة ثلاثية الأبعاد,النمذجة الرياضية,B
ما هي العلاقة بين الضغط والحجم في الديناميكا الحرارية؟,طردية,عكسية,ثابتة,متغيرة,B
ما هو العنصر الذي يتم تحليله في انتقال الحرارة؟,السوائل,المواد الصلبة,الغازات,البلازما,A
ما هو النظام الذي يتم استخدامه في تصميم بمساعدة الحاسوب؟,الأنظمة الهيدروليكية,الأنظمة البيوميكانيكية,الأنظمة الكهربائية,الأنظمة الميكانيكية,D
ما هو النظام الذي يتم استخدامه في السكونيات؟,الديناميكا الحرارية,السكونيات,الحركة الدائرية,الطاقة الكهربائية,B
ما هو النظام الذي يتم استخدامه في محرك الاحتراق الداخلي؟,الطاقة الشمسية,الطاقة الكهربائية,الطاقة الميكانيكية,الطاقة الحرارية,C
ما هو النظام الذي يتم استخدامه في الديناميكا الحرارية؟,الأنظمة الهيدروليكية,الأنظمة البيوميكانيكية,الأنظمة الكهربائية,الأنظمة الحرارية,D
ما هو النظام الذي يتم استخدامه في علم الحركة المجردة؟,الديناميكا الحرارية,السكونيات,الحركة الدائرية,الأنظمة الكينماتيكية,D
ما هي الوحدة المستخدمة لقياس الحرارة النوعية في الديناميكا الحرارية؟,جول/كيلوغرام·كلفن,واط/متر·كلفن,كالوري/غرام·درجة سيلسيوس,باسكال/متر مكعب,A
ما هو المصطلح الذي يشير إلى الحرارة في الديناميكا الحرارية؟,الإنتروبيا,الإنثالبي,الحرارة,الطاقة الحركية,C
ما هو المصطلح الذي يشير إلى الطاقة الداخلية في الديناميكا الحرارية؟,الإنتروبيا,الإنثالبي,الطاقة الحركية,الطاقة الداخلية,D
ما هي وحدة قياس الحرارة النوعية في الديناميكا الحرارية؟,جول/كيلوغرام·كلفن,واط/متر·كلفن,كالوري/غرام·درجة سيلسيوس,باسكال/متر مكعب,A
ما هي العملية التي تحدث عندما يتم تحويل الطاقة الكهربائية إلى طاقة حرارية؟,التحويل الحراري,التحويل الكهروكيميائي,التحويل الكهرومغناطيسي,التحويل الكهروضوئي,A
ما هي الخاصية التي تعبر عن مقاومة الجسم للتغير في حالته الحركية؟,الكتلة,الوزن,الحجم,الكثافة,A
ما هو النوع الشائع لمحركات الاحتراق الداخلي؟,محرك الديزل,محرك البخار,محرك كهربائي,محرك توربيني,A
ما هو المفهوم الأساسي في دراسة السكونيات؟,الحركة,التوازن,التسارع,القوة,B
ما هي الأداة المستخدمة في تصميم بمساعدة الحاسوب؟,الرسم اليدوي,الحاسب الآلي,الطباعة ثلاثية الأبعاد,النمذجة الرياضية,B
ما هي العلاقة بين الضغط والحجم في الديناميكا الحرارية؟,طردية,عكسية,ثابتة,متغيرة,B
ما هو العنصر الذي يتم تحليله في انتقال الحرارة؟,السوائل,المواد الصلبة,الغازات,البلازما,A
ما هو النظام الذي يتم استخدامه في التصميم الميكانيكي بمساعدة الحاسوب؟,الأنظمة الهيدروليكية,الأنظمة البيوميكانيكية,الأنظمة الكهربائية,الأنظمة الميكانيكية,D
ما هو النظام الذي يتم استخدامه في السكونيات؟,الديناميكا الحرارية,السكونيات,الحركة الدائرية,الطاقة الكهربائية,B
ما هو النظام الذي يتم استخدامه في محرك الاحتراق الداخلي؟,الطاقة الشمسية,الطاقة الكهربائية,الطاقة الميكانيكية,الطاقة الحرارية,C
ما هو النظام الذي يتم استخدامه في الديناميكا الحرارية؟,الأنظمة الهيدروليكية,الأنظمة البيوميكانيكية,الأنظمة الكهربائية,الأنظمة الحرارية,D
ما هو النظام الذي يتم استخدامه في علم الحركة المجردة؟,الديناميكا الحرارية,السكونيات,الحركة الدائرية,الأنظمة الكينماتيكية,D
ما هي الوحدة المستخدمة لقياس الحرارة النوعية في الديناميكا الحرارية؟,جول/كيلوغرام·كلفن,واط/متر·كلفن,كالوري/غرام·درجة سيلسيوس,باسكال/متر مكعب,A
ما هو المصطلح الذي يشير إلى الحرارة في الديناميكا الحرارية؟,الإنتروبيا,الإنثالبي,الحرارة,الطاقة الحركية,C
