question,A,B,C,D,answer
ما هو نوع الرابطة التي تربط الجزيئات القطبية؟,الترابط التساهمي,الترابط الأيوني,الترابط الهيدروجيني,الترابط البيبتيدي,C
ما هو نوع الخلايا التي تبطن تجويف الأمعاء؟,الخلايا الظهارية,الخلايا العضلية,الخلايا العصبية,الخلايا الدهنية,A
ما هو الغاز الذي يشكل النسبة الأكبر في الغلاف الجوي للأرض؟,الأكسجين,النتروجين,ثاني أكسيد الكربون,الأرجون,B
ما هو نوع التفاعل الذي يحدث عندما يتحد حمض وقاعدة؟,تفاعل أكسدة-اختزال,تفاعل حياد,تفاعل احتراق,تفاعل تحلل,B
ما هو نوع الخلايا التي تشكل الجلد؟,الخلايا الظهارية,الخلايا العضلية,الخلايا العصبية,الخلايا الدهنية,A
ما هو العضو المسؤول عن ضخ الدم في الجسم؟,القلب,المعدة,البنكرياس,الطحال,A
ما هو نوع التكاثر الذي يحدث عندما تتشكل فرد جديد من خلية واحدة؟,التكاثر اللاجنسي,التكاثر الجنسي,التبرعم,الانقسام الثنائي,A
ما هو الهرمون الذي يفرزه البنكرياس ويساعد على تنظيم نسبة السكر في الدم؟,الأنسولين,الجلوكاجون,الأدرينالين,الكورتيزول,A
ما هو نوع الرابطة التي تربط الذرات في الجزيء؟,الترابط التساهمي,الترابط الأيوني,الترابط الهيدروجيني,الترابط البيبتيدي,A
ما هو نوع الخلايا التي تنقل النبضات العصبية؟,الخلايا العضلية,الخلايا العصبية,الخلايا الظهارية,الخلايا الدهنية,B
ما هو العضو المسؤول عن امتصاص الماء والمغذيات من الطعام؟,المعدة,الأمعاء الدقيقة,الأمعاء الغليظة,البنكرياس,B
ما هو نوع التكاثر الذي يحدث عندما تتحد خليتان جنسيتان مختلفتان؟,التكاثر اللاجنسي,التكاثر الجنسي,التبرعم,الانقسام الثنائي,B
ما هو تعريف علم الخلية؟,دراسة الأعضاء الداخلية للخلية,دراسة الخلايا الحية وكيفية عملها,دراسة تفاعل الخلايا مع بعضها البعض,دراسة تطور الخلية,B
ما هما نوعا الانقسام الخلوي؟,الانقسام الثنائي والانقسام المتساوي,الانقسام المتساوي والانقسام المنصف,الانقسام اللحيني والانقسام الاختزالي,الانقسام الخيطي والانقسام السيتوبلازمي,B
ما هو تنظيم سلوك الخلية عن طريق إشارات خارجية يسمى؟,الانقسام الخلوي,تأشير الخلية,تكاثر الخلية,تكوين الخلية,B
ما هو علم الوراثة؟,دراسة تطور الكائنات الحية,دراسة الوظائف الكيميائية الحيوية للكائنات الحية,دراسة انتقال الصفات من الآباء إلى الابناء ,دراسة بنية الخلية,C
ما هو دور الجهاز المناعي في جسم الإنسان؟,حماية الجسم من الأمراض,هضم الطعام,تنظيم درجة حرارة الجسم,إنتاج الهرمونات,A
ما هي وظيفة الكلوروفيل في النباتات؟,امتصاص الضوء,تخزين الماء,نقل المغذيات,تثبيت النيتروجين,A
ما هو تنظيم سلوك الخلية عن طريق إشارات خارجية يسمى؟,الانقسام الخلوي,تأشير الخلية,تكاثر الخلية,تكوين الخلية,B
ما هي نظرية الخلية؟,تنص على أن جميع الكائنات الحية تتكون من خلية واحدة أو أكثر,تنص على أن جميع الخلايا متماثلة,تنص على أن الخلايا يمكن أن تنشأ من خلايا أخرى فقط,تنص على أن الخلايا هي الوحدة الأساسية للحياة,D
ما هو الفرق بين الخلايا بدائية النواة والخلايا حقيقية النواة,تحتوي الخلايا حقيقية النوى على نواة مرتبطة بالغشاء وتفتقر الخلايا بدائية النواة إلى نواة مرتبطة بالغشاء,تحتوي الخلايا بدائية النواة على نواة مرتبطة بالغشاء وتفتقر الخلايا حقيقية النوى إلى نواة مرتبطة بالغشاء,تحتوي كل من الخلايا بدائية النواة وحقيقية النواة على نواة مرتبطة بالغشاء,لا تحتوي أي من الخلايا بدائية النواة وحقيقية النواة على نواة مرتبطة بالغشاء,A
ما هو دور الشبكة الإندوبلازمية؟,تخزين البروتينات,إنتاج البروتينات,تعديل البروتينات,جميع ما سبق,D
ما هو دور الريبوسومات؟,إنتاج البروتينات,تخزين البروتينات,تعديل البروتينات,لا شيء مما سبق,A
ما هو دور جهاز جولجي؟,تعديل البروتينات وتغليفها,إنتاج البروتينات,تخزين البروتينات,جميع ما سبق,A
ما هو دور الميتوكوندريا؟,إنتاج الطاقة,تخزين الطاقة,إنتاج البروتينات,لا شيء مما سبق,A
ما هو دور الفجوات؟,تخزين المواد,إنتاج المواد,تعديل المواد,لا شيء مما سبق,A
ما هو دور الجسيمات الحالة؟,هضم المواد,تخزين المواد,إنتاج المواد,لا شيء مما سبق,A
ما هي وظيفة الهيكل الخلوي؟,دعم الخلية,تحريك الخلية,حماية الخلية,جميع ما سبق,D
ما هي وظيفة الغشاء الخلوي؟,حماية الخلية,تبادل المواد بين الخلية والبيئة الخارجية,الحفاظ على التوازن الأسموزي للخلية,جميع ما سبق,D
ما هي وظيفة النواة؟,التحكم في نشاط الخلية,تخزين المعلومات الوراثية,إنتاج الطاقة,جميع ما سبق,B
ما هي جزيئات الوراثة؟,الدنا,الرنا,البروتينات,الكربوهيدرات,A
ما هو الشفرة الوراثية؟,تسلسل النيوكليوتيدات في الدنا أو الرنا الذي يحدد تسلسل الأحماض الأمينية في البروتين,تسلسل الأحماض الأمينية في البروتين,تسلسل النيوكليوتيدات في الدنا أو الرنا,جميع ما سبق,A
ما هو النسخ؟,عملية إنتاج الرنا من الدنا,عملية إنتاج الدنا من الرنا,عملية إنتاج البروتينات من الرنا,لا شيء مما سبق,A
ما هو الترجمة؟,عملية إنتاج البروتينات من الرنا,عملية إنتاج الرنا من الدنا,عملية إنتاج الدنا من الرنا,لا شيء مما سبق,A
ما هي الطفرات؟,تغييرات في تسلسل النيوكليوتيدات في الدنا أو الرنا,تغييرات في تسلسل الأحماض الأمينية في البروتين,تغييرات في بنية الخلية,جميع ما سبق,A
ما هي التكنولوجيا الحيوية؟,استخدام الكائنات الحية أو أجزائها لإنتاج منتجات أو خدمات مفيدة,دراسة الكائنات الحية,حماية الكائنات الحية,لا شيء مما سبق,A
ما هي الهندسة الوراثية؟,تغيير تسلسل النيوكليوتيدات في الدنا,دراسة الدنا,حماية الدنا,لا شيء مما سبق,A
ما هي تطبيقات التكنولوجيا الحيوية؟,الإنتاج الطبي,الإنتاج الزراعي,الإنتاج الصناعي,جميع ما سبق,D
ما هي الآثار الأخلاقية للتكنولوجيا الحيوية؟,يجب مراعاة الآثار الأخلاقية عند استخدام التكنولوجيا الحيوية,لا توجد آثار أخلاقية لاستخدام التكنولوجيا الحيوية,يجب حظر استخدام التكنولوجيا الحيوية,لا شيء مما سبق,A
ما هي الممارسة الزراعية التي تساعد على تحسين خصوبة التربة والحفاظ عليها؟,الزراعة الأحادية,الزراعة الدقيقة,الزراعة المتنقلة,دورة المحاصيل,D
أي من الحيوانات التالية يمتلك جهازًا عصبيًا مركزيًا؟,الإسفنج,دودة الأرض,قنديل البحر,الشعاب المرجانية,B
أي نوع خلوي مسؤول عن إنتاج وإفراز الهرمونات؟,الخلايا العصبية,الخلايا الظهارية,الخلايا العضلية,الخلايا الغدية,D
أي من العبارات التالية يصف بدقة عملية الاستنساخ؟,إنشاء نسخة وراثية متطابقة من فرد موجود,إخصاب خلية بويضة وحيوان منوي,انقسام خلية إلى خليتين متطابقتين,اندماج خليتين جنسيتين مختلفتين,A
ما هو اسم بنية الخلية التي تحتوي على المادة الوراثية؟,النواة,الشبكة الإندوبلازمية,جهاز جولجي,الميتوكوندريا,A
أي من العبارات التالية يصف بدقة نظرية التطور؟,أنواع الكائنات الحية تتغير بمرور الوقت,جميع الكائنات الحية تنحدر من سلف مشترك,العملية مدفوعة بالانتقاء الطبيعي,كل ما سبق,D
ما هو اسم العملية التي يقوم بها النباتون بتحويل الطاقة الضوئية إلى طاقة كيميائية؟,التمثيل الضوئي,التنفس الخلوي,التخمر,التحليل الكهربائي,A
أي من الحيوانات التالية هو من ذوات الدم البارد؟,الأسماك,الطيور,الثدييات,الزواحف,D
ما هو الجزء من الخلية النباتية المسؤول عن التمثيل الضوئي؟,الكلوروبلاست,الميتوكوندريا,الشبكة الإندوبلازمية,جهاز جولجي,A
أي من العبارات التالية يصف بدقة علم وظائف الأعضاء؟,دراسة هيكل ووظيفة الكائنات الحية,دراسة تطور الكائنات الحية,دراسة توزيع الكائنات الحية,دراسة سلوك الكائنات الحية,A
ما هو اسم العملية التي تتكاثر بها البكتيريا؟,الانشطار الثنائي,التبرعم,التجزؤ,التكاثر الجنسي,A
أي من الحيوانات التالية هو من اللافقاريات؟,الأسماك,الطيور,الحشرات,الثدييات,C
ما هو اسم بنية الدماغ التي تتحكم في التوازن والتنسيق الحركي؟,المخيخ,الحبل الشوكي,المهاد,القشرة المخية,A
أي من العضويات التالية ليس من بدائيات النوى؟,البكتيريا,العصيات الزرقاء,فطريات العفن,البروتوزوا,C
ما هو اسم مجموعة الكائنات الحية التي تتغذى على الكائنات الحية الأخرى؟,المنتجون,المستهلكون,المحللون,المتعايشون,B
أي من النظم البيئية التالية يتميز بأعلى مستوى من التنوع البيولوجي؟,الغابات الاستوائية المطيرة,الأراضي العشبية,الصحاري,المحيطات,A
ما هو اسم الحيوان الذي يضع بيضه في الماء ويخضع لمرحلة اليرقات قبل أن يتحول إلى بالغ؟,الضفدع,الزواحف,الثدييات,الطيور,A
أي من العبارات التالية يصف بدقة التكافل؟,العلاقة التي يستفيد منها كلا الكائنين,العلاقة التي يستفيد منها كائن واحد فقط,العلاقة التي تضر كلا الكائنين,العلاقة التي لا تؤثر على أي من الكائنين,A
ما هو اسم الجزء من الخلية الذي ينتج البروتينات؟,الشبكة الإندوبلازمية الخشنة,الشبكة الإندوبلازمية الملساء,جهاز جولجي,الميتوكوندريا,A
أي من الحيوانات التالية هو من الثدييات؟,الخفافيش,الثعابين,الأسماك,الضفادع,A
ما هو الجهاز المسؤول عن استقبال الضوء في العين؟,القزحية,العدسة,الشبكية,العصب البصري,C
أي من العبارات التالية يصف بدقة التكاثر اللاجنسي؟,إنشاء نسخة وراثية غير متطابقة من فرد موجود,إخصاب خلية بويضة وحيوان منوي,انقسام خلية إلى خليتين متطابقتين,اندماج خليتين جنسيتين مختلفتين,C
ما هو اسم العضية الخلوية التي تعمل على تحطيم البروتينات التالفة والهياكل الخلوية القديمة؟,الشبكة الإندوبلازمية الخشنة,الشبكة الإندوبلازمية الملساء,جهاز جولجي,الليسوزوم,D
أي من الحيوانات التالية هو من ذوات الدم الحار؟,الأسماك,الطيور,الثدييات,الزواحف,B
ما هو اسم العملية التي يتخلص بها الجهاز التنفسي من الفضلات الغازية؟,الإخراج,التنفس,التعرق,الإخراج,B
أي من العبارات التالية يصف بدقة السلسلة الغذائية؟,تسلسل الكائنات الحية التي تتغذى على بعضها البعض,تسلسل الكائنات الحية التي تتنافس على نفس الموارد,تسلسل الكائنات الحية التي تعيش في نفس الموطن,تسلسل الكائنات الحية التي تتكاثر مع بعضها البعض,A
ما هو اسم المادة الوراثية الموجودة في الكائنات الحية؟,الحمض النووي الريبي منقوص الأكسجين,الحمض النووي الريبي,البروتين,الكربوهيدرات,A
أي من الحيوانات التالية هو من الفقاريات؟,الأسماك,الحشرات,الديدان,القشريات,A
ما هو اسم بنية الخلية التي تخزن الماء والمواد الغذائية؟,الفجوة العصارية,الشبكة الإندوبلازمية,جهاز جولجي,الميتوكوندريا,A
أي من العبارات التالية يصف بدقة نظرية الخلية؟,أن جميع الكائنات الحية تتكون من خلية واحدة أو أكثر,أن الخلية هي الوحدة الأساسية للحياة,أن الخلايا الجديدة تنشأ من خلايا موجودة مسبقًا,كل ما سبق,D
ما هو اسم العضو المسؤول عن إنتاج الصفائح الدموية وخلايا الدم الحمراء؟,القلب,الرئتان,الكبد,نخاع العظم,D
أي من الحيوانات التالية هو من الزواحف؟,الأسماك,الطيور,الثعابين,الثدييات,C
ما هو اسم بنية الدماغ التي تتحكم في العاطفة والذاكرة؟,المهاد,الحصين,المخيخ,القشرة المخية,B
أي من العضويات التالية هو من بدائيات النوى؟,البكتيريا,العصيات الزرقاء,فطريات العفن,البروتوزوا,A
ما هو اسم العملية التي تقوم بها النباتات بإطلاق الأكسجين أثناء التمثيل الضوئي؟,التنفس الخلوي,التخمر,التحليل الكهربائي,التمثيل الضوئي,D
أي من النظم البيئية التالية يتميز بأدنى مستوى من التنوع البيولوجي؟,الغابات الاستوائية المطيرة,الأراضي العشبية,الصحاري,المحيطات,C
أي من العبارات التالية يصف بدقة عملية النسخ المتماثل؟,إنشاء نسخة متطابقة من الحمض النووي,إنشاء نسخة متطابقة من البروتين,إنشاء نسخة متطابقة من الخلية,إنشاء نسخة متطابقة من العضو,A
ما هو اسم المادة التي تشكل جدران الخلايا النباتية؟,السليلوز,الكيتين,البروتين,الدهون,A
أي من الحيوانات التالية هو من الطيور؟,الخفافيش,الثعابين,الأسماك,الضفادع,A
ما هو اسم الهرمون الذي يسبب تقلص العضلات؟,الأدرينالين,التستوستيرون,الأكسيتوسين,الإنسولين,A
ما الذي يسبب انقباض العضلات؟,الأدرينالين,التستوستيرون,الأوكسيتوسين,الإنسولين,A
ما هي بنية الخلية التي تنتج البروتينات؟,الشبكة الإندوبلازمية الخشنة,الشبكة الإندوبلازمية الملساء,جهاز جولجي,المتقدرات,A
ما هي العملية التي تستخدمها النباتات لالتقاط الطاقة من الشمس؟,التنفس الخلوي,التخمر,التحليل الكهربائي,التمثيل الضوئي,D
ما هو نوع التكاثر الذي ينتج عنه ذرية متطابقة وراثيًا؟,التكاثر اللاجنسي,التكاثر الجنسي,التبرعم,الانقسام الثنائي,A
ما هي العملية التي تطلق فيها النباتات الأكسجين أثناء التمثيل الضوئي؟,التنفس الخلوي,التخمر,التحليل الكهربائي,التمثيل الضوئي,D
ما هو العضو الذي يتحكم في العاطفة والذاكرة؟,المهاد,الحصين,المخيخ,القشرة المخية,B
ما هي بنية الدماغ التي تنسق التوازن والحركة؟,المهاد,الحصين,المخيخ,القشرة المخية,C
ما هو نوع الخلية التي ليس لها نواة؟,بدائيات النوى,حقيقيات النوى,الخلايا الجذعية,خلايا الدم,A
ما هو العضو الذي ينتج خلايا الدم الحمراء؟,القلب,الرئتان,الكبد,نخاع العظم,D
ما هي المادة التي تشكل جدران الخلايا النباتية؟,السليلوز,الكيتين,البروتين,الدهون,A
ما هو نوع التفاعل الذي يحدث عندما يتحد حمض وقاعدة؟,التحفيز,التثبيط,التعادل,التبادل الأيوني,C
ما هو اسم العالم الذي طور نظرية التطور عن طريق الانتقاء الطبيعي؟,تشارلز داروين,غريغور مندل,جيمس واتسون,فرانسيس كريك,A
ما هو الفرق بين الخلايا حقيقية النواة وبدائية النواة؟,تحتوي حقيقيات النوى على نواة وبدائيات النوى لا تحتوي على نواة,تحتوي بدائيات النوى على نواة وحقيقيات النوى لا تحتوي على نواة,حقيقيات النوى أكبر من بدائيات النوى,بدائيات النوى أكبر من حقيقيات النوى,A
ما هي المادة الوراثية الموجودة في الفيروسات؟,الحمض النووي الريبي منقوص الأكسجين,الحمض النووي الريبي,البروتين,الكربوهيدرات,A
ما هو اسم الهيكل الذي يحيط بالنواة؟,الغشاء النووي,السيتوبلازم,جهاز جولجي,الشبكة الإندوبلازمية,A
ما هو اسم العملية التي ينتج بها النباتون غذائهم؟,التنفس الخلوي,التخمر,التحليل الكهربائي,التمثيل الضوئي,D
ما هو نوع التكاثر الذي يحدث عندما تنمو كائن حي جديد من جزء من كائن حي موجود؟,التكاثر اللاجنسي,التكاثر الجنسي,التبرعم,الانقسام الثنائي,A
ما هي المادة التي تشكل معظم الغلاف الجوي للأرض؟,الأكسجين,النيتروجين,ثاني أكسيد الكربون,الأرجون,B
ما هي العملية التي تنظم درجة حرارة الجسم؟,التعرق,الارتعاش,توسع الأوعية الدموية,كله ما سبق,D
أي من العبارات التالية تصف التكاثر الجنسي بشكل صحيح؟,يتضمن اتحاد خليتين جنسيتين,ينتج عنه نسل متطابق وراثيًا للوالد,يحدث في بعض النباتات والحيوانات,لا يتطلب وجود فردين,A
ما هو المصطلح الذي يصف عملية انتقال الجينات من جيل إلى جيل؟,التباين,الإرث,التطور,الانتقاء الطبيعي,B
أي من العبارات التالية تصف علم الأحياء التطوري بشكل صحيح؟,يدرس أصل وتنوع أشكال الحياة,يؤكد أن جميع الكائنات الحية تتغير بمرور الوقت,يفترض أن الكائنات الحية الأفضل تكيفًا هي الأكثر احتمالًا للبقاء على قيد الحياة والتكاثر,كل ما سبق,D
ما هو الدور الذي يلعبه الانتقاء الطبيعي في التطور؟,يضمن بقاء الأفراد الأكثر ملاءمة,يخلق تنوعًا جديدًا,يغير ترددات الأليلات في مجموعة سكانية,أ,D
أي من العبارات التالية تصف علم الوراثة بشكل صحيح؟,يدرس الوراثة والتنوع بين الكائنات الحية,يكشف عن كيفية انتقال السمات من جيل إلى جيل,يستخدم لتطوير تقنيات جديدة مثل الهندسة الوراثية,كل ما سبق,D
ما هو الدور الذي تلعبه الطفرات في التطور؟,تخلق مواد وراثية جديدة,يمكن أن تكون ضارة أو مفيدة أو محايدة,يمكن أن تؤدي إلى ظهور سمات جديدة,أ,D
أي من العبارات التالية تصف التنوع الحيوي بشكل صحيح؟,يشير إلى مجموعة متنوعة من أشكال الحياة على الأرض,يشمل التنوع الجيني والأنواع والتجمعات البيئية,يؤثر على صحة الإنسان والرفاهية الاقتصادية,كل ما سبق,D
ما هو التهديد الرئيسي للتنوع الحيوي؟,فقدان الموطن,الصيد الجائر,التلوث,كل ما سبق,D
أي من العبارات التالية تصف علم البيئة بشكل صحيح؟,يدرس الكائنات الحية وتفاعلاتها مع بيئتها,يساعدنا على فهم كيفية عمل النظم البيئية,يمكن استخدامه لإدارة الموارد الطبيعية,كل ما سبق,D
ما هو أحد التحديات الرئيسية التي تواجه علماء البيئة؟,تغير المناخ,التلوث,فقدان الموطن,الكل,D
أي من العبارات التالية تصف علم الفلك بشكل صحيح؟,يدرس الكون وما وراءه,يستخدم التلسكوبات والأقمار الاصطناعية لدراسة الأجرام السماوية,يساعدنا على فهم أصل الكون وتطوره,كل ما سبق,D
ما هو أحد الاكتشافات الرئيسية لعلم الفلك الحديث؟,أن الكون يتوسع,أن هناك مليارات المجرات الأخرى في الكون,أن الأرض ليست مركز الكون,الكل,D
أي من العبارات التالية تصف علم الأحياء الدقيقة بشكل صحيح؟,يدرس الكائنات الحية الدقيقة مثل البكتيريا والفيروسات,يستخدم المجاهر لدراسة الكائنات الحية الدقيقة,يساعدنا على فهم دور الكائنات الحية الدقيقة في الصحة والمرض والبيئة,كل ما سبق,D
ما هو أحد التطبيقات الطبية لعلم الأحياء الدقيقة؟,تطوير المضادات الحيوية,تشخيص الأمراض,انتاج اللقاحات,الكل,D
أي من العبارات التالية تصف علم وظائف الأعضاء بشكل صحيح؟,يدرس وظائف الكائنات الحية,يساعدنا على فهم كيفية عمل أجسامنا,يستخدم مجموعة متنوعة من التقنيات لدراسة وظائف الأعضاء والأنظمة,كل ما سبق,D
ما هو أحد التخصصات الرئيسية في علم وظائف الأعضاء؟,علم الأعصاب,علم الغدد الصماء,علم المناعة,الكل,D
أي من العبارات التالية تصف علم الأحياء الخلوية بشكل صحيح؟,يدرس خلايا الكائنات الحية,يستخدم المجاهر لدراسة الخلايا,يساعدنا على فهم كيفية عمل الخلايا,كل ما سبق,D
ما هو أحد الاكتشافات الرئيسية لعلم الأحياء الخلوية؟,أن الخلية هي الوحدة الأساسية للحياة,أن الخلايا تحتوي على نواة,أن الخلايا لها أغشية شبه منفذة,الكل,D
أي من العبارات التالية تصف علم الأجنة بشكل صحيح؟,يدرس تطور الكائنات الحية من الإخصاب إلى الولادة,يستخدم مجموعة متنوعة من التقنيات لدراسة التطور الجنيني,يساعدنا على فهم كيفية تشكل أجسامنا,كل ما سبق,D
ما هو أحد التطبيقات الطبية لعلم الأجنة؟,التلقيح الاصطناعي,التشخيص المبكر للأمراض الجينية,العلاج بالخلايا الجذعية,الكل,D
أي من العبارات التالية تصف علم الحشرات بشكل صحيح؟,يدرس الحشرات,يستخدم مجموعة متنوعة من التقنيات لدراسة الحشرات,يساعدنا على فهم دور الحشرات في النظم البيئية,كل ما سبق,D
ما هو أحد التطبيقات الزراعية لعلم الحشرات؟,مكافحة الآفات,التلقيح,انتاج الحرير,الكل,D
ما هو الفرع من علم الأحياء الذي يهتم بدراسة الأنسجة؟,علم وظائف الأعضاء,علم الأنسجة,علم الأحياء البحرية,علم الأحياء الدقيقة,B
ما هو نوع الخلايا التي تتكون منها أنسجة الجهاز العصبي؟,الخلايا العضلية,الخلايا العصبية,الخلايا الظهارية,الخلايا الدموية,B
ما هو دور هرمون الأنسولين في الجسم؟,تحفيز إنتاج الجلوكوز,خفض مستويات السكر في الدم,تخزين الدهون,تنظيم ضغط الدم,B
ما هو الحيوان الذي يضع البيض في الماء ويفقس خارج جسم الأم؟,الحوت,القرش,الضفدع,الثعبان,C
أي من العبارات التالية تصف السلوك الفطري؟,يتم تعلمه بالخبرة,محدد وراثيًا,يتغير باستمرار,متعلم اجتماعيًا,B
ما هو الغرض من المنطقة المجرية الصالحة للحياة؟,تحديد المناطق التي يمكن أن تدعم الحياة خارج الأرض,توقع نشأة الحياة على الأرض,إيجاد كواكب جديدة صالحة للحياة,دراسة أصل الكون,A
ما هو نوع التكاثر الذي ينتج عنه نسل وراثيًا متطابقًا مع الوالد؟,التكاثر الجنسي,التكاثر اللاجنسي,التبرعم,الانقسام المتساوي,B
ما هو الفرع من علم الأحياء الذي يدرس تطور الكائنات الحية؟,علم الوراثة,علم الحفظ الحيوي,علم الأحياء التطوري,علم البيئة,C
ما هي الكائنات الحية التي تصنع غذائها باستخدام ضوء الشمس؟,الحيوانات العاشبة,المنتجات,المفترسات,المحللات,B
ما هو الفرع من علم الأحياء الذي يدرس بنية ووظيفة الخلايا؟,علم الوراثة,علم البيئة,علم الخلية,علم التشريح,C
ما هو نوع الخلايا التي تحمل المادة الوراثية للكائن الحي؟,الخلايا العضلية,الخلايا العصبية,الخلايا الجنسية,الخلايا الظهارية,C
ما هو الغرض من السلسلة الغذائية؟,إظهار العلاقات الغذائية بين الكائنات الحية,تحديد تدفق الطاقة في النظام البيئي,تصنيف الكائنات الحية حسب الحجم,دراسة تطور الأنواع,B
ما هو الحيوان الذي يمتلك أكبر دماغ بالنسبة لحجم جسمه؟,الفيل,الدلفين,النحلة,القرد,C
ما هو الفرق الرئيسي بين الخلايا بدائية النواة وحقيقية النواة؟,وجود نواة حقيقية,حجم الخلية,شكل الخلية,وجود عضيات مرتبطة بالغشاء,A
ما هي العلاقة بين علم الأحياء الدقيقة وعلم البيئة؟,علم الأحياء الدقيقة يدرس الكائنات الحية الدقيقة التي تعيش في البيئة,علم البيئة يدرس تأثير الكائنات الحية الدقيقة على البيئة,ليس هناك علاقة بين علم الأحياء الدقيقة وعلم البيئة,كلاهما ما سبق,D
ما هو الفرع من علم الأحياء الذي يدرس سلوك الحيوانات؟,علم السلوك الحيواني,علم الأحياء التطوري,علم البيئة,علم التشريح,A
ما هو الفرع من علم الأحياء الذي يدرس بنية ووظيفة أجهزة وأنسجة الكائنات الحية؟,علم التشريح,علم وظائف الأعضاء,علم الخلية,علم البيئة,A
ما هي العملية التي ينتج عنها اتحاد خليتي خصيتين؟,التخصيب,الانقسام المتساوي,الانقسام الاختزالي,التبرعم,A
ما هو الفرع من علم الأحياء الذي يدرس توزيع وتفاعلات الكائنات الحية مع بيئتها؟,علم البيئة,علم الأحياء التطوري,علم الوراثة,علم وظائف الأعضاء,A
ما هو الفرق بين الخلية النباتية والخلية الحيوانية؟,الخلية النباتية لها جدار خلوي بينما الخلية الحيوانية ليس لها,الخلية الحيوانية لها جدار خلوي بينما الخلية النباتية ليس لها,الخلية النباتية لها نواة بينما الخلية الحيوانية ليس لها,الخلية الحيوانية لها نواة بينما الخلية النباتية ليس لها,A
ما هو نوع الرابطة الكيميائية التي تربط الأحماض النووية معًا؟,رابطة هيدروجينية,رابطة تساهمية,رابطة أيونية,رابطة فان دير فال,A
ما المقصود بعلم الأنسجة؟,دراسة الخلايا,دراسة الأنسجة,دراسة الأعضاء,دراسة الكائنات الحية,B
ما المقصود بعلم وظائف الأعضاء؟,دراسة بنية الأعضاء,دراسة وظائف الأعضاء,دراسة أمراض الأعضاء,دراسة تطور الأعضاء,B
ما هو الأنسولين؟,هرمون يفرزه البنكرياس,هرمون ينظم مستوى السكر في الدم,هرمون يفرزه الغدة النخامية,هرمون يسبب ارتفاع ضغط الدم,A
ما الغدة التي تفرز هرمون النمو؟,الغدة النخامية,الغدة الدرقية,الغدة الكظرية,الغدة التناسلية,A
ما هو نوع النسيج الذي يتكون منه الجلد؟,نسيج طلائي,نسيج ضام,نسيج عضلي,نسيج عصبي,B
ما هو نوع النسيج الذي يتكون منه العضلات؟,نسيج طلائي,نسيج ضام,نسيج عضلي,نسيج عصبي,C
ما هو نوع النسيج الذي يتكون منه المخ؟,نسيج طلائي,نسيج ضام,نسيج عضلي,نسيج عصبي,D
ما هو نوع التكاثر الذي يحدث في النباتات؟,التكاثر اللاجنسي,التكاثر الجنسي,التكاثر بالبذور,التكاثر بالجذور,A
ما هو نوع التكاثر الذي يحدث في الحيوانات؟,التكاثر اللاجنسي,التكاثر الجنسي,التكاثر بالبيض,التكاثر بالولادة,B
ما هو نوع التكاثر الذي يحدث في الفطريات؟,التكاثر اللاجنسي,التكاثر الجنسي,التكاثر بالجراثيم,التكاثر بالفطريات,C
ما هو نوع التكاثر الذي يحدث في البكتيريا؟,التكاثر اللاجنسي,التكاثر الجنسي,التكاثر بالانقسام الثنائي,التكاثر بالانقسام المتساوي,C
ما هو معدل النمو السكاني في العالم؟,1٪,2٪,3٪,4٪,B
