question,A,B,C,D,answer
ما هو الاختبار الذي يتم إجراؤه لتحديد مقاومة المواد في الهندسة الإنشائية؟,اختبار الشد,اختبار الضغط,اختبار الانحناء,اختبار الصدم,B
ما هو العامل الأساسي الذي يؤثر على خصائص التربة في الهندسة الجيوتقنية؟,الحرارة,الرطوبة,الضغط,التعرية,B
ما هي الطريقة المستخدمة لتحليل استقرار المنحدرات في الهندسة الجيوتقنية؟,التحليل الديناميكي,التحليل الإحصائي,التحليل الجيوتقني,التحليل الهيدروليكي,C
في الهندسة الهيدروليكية، ما هو الجهاز المستخدم لقياس سرعة تدفق الماء؟,المانومتر,الفلومتر,البارومتر,الترمومتر,B
ما هو الهدف من استخدام الكمرات في الهندسة الإنشائية؟,الزخرفة,العزل,حمل الأحمال الأفقية,التهوية,C
ما هي الطريقة المستخدمة لتقييم سلامة الهياكل الإنشائية؟,التقييم البصري,التقييم الصوتي,التقييم الديناميكي,التقييم الاستاتيكي,A
ما هو العامل الرئيسي الذي يؤثر على تصميم الهياكل المقاومة للزلازل؟,التربة,الرياح,الثقل,الحرارة,A
ما هي الخاصية الأساسية للتربة التي تؤثر على استقرار المنشآت الجيوتقنية؟,اللزوجة,المسامية,الكثافة,التماسك,B
ما هو الهدف من تصميم الطرق بمعايير محددة؟,السلامة,الجمالية,التكلفة,السرعة,A
ما هو الاعتبار الرئيسي في تصميم الأساسات في الهندسة الجيوتقنية؟,الحمولة,الشكل,العمق,الموقع,A
ما هو العنصر الأساسي في تصميم الطرق لتحقيق الراحة؟,الإضاءة,التسوية,العلامات,التصريف,B
ما هو الاختبار الذي يتم إجراؤه لتحديد قوة الخرسانة في الهندسة الإنشائية؟,اختبار الشد,اختبار الضغط,اختبار الانحناء,اختبار الصدم,B
ما هو العامل الأساسي في تحديد جودة مياه الشرب في الهندسة الصحية؟,اللون,الطعم,النقاء,الرائحة,C
ما هو البرنامج الذي يستخدم في تحليل السوائل في الهندسة الهيدروليكية؟,AutoCAD,Revit,CFD,SolidWorks,C
ما هو العنصر الأساسي في تصميم الهياكل الإنشائية لمقاومة الأحمال الرأسية؟,الجدران,الأعمدة,الكمرات,الأساسات,B
ما هو العامل الأساسي الذي يؤثر على تصميم السدود في الهندسة الهيدروليكية؟,التبخر,التسرب,الترسبات,التدفق,D
ما هو العامل الأساسي الذي يؤثر على تصميم الهياكل المقاومة للزلازل؟,التربة,الرياح,الثقل,الحرارة,A
ما هي الخاصية الأساسية للتربة التي تؤثر على استقرار المنشآت الجيوتقنية؟,اللزوجة,المسامية,الكثافة,التماسك,D
ما هو الهدف من تصميم الطرق بمعايير محددة؟,السلامة,الجمالية,التكلفة,السرعة,A
ما هو الاعتبار الرئيسي في تصميم الأساسات في الهندسة الجيوتقنية؟,الحمولة,الشكل,العمق,الموقع,A
ما هو العنصر الأساسي في تصميم الطرق لتحقيق الراحة؟,الإضاءة,التسوية,العلامات,التصريف,B
ما هو الاختبار الذي يتم إجراؤه لتحديد قوة الخرسانة في الهندسة الإنشائية؟,اختبار الشد,اختبار الضغط,اختبار الانحناء,اختبار الصدم,B
ما هو العامل الأساسي في تحديد جودة مياه الشرب في الهندسة الصحية؟,اللون,الطعم,النقاء,الرائحة,C
ما هو البرنامج الذي يستخدم في تحليل السوائل في الهندسة الهيدروليكية؟,AutoCAD,Revit,CFD,SolidWorks,C
ما هو العنصر الأساسي في تصميم الهياكل الإنشائية لمقاومة الأحمال الرأسية؟,الجدران,الأعمدة,الكمرات,الأساسات,B
ما هو العامل الأساسي الذي يؤثر على تصميم السدود في الهندسة الهيدروليكية؟,التبخر,التسرب,الترسبات,التدفق,D
ما هو العنصر الأساسي الذي يجب مراعاته عند تصميم المباني في مناطق الزلازل؟,الجمالية,التكلفة,المرونة,مقاومة الزلازل,D
ما هي الخاصية الهامة للتربة التي تؤثر على تحمل الأساسات؟,اللون,الحرارة,القوة,التماسك,D
ما هو الهدف الرئيسي من تصميم الطرق؟,تقليل الازدحام,توفير الراحة,ضمان السلامة,زيادة السرعة,C
ما هو الاعتبار الأكثر أهمية عند تصميم الأساسات؟,اللون,الشكل,القدرة على تحمل الأحمال,العمق,C
ما هو العنصر الأساسي الذي يؤثر على راحة القيادة على الطرق؟,الإضاءة,التسوية,العلامات,السرعة,B
ما هو الاختبار الذي يحدد متانة الخرسانة؟,اختبار الشد,اختبار الضغط,اختبار الانحناء,اختبار الصدم,B
ما هو العامل الأساسي لتحديد جودة مياه الشرب؟,اللون,الطعم,النقاء,الرائحة,C
أي برنامج يستخدم لتحليل السوائل في الهندسة الهيدروليكية؟,AutoCAD,Revit,CFD,SolidWorks,C
ما هو العنصر الأساسي في الهياكل الإنشائية لمقاومة الأحمال الرأسية؟,الجدران,الأعمدة,الكمرات,الأساسات,B
ما هو العامل الرئيسي الذي يؤثر على تصميم السدود؟,التبخر,التسرب,الترسبات,التدفق,D
ما هو العامل الأساسي لتحديد خصائص التربة في الهندسة الجيوتقنية؟,اللون,الرطوبة,الكثافة,التماسك,B
ما هي الطريقة المستخدمة لتحليل استقرار المنحدرات؟,التحليل الإحصائي,التحليل الجيوتقني,التحليل الديناميكي,التحليل الهيدروليكي,B
في الهندسة الهيدروليكية، ما هو الجهاز المستخدم لقياس سرعة تدفق الماء؟,المانومتر,الفلومتر,البارومتر,الترمومتر,B
ما هو الهدف من استخدام الكمرات في الهندسة الإنشائية؟,الزخرفة,العزل,حمل الأحمال الأفقية,التهوية,C
ما هي الطريقة المستخدمة لتقييم سلامة الهياكل الإنشائية؟,التقييم البصري,التقييم الصوتي,التقييم الديناميكي,التقييم الاستاتيكي,D
ما هو العامل الأساسي الذي يؤثر على خصائص التربة تحت الأحمال الديناميكية؟,التركيب الكيميائي,التاريخ الجيولوجي,المحتوى المائي,التماسك,C
ما هو العنصر الأساسي في تصميم الهياكل الإنشائية لمقاومة الرياح؟,الأساسات,الجدران الستارية,الأعمدة,الكمرات,B
ما هو الاختبار الذي يتم إجراؤه لتحديد مقاومة التربة للانضغاط؟,اختبار الشد,اختبار الضغط,اختبار القص,اختبار الانحناء,B
ما هو العامل الأساسي في تحديد جودة مياه الشرب في الهندسة الصحية؟,اللون,الطعم,النقاء,الرائحة,C
ما هو البرنامج الذي يستخدم في تحليل السوائل في الهندسة الهيدروليكية؟,AutoCAD,Revit,CFD,SolidWorks,C
ما هو الاعتبار الأساسي في تصميم الجسور لضمان السلامة؟,الجمالية,الاستقرار الهيكلي,التكلفة,الكفاءة الوظيفية,B
ما هي الطريقة المستخدمة لتقييم حالة الطرق القائمة؟,المسح البصري,الاختبارات المخبرية,التحليل الإحصائي,المحاكاة الحاسوبية,A
ما هو العنصر الأساسي الذي يتم فحصه في اختبار تحمل الأحمال للمباني؟,الأساسات,الأعمدة,الجدران الحاملة,الأسقف,C
ما هو الغرض من استخدام الخوازيق في الأساسات؟,الزخرفة,تحسين التربة,دعم الهياكل,توفير الظل,C
ما هي الخاصية الأساسية للخرسانة المسلحة؟,المرونة,القوة في الشد,القوة في الضغط,العزل الحراري,C
ما هو العامل الأساسي الذي يؤثر على تصميم الأنفاق؟,التهوية,الإضاءة,الظروف الجيولوجية,الأمان,C
ما هو الاختبار الذي يتم إجراؤه لتحديد مقاومة التربة للقص؟,اختبار الانضغاط,اختبار الشد,اختبار القص,اختبار الانحناء,C
ما هو العامل الأساسي في تحديد نوع الأساس المستخدم في المبنى؟,الارتفاع,الوظيفة,الحمولات,التصميم المعماري,C
ما هي الطريقة المستخدمة لتحليل الأحمال الزلزالية على المباني؟,التحليل الديناميكي,التحليل الاستاتيكي,التحليل الهيدروليكي,التحليل الجيوتقني,A
ما هو الغرض من استخدام العوازل الزلزالية في البناء؟,زيادة الراحة,تقليل الضوضاء,حماية الهيكل من الزلازل,تحسين الجمالية,C
ما هو النظام الإنشائي الذي يستخدم لمقاومة الأحمال الجانبية مثل الرياح والزلازل؟,الجدران الحاملة,الأعمدة والكمرات,الجدران الساندة,الأساسات المرنة,C
ما هي الطريقة المستخدمة لتقدير الحمولة الحية على الأرضيات في المباني؟,التحليل الديناميكي,المعايير القياسية,التحليل الاستاتيكي,المحاكاة الحاسوبية,B
ما هو العنصر الأساسي الذي يتم فحصه في اختبار الركام للخرسانة؟,الحجم,الشكل,المتانة,الكثافة,C
ما هو الغرض من استخدام الحواجز الخرسانية على جوانب الطرق؟,التوجيه,الحماية,الزخرفة,تصريف المياه,B
ما هي الخاصية الأساسية للخرسانة التي تحدد مقاومتها للضغط؟,المرونة,الكثافة,القوة,التماسك,C
ما هو العامل الأساسي الذي يؤثر على تصميم الأساسات في المناطق الساحلية؟,التعرية,الرطوبة,مستوى المياه الجوفية,التربة المالحة,C
ما هو الاختبار الذي يتم إجراؤه لتحديد مقاومة الخرسانة للشد؟,اختبار الضغط,اختبار الشد,اختبار الانحناء,اختبار الصدم,B
ما هو العامل الأساسي في تحديد نوع الجسر المناسب لموقع معين؟,الطول,الاستخدام,الموقع,التكلفة,C
ما هي الطريقة المستخدمة لتحليل الأحمال الرياح على الهياكل العالية؟,التحليل الديناميكي,التحليل الاستاتيكي,التحليل الهيدروليكي,اختبارات النفق الهوائي,D
ما هو الغرض من استخدام العزل الحراري في المباني؟,زيادة الراحة,تقليل الضوضاء,تحسين الجمالية,تقليل استهلاك الطاقة,D
ما هو النوع الأكثر شيوعًا للأساسات في المناطق ذات التربة الرخوة؟,الأساسات السطحية,الأساسات العميقة,الأساسات العائمة,الأساسات الرقائقية,B
ما هي الطريقة المستخدمة لتقوية التربة في مشاريع البناء؟,الحقن بالراتنج,التثبيت بالأسمنت,التجميد,كل ما سبق,D
ما هو الغرض من استخدام الجيوتكستايل في الهندسة المدنية؟,العزل الحراري,التصفية,الحماية من الانجراف,الزخرفة,B
ما هو العامل الأساسي الذي يؤثر على اختيار نوع الخرسانة المستخدمة في البناء؟,اللون,الملمس,القوة,الكثافة,C
ما هي الخاصية الأساسية للخرسانة المسلحة التي تجعلها مناسبة للهياكل الإنشائية؟,المرونة,القوة في الشد,القوة في الضغط,العزل الحراري,C
ما هو الاعتبار الأساسي عند تصميم الطرق؟,السرعة القصوى,الحمولة القصوى,التصريف السطحي,المناظر الطبيعية,C
ما هو الاختبار الذي يتم إجراؤه لتحديد مرونة التربة؟,اختبار الانضغاط,اختبار القص,اختبار الثني,اختبار الرجوعية,D
ما هو العامل الأساسي الذي يؤثر على تصميم الجدران الساندة؟,الارتفاع,الحمولات الأفقية,الزخرفة,التكلفة,B
ما هي الطريقة المستخدمة لتحليل الأحمال الزلزالية على المباني؟,التحليل الديناميكي,التحليل الاستاتيكي,التحليل الهيدروليكي,اختبارات النفق الهوائي,A
ما هو الغرض من استخدام العوازل الزلزالية في البناء؟,زيادة الراحة,تقليل الضوضاء,حماية الهيكل من الزلازل,تحسين الجمالية,C
ما هي الخصائص الرئيسية للتربة التي يجب فحصها قبل البدء بأعمال البناء؟,اللون والرائحة,الملمس والحجم,التماسك وزاوية الاحتكاك الداخلي,الوزن والشكل,C
ما هو الغرض من إجراء اختبار الاختراق القياسي (SPT) في الموقع؟,تحديد اللون,قياس الرطوبة,تقدير قوة التربة,تحديد نوع الصخور,C
ما هي الأساليب المستخدمة لحماية المنشآت من الأضرار الناتجة عن الزلازل؟,العزل الأساسي,التدعيم بالفولاذ,التصميم المرن,كل ما سبق,D
ما هو الاعتبار الأساسي في تصميم الأساسات في المناطق ذات المياه الجوفية العالية؟,التهوية,العزل المائي,الشكل الهندسي,التكلفة,B
ما هي الطرق المستخدمة لتحسين خصائص التربة؟,الري,التسخين,التثبيت الكيميائي,التجميد,C
ما هو العامل الأساسي الذي يؤثر على اختيار مواد البناء؟,المظهر الجمالي,التكلفة,المتانة والقوة,الوزن,C
ما هي الخطوات الرئيسية في عملية إدارة مشروع البناء؟,التخطيط,التنفيذ,المراقبة والتحكم,كل ما سبق,D
ما هو الغرض من استخدام الجسور المعلقة؟,عبور المسطحات المائية,الزخرفة,توفير الظل,التهوية,A
ما هي الاعتبارات الهامة عند تصميم الطرق في المناطق الجبلية؟,المناظر الطبيعية,التكلفة,الاستقرار الجيولوجي والتصريف,السرعة,C
ما هو الدور الرئيسي للهندسة الجيوتقنية في مشاريع البناء؟,التصميم الداخلي,تحديد موقع البناء,تقييم خصائص التربة وتصميم الأساسات,C,
ما هي المادة الأساسية المستخدمة في الخرسانة المسلحة؟,الحديد,الألمنيوم,النحاس,الفولاذ,A
ما هو الهدف الرئيسي لاستخدام الأسس في الهندسة المدنية؟,توزيع الأحمال,تحسين الجمالية,تقليل التكلفة,تحسين الاستقرار,A
ما هي وحدة قياس الضغط في النظام الدولي؟,باسكال,كيلوغرام,متر,ثانية,B
ما هي الوظيفة الرئيسية للخرسانة المسلحة؟,العزل الحراري,التحمل القوي,المرونة,التحمل للضغط,D
ما هي الوحدة الأساسية لقياس الطول في النظام الدولي؟,المتر,الكيلوغرام,الثانية,الباسكال,A
ما هي الوظيفة الرئيسية للأعمدة في الهندسة المدنية؟,تحمل الأحمال العمودية,تحمل الأحمال الأفقية,العزل الحراري,التحمل للضغط,A
ما هي الوحدة الأساسية لقياس الكتلة في النظام الدولي؟,الكيلوغرام,المتر,الثانية,الباسكال,A
ما هي الوظيفة الرئيسية للجسور في الهندسة المدنية؟,توجيه حركة المركبات,توجيه حركة المشاة,توجيه حركة الطائرات,توجيه حركة القطارات,A
ما هي الوحدة الأساسية لقياس الزمن في النظام الدولي؟,الثانية,المتر,الكيلوغرام,الباسكال,A
ما هي الوظيفة الرئيسية للأسس في الهندسة المدنية؟,توزيع الأحمال,تحسين الجمالية,تقليل التكلفة,تحسين الاستقرار,A
ما هي الوحدة الأساسية لقياس السرعة في النظام الدولي؟,المتر/الثانية,الكيلوغرام,الثانية,الباسكال,A
ما هي الوظيفة الرئيسية للأسقف في الهندسة المدنية؟,تحمل الأحمال العمودية,تحمل الأحمال الأفقية,العزل الحراري,التحمل للضغط,B
ما هي الوحدة الأساسية لقياس القوة في النظام الدولي؟,النيوتن,الكيلوغرام,الثانية,الباسكال,A
ما هي الوظيفة الرئيسية للمسامير في الهندسة المدنية؟,توصيل الهياكل,تحمل الأحمال العمودية,العزل الحراري,التحمل للضغط,A
ما هي الوحدة الأساسية لقياس الكثافة في النظام الدولي؟,الكيلوغرام/المتر المكعب,المتر,الثانية,الباسكال,A
ما هي الوظيفة الرئيسية للأسقف في الهندسة المدنية؟,تحمل الأحمال العمودية,تحمل الأحمال الأفقية,العزل الحراري,التحمل للضغط,B
ما هي الوحدة الأساسية لقياس الطاقة في النظام الدولي؟,الجول,الكيلوغرام,الثانية,الباسكال,A
ما هي الوظيفة الرئيسية للأسقف في الهندسة المدنية؟,تحمل الأحمال العمودية,تحمل الأحمال الأفقية,العزل الحراري,التحمل للضغط,B
